questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"Son cogniciones que intervienen entre los acontecimientos externos y la reacción emocional de la persona ante 
ellos:",Obsesiones de orden,Pensamientos automáticos,Lectura del pensamiento,Delusiones referenciales,Prejuicios sociales,B
"Mujer, 58 años, se queja de ardor en la boca acompañada de dolor tipo hincada, escozor, boca seca y sensaciones 
de descarga eléctrica. La evaluación médica y odontológica no encuentran causa física, pero sí salivación normal. 
¿Cuál es el síndrome más probable?",Xerostomía,Alucinatorio,Trigeminal,Mucosa seca,Boca urente,E
"Varón de 30 años, con 7 años de tratamiento por esquizofrenia paranoide con haloperidol. Por náuseas, recibió 
metoclopramida 10 mg. Dos días después acudió a emergencia por agitación y desorientación. T°: 39.8 °C, PA y 
FC dentro de parámetros normales. Ex. físico: rigidez, sequedad de piel y mucosas. Ex. mental: desorientación en 
tiempo y espacio, somnolencia e irritabilidad. EKG sin alteraciones. Lab: CPK 15,234 UI/l. ¿Cuál es el diagnóstico 
más probable?",Síndrome neuroléptico maligno,Rabdomiolisis post infecciosa,Infarto agudo de miocardio,Síndrome compresivo,Desorden vascular cerebral,A
"Mujer de 23 años. Afirma que escucha la voz de Dios cuando suena la alarma de su celular y la de un diablo 
cuando suena el timbre de su casa. ¿Qué tipo de alucinación presenta?",Extracámpica,Temporal,Sinestésica,Funcional,Hipnagógica,D
"Mujer de 49 años, diagnosticada de episodio depresivo. En su historia tiene antecedentes de ortostatismo. ¿Cuál 
de los siguientes antidepresivos tiene más posibilidades de agravarlo?",Escitalopram,Fluoxetina,Venlafaxina,Amitriptilina,Mirtazapina,D
"Mujer de 38 años, maestra, ha consultado desde hace tres años a varios médicos porque cree que diversos 
síntomas corporales que percibe conforman una enfermedad grave no detectada. Sus convicciones persisten a 
pesar de los resultados negativos de los exámenes, la evolución benigna de la presunta enfermedad y las 
afirmaciones de los médicos sobre la ausencia de ésta. ¿Cuál es el trastorno más probable?",Ganancia secundaria,De síntomas somáticos,De simulación,Obsesivo compulsivo,Pseudología fantástica,B
"Mujer de 26 años, recepcionista, soltera, descrita como buena trabajadora, bien aliñada, amable, tímida y recatada. 
Desde hace un año afirma que Barack Obama le declara su amor con un código personal a través de mensajes 
por televisión y periódicos, pero que ella no puede aceptarlo ""porque nunca rompería un hogar"". ¿Cuál es el 
trastorno más probable?",Grandiosidad,Paranoide,Esquizofrenia,Histrionismo,Erotomanía,E
"Patrón dominante de emotividad excesiva y de búsqueda de atención, que comienza en las primeras etapas de la 
edad adulta: trastorno de personalidad ...",antisocial.,bipolar.,narcisista.,compulsivo.,histriónico.,E
"Mujer de 65 años; consulta por sentirse fatigada, sin ánimo de levantarse. Cursa con somnolencia diurna, olvidos 
frecuentes, le preocupa ser una carga para sus hijos. Tiene hiporexia pero aumentó de peso. Acudió a geriatría 
donde le indicaron escitalopram 10 mg / dia, desde hace 4 semanas, sin mejoría ¿Qué diagnóstico diferencial debe 
contemplarse?",Hipotiroidismo,Alzheimer,Deterioro cognitivo,Diabetes,Distimia,A
Desorientación referida al tiempo (fecha) o lugar (ubicación).,Autopsíquica,Alodínica,Alopsíquica,Anérgica,Heteróloga,C
"Varón de 59 años, hipertenso, con diagnóstico de depresión y nefropatía. ¿Cuál de los siguientes fármacos está 
contraindicado?",Venlafaxina,Fluoxetina,Clonazepam,Escitalopram,Sertralina,A
"En el trastorno de ansiedad generalizada. ¿Qué se observa en los ganglios basales con la tomografía por emisión 
de positrones (PET)?",Disminución de tamaño,Asimetría ganglionar,Hipersecreción basal,Tasa metabólica reducida,Incremento de actividad,D
"Varón de 29 años, aparentemente sano; desde hace 3 semanas usa un medicamento por vía oral ""para prevenir 
el COVID"". Hace 10 días se quejó de insomnio y pesadillas; hace 7 días presentó incremento de actividad motora 
y ánimo elevado. Hace 5 días dijo que veía sombras y bultos; se mostró confuso e irritable. En emergencia le 
suspendieron el medicamento y el cuadro se resolvió en dos días, sin secuelas. Entre los siguientes, ¿cuál es el 
fármaco causante con mayor probabilidad?",Tobramicina,Cloranfenicol,Bacitracina,Vancomicina,Azitromicina,E
¿Cuál es la población más propensa a romper una cuarentena?,Ancianos,Varones,Adolescentes,Militares,Dependientes,C
"Mujer de 24 años, en tratamiento por esquizofrenia. Al reanudar sus estudios, se queja de problemas para 
concentrarse, tomar decisiones y disminución de su capacidad de razonamiento. ¿Cuál es la alteración del 
pensamiento que presenta?",Redundancia,Delusión,Bloqueo,Obsesión,Inhibición,E
"María G. reclama continuamente a su jefe que es postergada en su trabajo porque no reconoce su rendimiento, 
que ella juzga muy superior al promedio, pero que siempre felicita a su colega Maísa, reconocida por sus 
superiores como excepcionalmente competente, además de relacionarse muy bien con su personal. María G. tiene 
un rendimiento promedio, suele exigir que se atienda inmediatamente sus pedidos, maltrata al personal a su cargo 
cuando no lo hacen y adopta actitudes seductoras con las personas de su entorno, enojándose cuando estas no 
la elogian u obedecen. ¿Cuál es el trastorno de personalidad más probable?",Antisocial,Dependiente,Evitativa,Paranoide,Narcisista,E
"¿Qué trastorno se asocia con mayor frecuencia a pérdida prematura del sueño (onda lenta) y al aumento de la 
vigilia nocturna, con disminución de la latencia REM?",Manía,Depresión,Hiperactividad,Pánico,Psicosis,B
"Mujer de 28, previamente sana, es rescatada de un incendio con hipoxia severa luego de inhalar humo. Luego de 
su recuperación, refiere que olvidó lo ocurrido durante el incendio y su rescate. ¿Cuál es la estructura 
comprometida?",Corteza,Hipocampo,Bulbo,Cerebelo,Cíngulo,B
"¿Qué alteración se caracteriza por modificación en la atención causada por el efecto de mantenerla y se acompaña 
de disminución del rendimiento y abundancia de errores?",Concentrabilidad,Afirmabilidad,Perplejidad,Disponibilidad,Fatigabilidad,E
¿Qué trastorno hidroelectrolítico puede ser inducido por los ISRS con mayor probabilidad?,Hiperkalemia,Hipofosfatemia,Acidosis,Hipercalcemia,Hiponatremia,E
"Varón de 43 años, ingeniero civil, con acrofobia, que trabaja en edificios. En la terapia llega hasta la exposición 
imaginal, pero rechaza la exposición in vivo. ¿Qué técnica es más aconsejable como paso intermedio?",Relajación visual,Entrenamiento autógeno,Respiración diafragmática,Estimulación magnética,Realidad virtual,E
"Varón de 35 años, usuario de olanzapina 10 mg por esquizofrenia, con buen cumplimiento y evolución favorable. 
Hace dos meses se le diagnosticó reflujo gastroesofágico y recibe esomeprazol 20 mg/dos veces al día. Desde 
hace un mes volvió a escuchar voces comandatorias; hace 15 días los familiares notan que murmura y ríe solo. 
La madre administra la medicación y tanto ella como el paciente afirman que no se ha retirado la olanzapina. ¿Cuál 
es la mejor conducta terapéutica?",Duplicar la olanzapina,Cambiar el antipsicótico,Agregar carbamazepina,Usar clonazepam,Retirar el esomeprazol,E
"Varón de 32 años; es detenido por pelear en la calle con los transeúntes. La policía advierte que tiene olor a alcohol 
y marcha torpe, por lo que solicita alcoholemia. ¿Cuál será el resultado más probable, en mg/dl?",76,183,310,400,505,B
"¿En qué trastorno de la personalidad hay impulsividad, irresponsabilidad e incumplimiento de las normas morales?",Antisocial,Histriónico,Paranoide,Anancástico,Evitativo,A
¿Por qué se caracterizan los pacientes con anorexia nerviosa?,Poco apetito,Mucha sed,Activos sexualmente,Miedo a subir de peso,Buscan tratamiento,D
"De los siguientes, ¿cuál es el acontecimiento vital más estresante?",Muerte del cónyuge,Lesiones graves,Problemas sexuales,Despido laboral,Reclusión carcelaria,A
"Varón de 71 años, con diagnóstico de enfermedad pulmonar obstructiva crónica. Refiere dificultades para conciliar 
el sueño; niega otras molestias. Luego de la exploración física y mental se concluye que sólo requiere usar un 
hipnótico. ¿Cuál es el más indicado?",Clonazepam,Alprazolam,Zolpidem,Lorazepam,Midazolam,C
"¿Cuál es el efecto del consumo de cannabis, en pacientes con un trastorno psicótico establecido?",Disminuye las alucinaciones visuales,Regula la ingestión de alimentos,Disminuye la sociabilización,Reduce la frecuencia de hospitalizaciones,Produce más recaídas y más tempranas,E
"Mujer de 38 años, en tratamiento con clozapina, es diagnosticada de artritis reumatoide. Hay medicamentos 
antirreumáticos que incrementan el riesgo de aparición del efecto secundario más grave del antipsicótico. ¿Cuál 
de los siguientes tiene esa posibilidad?",Sulfasalazina,Aspirina,Tacrolimus,Paracetamol,Prednisona,A
"Niño de 5 años, que se mueve en la noche, camina como huyendo o hace movimientos como de lucha. Cuando 
se despierta, refiere a los padres que ha soñado que lo persigue un monstruo y lucha con él. ¿En qué fase del 
sueño se sitúa la alteración?",Pesadilla,Sueño superficial,Despertar,Sueño REM,Inicial,D
¿Cuál es la característica epidemiológica más importante del trastorno de ansiedad generalizada?,5% de los pacientes con ansiedad,Es más frecuente en mujeres,Se inicia a partir de los 40 años,Muy rara en atención primaria,30% de prevalencia a un año,B
"En el Estudio Epidemiológico de Salud Mental en Hospitales Regionales – 2015, se observó que ...% de la 
población adulta evaluada ha presentado deseos de morir alguna vez en su vida.",25,3,67,11,42,A
"Niño de 8 años, irritable, que se niega a ir al colegio porque bajó su rendimiento y se queja de fatiga, dolor de 
estómago. Pierde interés en juegos. La maestra lo advierte enlentecido. ¿Qué trastorno es más probable?",Ansiedad,Depresión,Agorafobia,Pánico,Psicosis,B
Es una escala usada para evaluación de depresión en adultos mayores:,Erickson,Yesavage,WAIS-R,Hamilton,Montreal,B
Entre las siguientes. ¿Cuál es la característica clínica más frecuente del trastorno delirante?,Desaliño y desaseo,Alucinaciones visuales,Delusiones vagas,Ánimo congruente,Desorientación horaria,D
"Proceso patológico marcado por la aparición de un déficit cognitivo progresivo a partir de un nivel de 
funcionamiento previo, con mantenimiento de la conciencia.",Depresión,Senescencia,Demencia,Olvido benigno,Frontalización,C
"¿Cuál es el modelo de terapia de familia donde se evalúan las alianzas y divisiones entre sus miembros, la 
jerarquía de poder, la claridad y solidez de los límites entre generaciones y la tolerancia de cada uno hacia los 
demás?",Dinámico,Sistémico,Dramático,Estructural,Apegado,D
"Mujer de 28 años, acudió a emergencia tras inferirse cortes en las muñecas. Cuando la emergencista le preguntó 
si los había hecho para matarse, ella lo negó rotundamente y afirmó que sólo lo hacía por aliviar su angustia y 
cólera. ¿Cuál es el diagnóstico más probable?",Autolisis,Irritabilidad,Disociación,Parasuicidio,Histeria,D
Temor mórbido a los espacios abiertos o a salir del marco familiar del hogar:,Ansiedad,Obsesión,Trema,Pánico,Agorafobia,E
"De los siguientes. ¿Cuál es un rango aceptable de concentración sérica de litio para el tratamiento de manía? ... 
mEq/l.","0,2 a 0,3","0,06 a 1,2","1,0 a 1,5","1,2 a 2,4","2,1 a 5.2",C
En la esquizofrenia. ¿Cuál es la alteración más frecuente en la percepción del dolor?,Disestesia oral,Dolor exquisito,Alucinación álgica,Neuralgia occipital,Incremento del umbral,E
"Varón de 28 años, en buen estado nutricional, con episodios repetidos de alucinaciones auditivas, delusiones 
referenciales y quejas de debilidad muscular, asociadas a dolor abdominal, que remiten espontáneamente. Otros 
miembros de la familia han tenido molestias semejantes. ¿Cuál es el trastorno más probable?",Porfiria,Huntington,Tuberculosis,Encefalitis,Pelagra,A
¿Cuál de los siguientes fármacos incrementa el nivel plasmático del valproato de sodio?,Carbamazepina,Fenitoína,Cimetidina,Lamotrigina,Anticonceptivos,C
"Varón de 30 años con diagnóstico de esquizofrenia. En la exploración del pensamiento muestra un sistema lógico 
totalmente subjetivo e idiosincrático, sin considerar la realidad ni la experiencia. ¿Cuál es el nombre de la 
alteración?",Alucinación,Dereísmo,Concretismo,Convicción,Terquedad,B
"Mujer de 27 años, soltera que vive con su familia, asistente de contabilidad, católica; en tratamiento por artritis 
reumatoide desde hace tres años (interrumpido por la pandemia COVID). Consulta porque experimenta ideación 
suicida desde hace 4 meses. ¿Cuál es su principal factor de riesgo para consumar el suicidio?",Estado civil,Trabajo estable,Religiosidad,Género,Enfermedad crónica,E
"Varón de 26 años, con diagnóstico de episodio depresivo moderado y en tratamiento con terbinafina por 
dermatomicosis. ¿Cuál es el antidepresivo más recomendable?",Paroxetina,Venlafaxina,Amitriptilina,Atomoxetina,Sertralina,E
"¿Qué aminas biógenas son los dos neurotransmisores más implicados en la fisiopatología de los trastornos del 
estado de ánimo?",Adrenalina y dopamina,Serotonina y glutamato,Dopamina y glutamato,Glicina y noradrenalina,Noradrenalina y serotonina,E
"Varón de 38 años, comerciante exitoso, dos veces divorciado. Acusa a su actual esposa de serle infiel ""con todos 
los hombres que se le cruzan"". En las noches cierra con llave la puerta de su departamento y su dormitorio, 
durmiendo con la espalda apoyada contra la puerta de este para evitar que la esposa aproveche su sueño para 
salir con un amante. ¿Cuál es el trastorno más probable?",Nihilista,Explosivo,Antisocial,Celotipia,Bipolar,D
"Mujer de 27 años, economista. Desde hace 4 meses experimenta tristeza, insomnio y pérdida de energía; sus 
colegas la observan distraída y enlentecida, con dificultades para tomar decisiones. Hace 2 meses se agregó 
hiporexia. Hace un mes aparecieron ideas de fracaso. Pidió consulta con Psiquiatría porque comenzó a pensar 
que sería mejor que muriera; niega episodios semejantes en el pasado. Ex. físico y laboratorio sin alteraciones. 
¿Cuál es el diagnóstico más probable?",Ansiedad,Depresión,Limítrofe,Anhedonia,Distimia,B
"Niño de 8 años es traído por la madre por dificultades para mantener la atención. ¿Qué zona cerebral está 
implicada con mayor frecuencia y probabilidad?",Ganglios basales,Corteza prefrontal,Corteza temporal,Giro cingulado anterior,Área de Broca,B
"Mujer de 74 años, con antecedentes de hiporexia y quejas de fatiga desde hace 6 meses. Desde hace 8 días 
afirma que hay gente que quiere entrar a su casa, que la vigilan y la molestan, sobre todo de noche. Hace 4 días 
grita por las noches. Es llevada a emergencia porque arroja objetos a gente de la calle. Ex. físico: adelgazada, 
palidez de piel y mucosas. Lab. Hb.7.2 g/dL, VCM 115 fL, HCM 42 pg. ¿Cuál es el diagnóstico más probable?",Psicosis geriátrica,Hemosiderosis,Delirio crónico,Anemia megaloblástica,Hiperglobulinemia,D
"¿Cuál es el tipo de esquizofrenia caracterizado por la regresión importante hacia un comportamiento primitivo, 
desinhibido y desorganizado, con actividad desorientada y nada constructiva?",Paranoide,Catatónica,Residual,Paradojal,Desorganizada,E
"Patrón dominante de inestabilidad de las relaciones interpersonales, de la autoimagen y de los afectos, e 
impulsividad intensa, que comienza en las primeras etapas de la edad adulta y está presente en diversos 
contextos: trastorno de personalidad...",disocial.,esquizoide.,compulsivo.,límite.,histriónico.,D
"Según Freud, un mecanismo de defensa maduro es:",Control,Humor,Inhibición,Regresión,Bloqueo,B
Sobre terapia con realidad virtual. ¿Cuál es el tipo de trastornos en el que se registra la mayor tasa de éxitos?,Alimentarios,Obsesivos,Fóbicos,Depresivos,Adictivos,C
"Médico de 38 años, trabaja en servicio de emergencia COVID. Desde hace 5 meses experimenta recuerdos 
angustiosos e intrusivos de los pacientes que morían por COVID 19, culpa y vergüenza por su rendimiento, 
desapego hacia los amigos y parientes, pesadillas sobre la sala de emergencias y pacientes que mueren mientras 
los evalúa, hipervigilancia, sensación de irrealidad y sobresalto. Evita zonas en las que hay aparatos de 
oxigenoterapia; al escucharlos siente palpitaciones, miedo y sudoración. Se preocupó al observar que olvidaba el 
uso de medicamentos de rutina y descuidaba rutina de protección personal. ¿Cuál es el trastorno más probable?",Depresión menor,Pánico y agorafobia,Ansioso depresivo,Estrés postraumático,Trema psicótico,D
"El trastorno de identidad disociativo está fuertemente asociado con las experiencias de trauma grave que se 
producen durante...",juventud tardía.,eventos vitales.,cambios escolares.,primera infancia.,periodo productivo.,D
¿Cuál es la razón más probable de exclusión de un candidato a trasplante de órganos?,Depresión aguda,Estrés postraumático,Esquizofrenia estable,C.I. normal bajo,Abuso de sustancias,E
"Mujer de 76 años, es diagnosticada de cáncer de mama e inicia tratamiento. Dos meses después, el esposo 
informa que ella se queja la mayor parte del tiempo con él y sus hijos, deja de frecuentar a sus amigas y su 
parroquia y dice ""¿por qué a mí?"". ¿En qué fase del duelo se encuentra?",Shock,Negociación,Enojo,Depresión,Aceptación,C
El control hematológico en los usuarios de clozapina permite vigilar el riesgo de ...,leucemia.,agranulocitosis.,coagulopatía.,policitemia.,falciformismo.,B
"Mecanismo de defensa que consiste en un cambio intencionado pero inconsciente de los impulsos o una inversión 
afectiva desde un objeto a otro con el propósito de resolver un conflicto, donde a pesar de que el objeto ha 
cambiado, la naturaleza instintiva del impulso y su objeto permanecen inalterados.",Desplazamiento,Racionalización,Obnubilación,Condensación,Proyección,A
"Alberto, 28, administrador, reservado y tranquilo; desde hace tres semanas duerme tres horas por noche, sin 
sentirse fatigado. Se muestra expansivo, se irrita con sus compañeros, trabaja más de 12 horas y luego hace una 
rutina de ejercicios extenuante. Hace 2 semanas, sus colegas advierten que habla muy rápido y que es 
impertinente e invasivo. Hace 2 días una colega se quejó porque Alberto intentó manosearla; él se justificó diciendo 
que solo quiso ser cariñoso y que no debían acusar a una persona como él, a quien iban a proponer a un Premio 
Nobel. ¿Cuál es el diagnóstico más probable?",Episodio maniaco,Estrés postraumático,Trastorno delirante,Psicosis breve,Simulación,A
"Varón de 81 años, habitualmente reservado, amable y de buenos modales; desde hace un año pelea con su 
familia, sale de su cuarto sin ropa y abraza a mujeres con las que conversa casualmente en el parque. El psiquiatra 
recomienda una resonancia magnética de cráneo y cerebro. ¿En qué área cerebral es más probable que encuentre 
una lesión?",Lóbulo frontal izquierdo,Lóbulo parietal derecho,Temporal bilateral,Región dorsolateral,Región órbitofrontal,E
"¿Cómo se llama al pensamiento o idea recurrente e intrusiva, reconocida como absurda?",Compulsión,Exageración,Obsesión,Confabulación,Manierismo,C
"¿Cuál es la etapa del desarrollo del yo a través del ciclo vital, según Erikson, que transcurre desde el nacimiento 
hasta aproximadamente los 18 meses?",Iniciativa frente a culpa,Confianza frente a desconfianza,Instinto frente a inhibición,Identidad frente a confusión,Integridad frente a desesperación,B
"¿Qué trastorno se caracteriza por miedo desproporcionado a una situación, ser u objeto, que produce evitación de 
esta, sin explicación lógica del fenómeno, que sobrepasa el control voluntario y produce malestar o sufrimiento?",Asco,Trauma,Duelo,Filia,Fobia,E
"¿En qué tipo de trasplante de órganos es más frecuente la presencia de ansiedad y depresión durante el primer 
año?",Hígado,Riñón,Corazón,Córnea,Intestino,C
"Mujer de 71 años, sin antecedentes patológicos previos, afirma desde hace 7 meses que un vecino de su quinta 
la espía porque quiere que se vaya. ""Hizo un hueco en el tubo de agua; por las noches, echa allí polvos para 
intoxicarme. Bota frente a mi casa papeles con COVID para que me contagie. Siempre avisa a su esposa cuando 
salgo de mi casa"". El vecino y su familia la recordaban alegre y comunicativa, que cuidó bien de su madre 
esquizofrénica hasta su fallecimiento hace 20 años. Ex. físico, laboratorio e imágenes normales. Sin alteración de 
sueño, memoria ni desorientación. ¿Cuál es el diagnóstico más probable?",Demencia,Parafrenia,Obsesión,Vasculitis,Desnutrición,B
"La última etapa del desarrollo, según Erikson, es ...... frente a...",esperanza - estabilización.,integridad - desesperación.,generatividad - inquietud.,confianza - aislamiento,laboriosidad - inferioridad,B
¿Qué porcentaje de heredabilidad presenta el trastorno por déficit de atención e hiperactividad?,25,10,50,90,75,E
"Varón de 45 años. Desde hace un año muestra preocupación excesiva por hechos de la vida cotidiana, dificultades 
para concentrarse, tensión muscular, inquietud, irritabilidad e insomnio de conciliación. Cuando está muy 
preocupado tiene palpitaciones, sudoración, boca seca y a veces diarrea. Ex. físico, laboratorio e imágenes sin 
alteraciones. ¿Cuál es el trastorno más probable?",Ansiedad generalizada,Depresivo mayor,Obsesivo compulsivo,Personalidad límite,Estrés postraumático,A
"Mujer de 36 años, receptora de trasplante renal, con aumento de peso por el tratamiento inmunosupresor; es 
diagnosticada de depresión severa. ¿Cuál es el antidepresivo de elección?",Mirtazapina,Venlafaxina,Fluvoxamina,Escitalopram,Bupropión,D
"Varón de 28 años, con esquizofrenia paranoide, usuario de decanoato de haloperidol cada 30 días, con adecuado 
conocimiento de su enfermedad. Refirió que fuma cigarrillos todos los días porque hacerlo le alivia ciertas 
molestias. ¿A qué síntomas se refiere?",Delusionales,Alucinatorios,Confusionales.,Maniformes,Extrapiramidales,E
"A una persona a quien le preocupa ser criticado o rechazado en situaciones sociales y se muestra poco dispuesto 
a establecer relación con los demás, a no ser que esté seguro de ser apreciado se le diagnostica un trastorno de 
la personalidad...",irritante.,evitativo.,esquizotípico.,narcisista.,orgánico.,B
"Varón de 27 años, fisicoculturista. Desde hace tres años usa una sustancia vendida en su gimnasio, para ""mejorar 
mi rendimiento y mis músculos"". Desde hace 10 meses experimenta irritabilidad, sensación de invencibilidad y 
euforia; ha tenido peleas con episodios de violencia, lo que no se condice con su conducta previa al uso de la 
sustancia, afable y sereno. Cuando la suspendió, asustado por su conducta, volvió a su conducta previa. ¿Cuál 
es, con mayor probabilidad, la sustancia responsable?",Esteroide anabolizante,Benzodiazepina,Dextroanfetamina,Ácido valproico,Tetrahidrocannabinol,A
¿Cuál es el trastorno endocrinológico más frecuente en los pacientes que usan litio?,Hipotiroidismo,Diabetes mellitus,Hipogonadismo,Hipercolesterolemia,Hipocalcemia,A
El síndrome de Korsakoff se asocia al alcoholismo crónico. ¿Cómo actúa el alcohol en su génesis?,produce apetencia por la glucosa,interfiere en absorción de tiamina,favorece la excreción de vitamina D,bloquea el ingreso de vitamina B1,aumenta la producción de tiramina,B
¿Cuál es un instrumento breve de cribado para alcoholismo?,PANSS,YBOCS,CAGE,HAM-D,SADS,C
¿Cuál es el efecto secundario más peligroso de lamotrigina?,Vasculitis necrotizante,Dolor articular y dorsal,Necrólisis epidérmica tóxica,Insuficiencia renal aguda,Cirrosis hepática aguda,C
"Lesiones causadas por rascado y extrusión en respuesta al prurito o a otra sensación cutánea, o debido al afán 
de eliminar una irregularidad de la piel procedente de una dermatosis preexistente.",Excoriación psicógena,Delirio excoriativo,Prurito exudativo,Dermatitis atópica,Psoriasis crónica,A
¿Qué neurotransmisor está más involucrado en el trastorno por déficit de atención?,Acetilcolina,GABA,Serotonina,Histamina,Dopamina,E
"¿Cuál es el trastorno de personalidad que se caracteriza por desconfianza injustificada, hipersensibilidad, rigidez 
y tendencia a culpar y asignar intenciones malévolas a otros?",Paranoide,Narcisista,Evitativo,Histriónica,Esquizoide,A
En un paciente con esquizofrenia … hay trastornos psicomotores graves y posturas rígidas por largos periodos.,hebefrénica,paranoide,simple,catatónica,depresiva,D
"Mujer, escolar de 15 años, apreciada por sus familiares y amigas, de buen rendimiento académico, con IMC de 
24; desde hace 5 meses tiene episodios de atracones tres veces por semana con sensación de falta de control 
sobre la ingestión de comida; después de éstos se siente culpable y teme aumentar de peso, por lo que vomita a 
escondidas y después hace ejercicios por tres horas. Cuando la madre la descubre, confiesa que se siente muy 
mal por ""ser gorda"" y que piensa que sólo las chicas delgadas son apreciadas y exitosas. Entre episodios come 
sin problemas. ¿Cuál es el diagnóstico más probable?",Anorexia,Depresión,Imitación,Dismorfofobia,Bulimia,E
"Entre los siguientes trastornos, ¿cuál es la comorbilidad más frecuente en el trastorno de pánico?",Estrés postraumático,Fobia específica,Esquizofrenia,Trastorno bipolar,Depresión mayor,E
