questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"Lactante de 8 meses que presenta neoplasia solitaria en tejido blando de extremidad derecha. AP revela fascículos 
entrecruzados de células tumorales inmaduras primitivas ovoides y fusiformes, escaso pleomorfismo celular, 
numerosas mitosis y áreas con necrosis tumoral y hemorragia. Pruebas complementarias muestran translocación 
cromosómica t(12;15) (p13;q26) Fusión de NTRK3-ETV6. ¿Cuál es el diagnóstico más probable?",Fibromatosis congénita del lactante,Fibromatosis desmoide,Miofibroma /miofibromatosis del lactante,Rabdomiosarcoma fusiforme,Fibrosarcoma del lactante,E
"¿Cuál es la patología que se caracteriza por presentar granulomas necrotizantes en el tracto respiratorio superior 
y Glomerulonefritis necrotizante focal?",Púrpura de Henoch-Schnlein,Poliarteritis nodosa,Vasculitis autoinmune,Crioglobulinemia,Granulomatosis con polivasculitis,E
"Adolecente de niño de 15 años acude por presentar fractura patológica luego de una lesión menor en el campo de 
fútbol. El área de la fractura está rodeada por un gran tumor que muestra un marcado pleomorfismo, alta actividad 
mitótica y amplia diferenciación cartilaginosa en el microscopio. ¿Cuál es el diagnóstico más probable?",Osteocondroma,Condrosarcoma,Tumor de células gigantes,Osteosarcoma,Sarcoma de Ewing,D
"¿Cuál de las siguientes lesiones no se cree que surja de la unidad lobular del conducto terminal (TDLU) de la 
mama?",Cambio fibroquístico,Papiloma solitario,Carcinoma ductal infiltrante,Carcinoma lobulillar infiltrante,Fibroadenoma,B
"Varón de 62 años, refiere que, durante los últimos 3 meses ha notado agrandamiento indoloro en ambos testículos. 
La ecografía no revela cavidad llena de líquido en ninguno de los testículos. ¿Cuál es el diagnóstico más probable?",Carcinoma embrionario,Coriocarcinoma,Teratoma,Linfoma,Seminoma,D
¿Con que otro nombre se le denomina a la tiroiditis de Quervain?,Struma linfomatosa,Tiroiditis granulomatosa,Tiroiditis aguda,Tiroiditis de Hashimoto,Tiroiditis autoinmune,B
¿Cuál de las siguientes afecciones está asociada con la calcificación distrófica?,Hiperparatiroidismo,Enfermedad metastásica,Mieloma,Sarcoidosis,Infarto,E
¿Cuál de los siguientes cambios caracteriza la lesión celular reversible?,Cambios grasos,Rotura de la membrana celular,Apoptosis,Pérdida de la función mitocondrial,Cariorrexis,A
"Mujer de 45 años con gastritis atrófica padece diarrea líquida profusa intensa de aparición repentina, En los 3 días 
siguientes sufre deshidratación grave. Al examen físico se encuentra afebril, aunque la turgencia de su piel es 
mala. Las pruebas de laboratorio del líquido diarreico muestran restos de moco sin sangre y escasos leucocitos. 
Hemocultivo negativo. La mujer es hospitalizada y recibe fluidoterapia durante 1 semana. ¿Cuál es el diagnóstico 
más probable?",Fiebre tifoidea,Hidatidosis,Filariasis,Cólera,Amebiasis,D
"Mujer de 60 años, con diarrea acuosa, no sanguinolenta de 12 meses de evolución. Colonoscopía: mucosa de 
apariencia normal. AP revela mucosa con arquitectura conservada, infiltrado inflamatorio crónico en la mitad del 
epitelio superficial, capa subepitelial engrosada que tiñe con coloración Masson, distribuido en parches con 
atrapamiento de células inflamatorias, eosinófilos y capilares pequeños. ¿Qué tipo de colitis presenta la paciente?",Linfocítica,Ulcerosa,Isquémica,Colagenosa,Por radiación,D
¿Cuál de los segmentos del tracto gastrointestinal está más comúnmente afectado por gastroenteritis eosinofílica?,Duodeno,Estómago,Esófago,Íleon,Colon,B
¿Cuál es el marcador utilitario para diferenciar entre mesotelioma y un carcinoma seroso?,CK7,CK20,OC-125,WT-1,Calretinina,E
"Mujer de 62 años con antecedentes de tabaquismo (65 paquetes por año) y diagnóstico de enfermedad pulmonar 
obstructiva crónica, recibe oxígeno, muere mientras visitaba a su hijo durante el fin de semana. Se solicita 
necropsia. ¿Cuál de los siguientes hallazgos en el corazón sería más consistente con el proceso de su 
enfermedad?",Dilatación ventricular izquierda,Ateroesclerosis de la arteria coronaria,Hipertrofia ventricular izquierda,Displasia fibromuscular de arteria coronaria,Hipertrofia ventricular derecha,E
"¿Cuál de las siguientes opciones describe mejor la apariencia morfológica y el patrón de tinción de 
inmunohistoquímica de los cánceres de mama de tipo luminal A para el receptor de estrógeno (ER), el receptor de 
progesterona (PR) y HER2?",Carcinoma ductal invasivo ER positivo bien diferenciado,"Carcinoma ductal invasivo triple negativo (ER, PR, HER2) pobremente diferenciado","Carcinoma ductal invasivo triple positivo (ER, PR, HER2) pobremente diferenciado",Carcinoma ductal invasivo positivo para HER2 moderadamente diferenciado,Carcinoma lobulillar invasivo ER positivo bien diferenciado,A
"Varón de 64 años es llevado a urgencias después de sufrir caída, refiere dolor en muslo derecho. Antecedente de 
hipertensión y enfisema, historial de tabaquismo de 60 paquetes por año. Durante los últimos 6 meses, ha 
desarrollado tos persistente no productiva y ocasionalmente con sangre. Rx del muslo derecho revela fractura de 
la diáfisis del fémur asociada a una masa. La masa no se comunica con la cavidad medular. ¿Cuál es el diagnóstico 
más probable?",Condrosarcoma,Osteocondroma,Carcinoma de pulmón metastásico,Sarcoma de Ewing,Osteoporosis,C
"Un médico está revisando el informe patológico de un paciente con adenocarcinoma de colon. ¿Cuál de los datos 
ayudaría determinar el grado del tumor?",Número de figuras mitóticas por campo de gran aumento,Tamaño del tumor,Diseminación metastásica a otro órgano,Profundidad de invasión de la pared del colon,Número de ganglios linfáticos positivos,A
"Varón de 20años, entra en un ascensor lleno de personas con gripe que están tosiendo y estornudando. Las 
partículas del virus de la gripe que inhala se une al epitelio respiratorio, y la infección vírica reduce las moléculas 
del CPH de clase I presentadas en estas células epiteliales. ¿Qué células inmunitarias es más probable que 
disminuya rápidamente las células infectadas por el virus?",Linfocito CD4+,Linfocito B,Macrófago,Linfocito citolítico natural,Célula dendrítica,D
"Varón de edad mediana acude por lesión orbitaria pequeña, bien delimitada, dolorosa. AP revela proliferación de 
células fusiformes redondeadas de aspecto inocuo con una celularidad variable, prominentes espacios 
angiectoides; cambios quísticos y hemorragia, células estromales multinucleadas alrededor de espacios 
angiectoides. IHQ: reacción positiva para CD34 Y CD99. ¿Cuál es el diagnóstico más probable?",Fibroblastoma de células gigantes,Fibrohistiocitoma,Sarcoma sinovial monofásico,Dermatofibrosarcoma,Angiofibroma de células gigantes,E
En relación al lipoblastoma:,Tiene riesgo de metástasis,Tiene riesgo de transformación maligna,Es una neoplasia benigna,Tiene mal pronóstico,No presenta áreas mixoides,C
¿Cuál de los siguientes subtipos de virus del papiloma humano (VPH) se considera de alto riesgo?,11,6,40,42,31,E
"Una mujer de 36 años acude a su ginecólogo por sangrado en orina. También tiene episodios ocasionales de dolor 
abdominal. Ambos síntomas ocurren durante su período menstrual, no tiene antecedentes de uso de tabaco. ¿Qué 
revelaría el examen histológico de la lesión causal?",Fascículos entrelazados de músculo liso,Pólipos revestidos de células neoplásicas,Schistosoma haematobium,Calcificación displásicas,"Glándulas, estroma y hemosiderina",E
"Varón de 40 años, presenta dolor y movilidad de pieza dentaria 1.1, 1.3 de maxilar superior. Rx: lesión 
radiotransparente circunscrita. AP revela cápsula de tejido fibroso con denso infiltrado inflamatorio crónico, y 
revestido por epitelio escamoso estratificado, con áreas de calcificación distrófica. ¿Cuál es el diagnóstico más 
probable?",Tumor odontogénico queratinizante,Quiste periapical,Quiste odontogénico ortoqueratinizante,Quiste periodontal lateral,Quiste del conducto nasopalatino,B
"La leucemia mieloide aguda sin maduración. ¿A qué tipo de leucemia corresponde en la clasificación de la 
Asociación Franco-Américo-Británica (FAB)?",M0,M1,M2,M3,M4,B
¿Cuál es la mutación que tiene impacto pronóstico favorable en el síndrome mielodisplásico?,RUNX1,TP53,SRSF2,NRAS,SF3B1,E
¿Cuál es la característica morfológica asociada al diagnóstico del neurofibroma difuso?,Múltiples nódulos tumorales intraneurales,Cambio mixoide,Hialinización,Disposición estoriforme de células,Cuerpos de Wagner-Meissner,E
"Mujer de 45 años, con tumoración ovárica. Macroscopía: tumoración sólido-quística de 8 cm, áreas quísticas 
multiloculadas. La microscópia revela  macro y microfoliculos con contenido coloide, células foliculares planas de 
citoplasma pálido, algunas eosinofílicas con núcleos uniformes, redondos a ovales y cromatina uniforme. ¿Cuál 
es el diagnóstico más probable?",Disgerminoma,Teratoma Inmaduro,Tumor Sertoli-Leyding,Tumor Yolk Sac,Struma ovarri,E
¿Cuál es el hallazgo inmunohistoquímico más importante del tumor de saco vitelino?,SALL-4,CD117,CD30,EMA,AFP,E
"Niña de 13 años con diagnóstico de diabetes tipo 1. ¿Qué cambio patológico mostraría el examen histológico del 
páncreas?",Depósito de amiloides dentro de los islotes,Infiltración de células en los islotes por linfocitos T,Calcificación distrófica y necrosis grasa,Mayor número de islotes,Atrofia y fibrosis acinar,B
"Paciente homosexual de 46 años acude por la aparición de maculas en la piel del tronco. La biopsia revela 
pequeños espacios capilares revestidos con células endoteliales con algo de pleomorfismo nuclear, dispersos 
entre los conductos vasculares se encuentra eritrocitos, macrófagos con hemosiderina y otras células inflamatorias 
mononucleares extravasadas. ¿Cuál es el agente etiológico más probable, responsable de esta lesión?",HHV-8,VHS,VHS-6,VIH,CMV,A
"Niña de 8 años con diagnóstico leucemia linfoblástica aguda. ¿Cuál de los siguientes cambios citogenéticos 
conferiría un buen pronóstico?",Reordenamiento 11q23,t (9; 22),t (1; 19),Hiperdiploidía,Hipodiploidía,D
"¿Cuál de los tumores de células renales, es usualmente positivo difusamente para AMACR?",Carcinoma papilar de células renales,Carcinoma de células claras renal,Carcinoma cromófobo,Carcinoma de ductos colectores,Carcinoma medular renal,A
"Varón de 43 años, acude por coloración amarillenta de los ojos. Las pruebas de laboratorio revelan bilirrubina total 
de 3,5 mg / dL y la bilirrubina directa es de 0,2 mg / dL. Tira reactiva de orina no revela bilirrubina. ¿Qué patología 
es más probable que revele la biopsia del hígado?",Puente fibroso entre los espacios portales,Necrosis de hepatocitos,Parénquima normal,Aumento de hierro,Invasión linfocítica del tracto portal,C
"Varón de 23 años, refiere que ha desarrollado una inflamación indolora en testículo izquierdo. Después del 
diagnóstico, se realiza una resección. El AP revela tumor mixto de células germinales, 50% de seminoma, 35% de 
coriocarcinoma y 15% de tumor del saco vitelino. ¿Cuál es la anomalía genética isocromosómica más probable de 
esta patología?",13p,10p,11p,14p,12p,E
"¿Cuál es el mecanismo patológico por el cual el dispositivo intrauterino (DIU) condiciona la colonización del tracto 
genital femenino por Actinomyces?",Actúa como cuerpo extraño creando un microambiente anaeróbico,Por el intercambio de proteoglucanos de membrana a membrana,El actinomyces actúa como agente transportador de entactina,Actúa produciendo una respuesta tisular a cuerpo extraño,"Actúa rompiendo la capa bilipídica del citoplasma de la ""célula blanco""",A
¿Qué características histológicas presentará una glándula tiroides que está siendo estimulada por TSH?,Número reducido de células foliculares,Número elevado de células parafoliculares,Abundancia de coloide en la luz del folículo,Células foliculares en forma de columna,Número reducido de capilares parafoliculares,D
¿Cuál de los siguientes linfomas tiene mejor supervivencia a los 5 años?,Linfoplasmocítico,Anaplásico de células grandes ALK (+),De la zona marginal,De Burkit,De células del manto,B
"Mujer de 45 años con dolor abdominal, hematemesis. Endoscopía: área nodular eritematosa a nivel del bulbo 
duodenal. AP revela aplanamiento velloso, infiltración de células plasmáticas, neutrófilos en lámina propia, 
metaplasia gástrica. Hiperplasia de las glándulas de Brunner. ¿Cuál es el diagnóstico según los hallazgos 
histológicos?",Duodenitis péptica,Celiaquía,Enfermedad de Crohn,Esprúe tropical,Macroglobulinemia de Waldenström,A
"Niño de 2 años con retraso en el crecimiento desde la lactancia. El examen muestra talla baja y rasgos faciales 
toscos, con protrusión de la lengua y hernia umbilical. Al madurar el niño, se hace evidente una discapacidad 
intelectual profunda. ¿Cuál es la hormona deficitaria más probable?",Cortisol,Tiroxina (T4),Noradrenalina,Somatostatina,Insulina,B
"Se realiza una esplenectomía a una mujer de 60 años con esplenomegalia, debilidad, fatiga, monocitopenia y un 
infiltrado predominantemente de pulpa roja. La IHQ expresan positividad para CD20, CD11c, CD103, CD25 y 
anexina-1. ¿Cuál es diagnóstico más probable?",Leucemia mieloide crónica,Leucemia de células peludas,Linfoma difuso de células B grandes,Leucemia linfocítica crónica / linfoma de,Linfoma esplénico con linfocitos vellosos,B
Con relación al eritema nodoso:,Es una anaerobiosis granulomatosa,Es una paniculitis lobulillar,No es una paniculitis,Es una paniculitis septal,Se presente por lo general en la cara,D
¿A que ha sido atribuida la patogenicidad de Candida spp en los pacientes inmunosuprimidos?,Producción de toxina,Crecimiento por contigüidad,Capacidad de adherencia y diversos tipos de,Su capacidad fermentativa,Crecimiento a 37°C,C
"Paciente acude a emergencia con un cuadro de abdomen agudo y al examen maniobra de Mc. Burney (+). Examen 
macroscópico: apéndice cecal con tumoración en el tercio distal con disminución del lumen de coloración 
amarillenta. AP revela nidos sólidos, cuyas células tumorales son uniformes, con leve atipia; no se evidencia 
actividad mitótica. El Ki67 es menor del 2%. ¿Cuál es el diagnóstico más probable?",Adenocarcinoma bien diferenciado,Tumor epitelial mucinoso de bajo grado,Linfoma de células pequeñas,Tumor carcinoide,Tumor estromal gastrointestinal,D
"La obliteración fibrosa del lumen apendicular se debe al reemplazo de todo el lumen y las criptas subyacentes por 
células fusiformes. ¿Qué marcador inmunohistoquímico se expresa a menudo por esta proliferación de células 
fusiformes?",Caldesmon,Sinaptofisina,Citoqueratina,Proteína S-100,Desmina,D
¿Cuál de los siguientes procesos logra la hemostasia primaria después del trauma?,Formación de malla de fibrina,Aumento de la permeabilidad vascular,Vasoconstricción arteriolar,Actividad plasminógena tisular (t-PA),Formación del tapón plaquetario,E
"Un niño de 15 días de nacido es llevado Emergencia. Sus padres están preocupados porque comenzó a vomitar 
en proyectil. Mientras está en la sala de emergencias, vomita y el médico observa que el líquido no está manchado 
de bilis. La palpación del abdomen revela una masa en el cuadrante superior izquierdo del abdomen. ¿Cuál es el 
diagnóstico más probable?",Tumor del estroma gastrointestinal,Quiste pancreático congénito,Estenosis pilórica congénita,Quiste de colédoco,Atresia duodenal,C
"Cadáver de sexo masculino, NN, edad aproximada 58 años, que ha fallecido hace 3 horas, de forma súbita. Al 
realizar la necropsia, se encuentra necrosis en la pared anterior y lateral del ventrículo izquierdo. AP revela tejido 
de granulación con neovascularización y depósito de colágeno. Con esos datos se puede afirmar que el infarto se 
produjo …… antes de la muerte.",1 a 3 días,4 a 8 semanas,más de 2 meses,12 a 24 horas,10 a 14 días,E
¿En cuál de los cromosomas se encuentra el gen VHL de la enfermedad de von Hippel-Lindau?,3,1,11,17,22,A
"Mujer de 41 años, controlada por médico durante varios años. Originalmente, se presentó a consulta por episodios 
de prurito. Hoy la ven por fatiga. En el examen se observa conjuntivas amarillas. Aparte del hipotiroidismo leve 
que requiere reemplazo hormonal, no tiene otros antecedentes médicos importantes. No tiene antecedentes 
familiares de enfermedad hepática. ¿Cuál es el diagnóstico más probable?",Galactosemia,Colangitis esclerosante primaria,Cirrosis biliar primaria,Deficiencia de α-1-antitripsina,Colecistitis crónica,C
¿Qué experimenta la capa funcional del endometrio durante la fase proliferativa del ciclo menstrual?,Los vasos sanguíneos se rompen,Se renueva el epitelio,Las glándulas se espiralizan,Los vasos sanguíneos se vuelven isquémicos,El estroma se contrae debido al edema,B
¿Cuál es la patología cuyo hallazgo patognomónico es una transformación espongiforme de la corteza cerebral?,Panencefalitis esclerosante subaguda,Insomnio familiar fatal,Toxoplasmosis cerebral,Neuronofagia,Enfermedad de Creutzfeldt-Jacob,E
"Mujer de 39 años, refiere cefalea, opresión facial, obstrucción nasal con rinorrea y reducción del gusto durante los 
últimos 6 meses. Al examen físico se observan molestias a la palpación del seno maxilar izquierdo. No se 
identifican lesiones bucales. La rinoscopia revela eritema nasal, edema y secreción purulenta. ¿Cuál es la 
complicación probable?",Carcinoma nasofaríngeo,Papiloma nasosinusal,Linfoma T,Mucocele,Osteomielitis,E
"Varón de 28 años, con ulcera esofágica de bordes definidos, poco profunda. Microscopia revela fragmento de 
epitelio escamoso estratificado; área erosionada con inclusiones nucleares tipo vidrio esmerilado con halo claro y 
marginación de cromatina periférica (Cowdry tipo A). ¿Cuál es el diagnóstico?",Citomegalovirus,Adenovirus,Rotavirus,Coronavirus,Herpes virus simple,E
¿Cuál de los siguientes tumores tiene la mayor propensión por la invasión vascular?,Adenocarcinoma de colon,Carcinoma de células basales,Glioblastoma,Carcinoma de células renales,Adenocarcinoma de pulmón,D
"¿Cuál de los siguientes tipos de colágeno se encuentra con mayor frecuencia en la piel, fascia, tendones y huesos?",II,I,III,IV,V,B
"Mujer de 68años, perdió el conocimiento de repente y al despertarse 1h después no podía hablar ni mover el brazo 
derecho. A los 2 meses, una TC craneal mostro una gran área quística en el lóbulo parietal derecho. ¿Cuál de los 
siguientes procesos patológicos es más probable que haya tenido lugar en el encéfalo?",Apoptosis,Necrosis por licuefacción,Necrosis isquémica,Cariólisis,Necrosis coagulativa,B
"Pacientes infectados por VIH con recuentos de linfocitos CD4+ por debajo de 100 células /ul presentan un mayor 
riesgo de infecciones pulmonares. Algunos presentan malabsorción con pérdida de peso, sudoración nocturna y 
fiebre. La histología del lavado broncoalveolar revela macrófagos llenos de microorganismos acidorresistente. 
¿Cuál de las siguientes infecciones han desarrollado estos pacientes?",Aspergillus neger,Candidas albicans,Legionella pneumophil,Complejo Mycobacterium avium,Nocardia asteroides,D
"Varón de 20 años, presenta tumor de partes blanda en la parte inferior de la pierna. El tumor se aproxima mucho 
a la articulación de la rodilla, pero no parece surgir dentro de la membrana sinovial ni comunicarse con ella. AP 
revela proliferación de células fusiformes con componente epitelial y las pruebas moleculares muestran una 
translocación t(X; 18). ¿Cuál es el diagnóstico?",Sarcoma pleomórfico indiferenciado,Liposarcoma,Rabdomiosarcoma,Histiocitoma fibroso,Sarcoma sinovial,E
"Mujer de 77años, pierde el conocimiento súbitamente con ausencia de movimiento en la parte derecha de su 
organismo. La angiografía cerebral muestra una oclusión de la arteria cerebral media. ¿Cuál de los siguientes 
mediadores es más útil para prevenir que se agrave la lesión isquémica?",Tromboxano A2,Bradicinina,Leucotrieno E4,Óxido nítrico,Factor activador de plaquetas,D
¿Cuál es el hongo causante del asma intrínseco?,Mycocladus corymbifera,Aspergillus fumigatus,Saccharomyces cerevisae,Penicillium roquefortii,Rhizopus oryzae,B
"¿Cuál de las siguientes alteraciones moleculares se asocia con peor pronóstico clínico en pacientes con leucemia 
linfoblástica aguda de células B?",t (4; 11),t (12; 21),t (9; 22),Hiperdiploidía,Hipodiploidía,C
¿Cuál es el principal factor predisponente para desarrollar aspergiloma pulmonar?,Diabetes mellitus,Cáncer en estado terminal,Heridas penetrantes de tórax,Cavernas pulmonares previas,Tratamiento con corticoesteroides,D
"Mujer de 45 años, acude a consulta por presentar tumor palpable en mama derecha. AP revela pequeños túbulos 
redondeados dispuestos desordenadamente dentro de conductos y lobulillos normales y alrededor de estos, 
reacción estromal escasa. Los túbulos son redondeados y compuestos por una sola capa de células, contienen 
material eosinofílico PAS+. ¿Cuál es el diagnóstico más probable?",Carcinoma tubular invasivo,Adenosis esclerosante,Hiperplasia ductal atípica,Adenosis microglandular,Hiperplasia ductal habitual,D
El tumor de Lindsay de la tiroides corresponde al carcinoma papilar variante...,células columnares.,micropapilar.,desdiferenciado.,sólido.,folicular.,E
¿Qué condición caracteriza a los pacientes que padecen de linfocitosis monoclonal de linfocitos B?,Linfadenopatía,Organomegalia,Recuento de linfocitos B monoclonales < 5x109,Los linfocitos B son CD5-,Recuento de linfocitos B monoclonales > 5x109,C
¿Cuál de los siguientes es un ejemplo de hipersensibilidad mediada por anticuerpos (tipo II)?,Reacción de Arthus,Anemia hemolítica autoinmune,Poliarteritis nodosa,Enfermedad del suero,Lupus eritematoso sistémico,B
"¿Cuál de los siguientes hallazgos histológicos es más probable que se encuentre en una muestra de 
apendicectomía de un paciente con antecedentes de ruptura de hace 4 semanas y posterior terapia con 
antibióticos?",Inflamación granulomatosa,Infiltrado inflamatorio eosinofílico,Criptitis,Hiperplasia linfoide,Periapendicitis,A
"Lactante de 6 meses con una tumoración intrarrenal macroscópicamente sólida y amarillenta. AP revela células 
fusiformes acompañadas por islotes de cartílagos y focos de hematopoyesis. ¿Cuál es el diagnóstico más 
probable?",Nefroma mesoblástico,Tumor rabdoide,Sarcoma de células claras,Tumor de Wilms,Neuroblastoma,A
"Niño de 5 años, la mama refiere que sufre de cefalea, ataxia y vómitos desde hace 3 semanas. En la TC de cráneo 
se observa masa en fosa posterior que emerge de la línea media del cerebro y alcanza el IV ventrículo. ¿Cuál es 
el diagnóstico más probable?",Craneofaringioma,Hemangioblastoma,Glioblastoma multiforme,Oligodendroglioma,Meduloblastoma,E
"¿Qué porcentaje de prolinfocitos en sangre periférica se requiere para un diagnóstico de leucemia prolinfocítica 
de células B?",10%,50%,55%,5%,90%,C
"Varón de 61 años con hematuria, TC tumor renal de localización piramidal central. AP revela arquitectura tubular 
irregular con alto grado nuclear y estroma desmoplásico. IHQ: reacción positiva para 34BE12, ULEX -1 y CK de 
bajo peso. Negatividad para CD10, AMACR, PAX-2. ¿Cuál es el diagnóstico más probable?",Carcinoma renal papilar,Carcinoma del conducto colector,Carcinoma,Carcinoma metastásico,Carcinoma de células renales sin clasificar,B
"¿Cuál es la dermatosis infecciosa que asemeja a una verruga plana, tiene ocurrencia familiar, con una herencia 
autosómica recesiva, puede sufrir cambios malignos generalmente hacia la enfermedad de Bowen, y en ocasiones, 
a carcinoma espinocelular?",Condiloma acuminado,Molusco contagioso,Exantemas virales,Granuloma anular,Epidermodisplasia verruciforme,E
"Mujer de 74 años, acude por presentar masa tumoral en la uretra desde hace 6 meses, le produce dolor local e 
irritación y en este momento sangra. Al examen masa verrucosa ulcerada de 2.5cm, que protruye desde el meato 
uretral externo. No se observa lesiones en labios mayores, menores ni en vagina. Se le toma biopsia. ¿Cuál es el 
diagnóstico más probable?",Rabdomiosarcoma embrionario,Leiomioma,Carcinoma epidermoide,Condilomas plano,Carcinoma de células claras,C
"¿Cuál es la fase de la mitosis en la cual las cromátides de cada cromosoma se separan y se dirigen hacia polos 
opuestos?",Metafase,Anafase,Profase,Prometafase,Telofase,B
"Niño de 12 años es llevado a emergencias por sus padres porque se queja de no poder ver correctamente. Al 
examen clínico muestra defectos temporales bilaterales en su campo visual. Una tomografía computarizada 
cerebral revela masa que tiene algo de calcificación. ¿Cuál es el diagnóstico más probable?",Meduloblastoma,Craneofaringioma,Ependimoma,Oligodendroglioma,Astrocitoma pilocítico,B
"En un paciente con diagnóstico de tumor carcinoide en pulmón. ¿Cuál de las siguientes manifestaciones cardíacas 
es más probable que se desarrolle como parte de una cardiopatía carcinoide?",Estenosis de la válvula aórtica,Estenosis de la válvula mitral,Insuficiencia de la válvula pulmonar,Insuficiencia de la válvula aórtica,Insuficiencia de la válvula tricúspide,E
"Un paciente de 53 años sufre un infarto agudo de miocardio. Se encuentra que tiene un alto nivel de inhibidor 
competitivo para la activación de plasmina. ¿Cuál es este inhibidor?",Lipoproteína (a),LDL oxidado,Metaloproteinasas,Proteína C reactiva,Homocisteína,A
"Mujer de 40 años, a la que se le realiza BAAF de nódulo tiroideo multilobulado con ecogenicidad heterogénea. La 
citología revela regular cantidad de linfocitos maduros pequeños sin atipia en fondo hemático, asociado a células 
foliculares, dispuestas en mantos pequeños que carecen de superposición nuclear; núcleos ovalados con bordes 
definidos de aspecto benigno, situados en espacios uniformes, asociado a la presencia de células de Hürtle y 
escaso coloide.  ¿Cuál es el diagnóstico más probable?",Enfermedad de Graves,Tiroiditis granulomatosa,Tiroiditis aguda,Tiroiditis de Hashimoto,Tiroiditis de Riedel,D
"Niño de 3 años con síndrome febril de etiología desconocida, linfadenopatía cervical, rash cutáneo eritematoso e 
inyección conjuntival. AP ganglionar reveló infartos en parches asociados a trombos de fibrina en vasos pequeños. 
¿Cuál es el diagnóstico más probable?",Toxoplasmosis,Mononucleosis infecciosa,Lupus eritematoso diseminado,Enfermedad de Behcet,Enfermedad de Kawasaki,E
¿Cuál es criterio diagnóstico de gammapatía monoclonal de significado indeterminado?,Hiperviscosidad,Infiltrado linfoplasmocítico en médula ósea <10%,Hepatoesplenomegalia,Concentración sérica de proteína monoclonal IgM >30 g/L,Anemia,B
"¿Cuál es la lesión ósea que produce un aumento de masa en forma desordenada y estructuralmente inapropiada, 
su hallazgo característico es el patrón en mosaico?",Osteítis deformante,Acondroplasia,Osteopetrosis,Displasia tanatofórica,Osteoma osteoide,A
"Cambios histológicos en bronquíolos caracterizados por  neumonía intersticial, granulomas caseificantes y fibrosis 
intersticial. ¿A qué patología corresponde?",Neumonía por hipersensibilidad,Daño alveolar difuso,Neumonía intersticial linfoide,Sarcoidosis,Neumonía intersticial habitual,A
