questions,option_A,option_B,option_C,option_D,option_E,correct_answer
¿Qué tratamiento indicaría para un paciente agitado producto de la abstinencia al alcohol?,Haloperidol y midazolam,Haloperidol y tiamina,Clorpromazina y diazepam,Diazepam y tiamina,Diazepam y glucosa,D
"¿En qué tipo de trastorno de la infancia es más frecuente la dificultad para dormir producto de temores a monstruos en 
la oscuridad?",Depresivos,Obsesivos,Ansiosos,Eliminación,Psicóticos,C
¿Cuál fue el primer fármaco aprobado para el tratamiento del trastorno obsesivo compulsivo?,Amitriptilina,Bupropion,Clomipramina,Venlafaxina,Fluoxetina,C
¿Qué sustancia cuyo consumo produce ojos rojos y fatiga suele ser alucinógena a altas dosis?,Cocaína,PBC,Alcohol,Marihuana,Inhalantes,D
¿Cuál es considerado un factor de buen pronóstico en el trastorno de déficit de atención con hiperactividad?,Consumo de sustancias,Agresividad,Bajo rendimiento escolar,Problemas de conducta,Familia funcional,E
"¿A qué anormalidad psicológica está asociada la imposibilidad de parar el consumo casí diario de marihuana en un 
adolescente, a pesar de ser conocedor de los perjuicios psicológicos, físicos, familiares y personales de hacerlo?",Pensamiento,Voluntad,Sentimiento,Inteligencia,Conciencia,B
"Varón de 45 años, que suele despedir a sus trabajadores por motivos mínimos sin importarle lo que esto significa para 
ellos y sus familias. Cuenta con el apoyo del gerente general con quien es el único que coordina sus acciones, pues 
piensa que el resto no está a su nivel. ¿Qué trastorno de personalidad está principalmente asociado a sus rasgos?",Antisocial,Narcisista,Obsesivo,Histriónico,Esquizoide,B
¿Cuál es el daño más grave asociado principalmente al consumo crónico y compulsivo de marihuana?,Neurológico,Oftalmológico,Respiratorio,Cardíaco,Inmune,C
"Mujer de 26 años, con diagnóstico de claustrofobia y que llega tarde a su trabajo por miedo a subir por el ascensor a su 
oficina en el piso 15. Aprende técnicas de relajación pero fracasa ante la exposición imaginal y teme hacer la exposición 
en vivo. ¿Qué alternativa terapéutica tiene pruebas de efectividad?",Relajación en el sitio,Realidad virtual,Electroshock,Benzodiazepinas,Estimulación magnética,B
"¿Cuál es la región en donde se ha registrado un mayor porcentaje de trastorno de estrés postraumático en encuestas 
epidemiológicas?",Lima,Madre de Dios,Ayacucho,San Martín,La Libertad,C
"¿Cuál es el fármaco que se asocia con mayor frecuencia a la aparición de síntomas psicóticos en el tratamiento de 
tuberculosis?",Etambutol,Kanamicina,Cicloserina,Isoniazida,Pirazinamida,D
"Niño de 6 años, que moja la cama 3 a 4 noches por semana. ¿Cuál es el tratamiento más recomendado?",Hacer que lave su pijama,Usar hormona de crecimiento,Evaluación por urología,Medidas conductuales,Tratamiento aversivo,D
¿Qué función debe ser la primera en evaluarse en un paciente con agitación psicomotriz que es traído a la emergencia?,Pensamiento,Voluntad,Conciencia,Sentimiento,Percepción,C
"Niño de 7 años, llora todas las mañanas al despertar y dice que está enfermo. Suele ir al tópico quejándose de dolor 
abdominal o de cabeza y pidiendo que lo recoja su madre. El pediatra ha descartado que sus molestias sean por 
enfermedad física. Durante el fin de semana está libre de síntomas, salvo cuando eventualmente ambos padres salen 
y lo dejan al cuidado de la niñera. ¿Cuál es el diagnóstico más probable?",Fobia escolar,Fobia social,Depresión mayor,Retraso mental,Ansiedad por separación,E
"En un paciente agitado que llega a la emergencia. ¿Cuál de los siguientes hallazgos nos orienta a pensar más en causa 
neurológica?",Inicio súbito previamente asintomático,Episodios previos similares,Alucinaciones auditivas,Amnesia reversible,Desorganización del pensamiento,A
"Mujer de 37 años, con diagnóstico de trastorno de ansiedad generalizada en tratamiento; afirma que cuando se siente 
más tensa le pica el cuerpo. Su médico observa ronchas con halo blanco en esos periodos. ¿Cuál es la patología que 
se asocia con mayor probabilidad a ese diagnóstico?",Psoriasis,Alergia a ISRS,Prurito,Urticaria adrenérgica,Ptiriasis,D
¿Qué síntomas están principalmente relacionados a suicidio en esquizofrenia?,Delusivos,Alucinatorios,Catatónicos,Obsesivos,Depresivos,E
"Varón de 18 años, intenta suicidarse al descubrirse que desde hace un año gastaba cantidades cada vez mayores de 
dinero en apuestas. Al inicio ganaba, posteriormente tuvo pérdidas y empezó a deprimirse; para recuperar el dinero 
invertía varias horas y utilizaba las tarjetas de sus padres. Ha desaprobado el último ciclo de la universidad por el juego. 
¿Cuál es el trastorno más probable?",Personalidad antisocial,Ludopatía,Depresión mayor,Bipolar I,Oposicionista desafiante,B
"Mujer de 55 años, casada, contadora. Desde que recuerda tiene sensación de insatisfacción, inutilidad y vacío. Si bien 
siempre ha sido poco conversadora, seria y malhumorada; nunca ha presentado episodios donde se haya rendido a la 
tristeza o fatiga, siempre ha cumplido bien sus tareas en el trabajo y en la casa a pesar de sus continuas quejas de 
agotamiento. ¿Cuál es el trastorno más probable?",Ansiedad generalizada,Personalidad obsesiva,Personalidad esquizoide,Distimia,Fobia social,D
"Niño de 8 años, con buen control de esfínteres previo, deja de ir al baño por periodos largos hasta que las heces salen 
por rebosamiento. Esto coincide con la llegada de un nuevo hermano, aunque este había sido deseado por el niño. 
¿Cuál es la explicación más probable?",Dolicocolon,Conducta regresiva,Fobia a la defecación,Fisura anal,Constipación,B
¿Cuál de los siguientes pacientes tiene más riesgo de desarrollar delirio?,Niño desnutrido,Joven con fractura,Anciano polimedicado,Mujer en cesárea,Consumidor de coca,C
¿Qué función psicológica está gravemente comprometida en las personas que se suicidan?,Conciencia del yo,Tendencias instintivas,Voluntad,Sentimiento,Pensamiento,B
"Mujer de 25 años, presenta durante algunas semanas delusiones de daño y alucinaciones auditivas; se le inicia 5 mg/d 
de olanzapina con lo cual recupera su funcionalidad y desaparecen síntomas. Luego de cuatro meses de tratamiento 
pide que le retiren la medicina pues teme subir de peso. ¿Cuál es la medida más adecuada?",Subir a 10 mg/d y mantener por 2 años,Retirar la medicina y darle de alta,Bajar a 2.5 mg/d luego retirar y observar,Iniciar antipsicótico de depósito,Cambiar a aripiprazol 15 mg/d y reevaluar,C
"Mujer de 40 años, expresa en terapia que su esposo no se amolda a su forma de ser porque como llega tarde del 
trabajo, no colabora con la limpieza de la casa para que esta se mantenga impecable. Cuando él le ofrece contratar a 
alguien para que los ayude, ella lo considera una ofensa pues en su familia eso nunca fue necesario, ya que su padre 
siempre ayudó en todo. ¿Qué trastorno de personalidad presenta?",Narcisista,Dependiente,Antisocial,Histriónico,Obsesivo,E
"Mujer de 24 años, presenta cefalea intensa y fatiga el día posterior a ser sometida a una apendicectomía y continúa en 
NPO. Sus signos vitales permanecen estables. ¿Por la carencia de qué sustancia, se explica esta molestia?",Cocaína,Marihuana,Alcohol,Benzodiacepina,Cafeína,E
"Varón de 65 años, traído hipotenso a la emergencia tras realizarse un corte profundo en el cuello con intención suicida. 
Seis meses antes su esposa se va de la casa cansada de su temperamento impulsivo y agresivo por lo que se queda 
solo. Desde esa fecha está muy deprimido y con planes de suicidio cada vez más sólidos. Al examen aparentemente 
tranquilo pero rechaza responder a la entrevista. ¿Cuál es la medida inmediata más apropiada?",Sedación con benzodiacepinas,Sujeción mecánica,Hospitalización supervisada,Alta con soporte familiar,Psicoterapia de apoyo,C
"¿Cuál de las siguientes plantas medicinales de consumo habitual para el control de la ansiedad (sin receta médica) 
debe evitarse en pacientes hipertensos, diabéticos o con cáncer de mama?",Valeriana,Manzanilla,Gingko,Hipérico,Ginseng,E
"¿Cuál de los siguientes es un efecto colateral esperado en el tratamiento con metilfenidato del trastorno de déficit de 
atención con hiperactividad?",Hipersomnia,Cefalea,Hiperfagia,Hipotensión,Bradicardia,B
"¿Qué trastorno se debe considerar en pacientes con síntomas afectivos, que en el pasado han tenido delusiones o 
alucinaciones por al menos dos semanas, sin tener síntomas maniacos o depresivos?",Bipolar II,Psicótico breve,Esquizoafectivo,Limítrofe,Disociativo,C
"¿Cuál de las siguientes sustancias que son utilizadas para calmar la ansiedad, el insomnio o la abstinencia a otras, pero 
con el tiempo terminan generando dependencia?",Alcohol,Nicotina,Opiáceos,Marihuana,Benzodiacepinas,E
"¿Qué tipo de síndrome se caracteriza por retardo mental, hipotonía neonatal, hipogonadismo, hiperfagia y altos niveles 
de grelina?",Kleine-Levin,Prader-Willi,Trisomía 21,Turner,Desintegrativo,B
"¿Qué medida puede tomarse en la emergencia, con un paciente extremadamente agresivo si es que no se calma y se 
sospecha de traumatismo encefalocraneano?",Haloperidol 5 mg EV c/12 hs,Haloperidol 10 mg EV c/30 min,Diazepam 10 mg EV c/6 hs,Midazolam 15 mg IM c/8 hs,Sujeción mecánica,B
"La demencia de Korsakoff es una consecuencia irreversible del alcoholismo crónico y se relaciona con la deficiencia de 
...",niacina.,tiamina.,rivoflavina.,cianocobalamina.,piridoxina.,B
De los siguientes mecanismos de defensa en la adaptación a la enfermedad crónica. ¿Cuál es de nivel inmaduro?,Sublimación,Control,Idealización,Racionalización,Humor,C
"Autismo, ambivalencia, (trastorno del) afecto y (trastorno de la) asociación son conocidas como las 4A de ...",Kretschmer.,Meyer.,Bleuler.,Jung.,Adler.,C
"¿Qué trastorno de personalidad está caracterizado por lo extraño de su conducta y pensamiento, además de estar muy 
asociado a la esquizofrenia?",Esquizotípico,Paranoide,Esquizoide,Antisocial,Limítrofe,A
"Se evalúa el coeficiente intelectual de un niño de 6 años, proveniente de una reserva asháninka, que inició hace tres 
meses su escolaridad en una ciudad pequeña y muestra problemas de aprendizaje. El resultado es CI de 68. La familia 
insiste en que es muy despierto y aprende con facilidad en casa, aunque a veces hay que hablarle en voz alta, y que 
se siente contento en el colegio. ¿Cuál es el diagnóstico más probable?",Retardo mental moderado,Retardo mental leve,Hipoacusia,Trastorno adaptativo,Trastorno de atención,C
"Varón de 60 años, con diagnóstico de meningioma temporal, acude a emergencia somnoliento, desorientado y con 
problemas de memoria. Presenta episodios de incontinencia de risa y llanto, además de pensamiento delusional. Con 
el curso de los días recupera su estado de conciencia y emocional, pero persisten las delusiones. ¿Qué trastorno 
presenta?",Demencia de Alzheimer,Delirio por meningioma,Manía con síntomas psicóticos,Psicosis por meningioma,Depresión con síntomas psicóticos,D
"Varón de 30 años, desde muy niño se sintió totalmente identificado con el sexo femenino y deseaba ser mujer. Al cumplir 
la mayoría de edad viaja al extranjero donde inicia un proceso psicoterapéutico y tratamiento endocrinológico para 
cambio de género. Con el curso de los años logra con enorme satisfacción el cambio deseado; al lucir como mujer 
cambia su voz, su apariencia física, gestos, su forma de actuar, sentir, pensar y hasta muchos valores previos. ¿Qué 
fenómeno de la conciencia del yo predomina?",Despersonalización,Falta de distinción del yo,Desdoblamiento del yo,Conciencia de transformación de la personalidad,Personalidades múltiples o alternantes,D
"¿Cuál de los síntomas del trastorno de déficit de atención con hiperactividad, suele ser el primero en remitir en la 
adolescencia y la adultez?",Hiperactividad,Impulsividad,Distraibilidad,Intolerancia,Irritabilidad,A
"Varón de 40 años, con tumoración abdominal. Realiza casi todos los exámenes preoperatorios, pero huye de Radiología 
antes de ingresar al ambiente de resonancia magnética. ¿Cuál es el diagnóstico más probable?",Claustrofobia,Agorafobia,Nictofobia,Ailurofobia,Gnosofobia,A
"¿Cuál de las siguientes sustancias, frecuente en bebidas energizantes, puede desencadenar con mayor probabilidad 
episodios similares a crisis de pánico?",Terfenadina,Teobromina,Taurina,Cafeína,Sodio,D
"Soltero de 44 años, oficinista, trabajador, callado y poco sociable, detenido por intento de ingreso al camerino de una 
célebre cantante. Sujeto afirma que ella lo ama desde hace 10 años y se le declaró a través de canciones y fotos en 
periódicos, pero debe ocultar su cariño por seguridad de ambos, porque hay gente que los persigue. Afirma que quiso 
entrar al camerino para saludarla y decirle que no traicionará su secreto. ¿Cuál es el trastorno más probable?",Delusional celotípico,Delusional erotomaniaco,Esquizofrenia paranoide,Obsesivo compulsivo,Fijación patológica,B
¿Quién describió los síntomas de primer rango en la esquizofrenia?,Sigmund Freud,Konrad Lorenz,Kurt Schneider,Emil Kraepelin,Adolf Meyer,C
En un paciente maniaco. ¿Con qué patología comórbida es preferible evitar la administración de litio?,Lupus eritematoso sistémico,Desorden vascular cerebral,Gastritis antral,Distrofia muscular,Dermatitis actínica,A
"Varón de 72 años, abogado, calificado como desconfiado y receloso por la familia; desde hace un año se queja de ser 
espiado por sus familiares porque quieren robarle su dinero. La esposa refiere que sigue atendiendo su estudio sin 
problemas, pero que desde hace 6 meses olvida recoger el vuelto cuando compra. El examen físico y exámenes 
auxiliares no son contributorios. ¿Cuál es el diagnóstico más probable?",Demencia de Alzheimer,Trastorno delusional,Manía de inicio tardío,Trastorno obsesivo,Intoxicación por plomo,A
"Médica pediatra de 30 años, llega a la emergencia tras haber ingerido 10 tabletas de clonazepam 0.5 mg y una botella 
de vino, con la intención de quitarse la vida, una semana después del fallecimiento de su madre. ¿Cuál es el mejor 
indicador de la valoración del riesgo suicida en este caso?",Sexo femenino,Depresión mayor,Método letal,Intento previo,Riesgo profesional,D
"Mujer de 26 años con tres gestaciones previas (dos de ellas fueron partos prematuros), en 7° mes de gestación, 
manifiesta felicidad por su gestación, solo tuvo un control prenatal, ella menciona ""porque no tengo tiempo y mi esposo 
no tenía plata"". Examen: triste, equimosis en piernas, abdomen y brazos. Sobre el esposo, dice ""es bueno"" y evade 
otras preguntas. ¿Cuál es el diagnóstico más probable?",Esquizofrenia,Retardo mental,Depresión gestacional,Personalidad paranoide,Abuso conyugal,E
"Deportista calificado que cursa con síntomas depresivos. Consume una sustancia con fines estimulantes que mejoraba 
rápidamente su estado de ánimo, la sensación de lucidez y energía, provocando un mayor rendimiento en sus 
actividades. Sin embargo, la sustancia genera dependencia, pues al pasar el corto efecto de esta aparecían síntomas 
depresivos que empeoran el estado previo. ¿Qué sustancia consume?",Marihuana,Cafeína,Cocaína,Benzodiacepina,Antidepresivo,C
"¿Qué trastorno de la personalidad puede diagnosticarse por error en personas con temperamento tímido, si es que no 
se evalua correctamente la severidad e impacto de los rasgos en su vida?",Dependiente,Antisocial,Esquizoide,Evitativo,Esquizotípico,D
"¿A qué trastorno de la personalidad pueden ser más susceptibles las personas que han presentado enfermedades 
físicas crónicas durante la niñez?",Evitativo,Obsesivo,Límitrofe,Dependiente,Histriónico,D
"¿Qué función mental se encuentra principalmente comprometida en personas con buena memoria para reproducir 
mecánicamente lo aprendido, expresándolo como si fueran ideas propias que intentan lucir aunque al examen profundo 
se evidencia la incapacidad para juzgar con criterio propio y comprender lo que expresan?",Pensamiento,Inteligencia,Voluntad,Conciencia,Conciencia del yo,B
"¿Qué anormalidad de la conciencia es difícil de identificar pues la persona se desenvuelve con aparente coherencia, 
sin embargo puede cometer excesos conductuales producto de su desconexión con el entorno?",Estado oniroide,Embriaguez,Delirio,Estado crepuscular,Confusión mental,D
"Varón de 26 años, debuta con alucinaciones auditivas poco estructuradas por un mes; luego gradualmente aislamiento 
social, deterioro del aseo y abandono del trabajo. Evita realizar actividades caseras; persiste en esta conducta durante 
una hospitalización. Examen físico, laboratorio e imágenes no son contributorios. ¿Cuál es el diagnóstico más probable?",Trastorno desintegrativo,Personalidad disocial,Hipotiroidismo,Esquizofrenia simple,Demencia precoz,D
"¿Qué vía de administración de cocaína, tiene una lenta velocidad de aparición de sus efectos y casi nula posibilidad de 
generar dependencia, pero puede encontrarse el metabolito benzoilecgonina hasta cuatro días después del último 
consumo?",Clorhidrato intranasal,Clorhidrato endovenoso,Infusión de hojas de coca,Pasta básica,Crack,C
¿Cuál es la idea obsesiva más frecuente?,Perversión,Comprobación,Repetición,Contaminación,Orden,D
"Ama de casa de 49 años, presenta fatiga, insomnio de conciliación y tensión muscular. Desde hace 4 años está ""en 
constante alarma, por todas las cosas malas que se escuchan a diario"" y ocasionalmente palpitaciones, tensión 
muscular y sensación de falta de aire. Hace sus labores aprisa, ""porque el tiempo me gana"". Llama constantemente a 
sus hijas y esposo por teléfono, se asusta si no le contestan o llegan tarde, si estornudan o manifiestan molestias físicas; 
teme que tengan una enfermedad grave. ¿Cuál es el trastorno más probable?",Ansiedad generalizada,Pánico,Catastrofización,Obsesivo compulsivo,Dependencia,A
"Médico de muy buen desempeño en el laboratorio; rechaza el puesto de jefatura argumentando que prefiere seguir 
trabajando solo, pues así se desempeña mejor y evita dificultades con otras personas. Nunca le interesó socializar y es 
emocionalmente frío. ¿Qué trastorno de personalidad presenta?",Esquizoide,Narcisista,Obsesivo,Esquizotípico,Evitativo,A
El mecanismo más frecuente de adquisición de una fobia es el condicionamiento ...,exponencial.,repetitivo.,operante.,clásico.,vicario.,D
"¿Qué medicamento se ha probado como útil en el tratamiento del déficit de atención con hiperactividad en niños 
asmáticos, los que no suelen tolerar los estimulantes?",Amitriptilina,Haloperidol,Venlafaxina,Bupropión,Valproato,D
"Mujer de 58 años, que desde hace cuatro meses presenta síntomas depresivos, ansiedad, insomnio, ideación y plan 
suicida expresado pero cuestionado; vive con su esposo, quien la acompaña la mayor parte del día y la describe como 
una persona tranquila y dócil. ¿Cuál sería la medida terapéutica más recomendable?",Contrato de no suicidio y alta,Farmacoterapia oral y vigilancia en casa,Farmacoterapia oral y hospitalización prolongada,Farmacoterapia parenteral y hospitalización,Psicoterapia de apoyo y hospitalización,B
"La deprimida esposa de Martín, 63 años, empresario exitoso y con un alto cargo público, es acusada por éste de meter 
a sus amantes en su departamento, por lo que en la noche M. cierra la puerta del departamento con llave y también la 
puerta de su cuarto, tras de lo cual la esposa se acuesta y M pasa la noche apoyado en la puerta del cuarto, ""para que 
ella no se aproveche de mi sueño y haga entrar a sus amantes"". ¿Cuál es el diagnóstico más probable?",Esquizofrenia paranoide,Trastorno delusional celotípico,Manía persecutoria,Trastorno obsesivo compulsivo,Síndrome de Capgras,B
"Mujer de 20 años, traída a emergencia muy inquieta. Antes del examen de admisión se torna muy ansiosa y presenta 
disnea, taquicardia, mareos y temblores. Al momento que le entregan el cuadernillo, los síntomas se intensifican. Ya 
van tres veces que le sucede lo mismo sólo cuando postula. ¿Cuál es el trastorno más probable?",Fobia social,Pánico,Fobia específica,Ansiedad generalizada,Conversivo,C
"Mujer de 44 años, casada, con dos hijos adolescentes; luego de saber que tiene un carcinoma de mama metastásico, 
pasa por periodos de cólera y tristeza que se resuelven. En una consulta, confiesa al psiquiatra que está más tranquila 
desde que le ha pedido a Dios vivir hasta que su hija menor entre a la universidad. ""Luego, él puede hacer lo que quiera"". 
¿Cómo se llama esa etapa del duelo?",Adaptación,Negación,Fijación,Negociación,Resignación,D
"Niño de siete años, con grandes dificultades para atender en el colegio, molesta a compañeros y le es muy díficil 
mantenerse sentado. Termina rápido sus deberes pues es hábil y está muy pendiente del recreo, donde corre sin parar 
y sin tener cuidado de no empujar a sus compañeros. En casa y en otros ambientes su conducta es similar. ¿Cuál es 
el diagnóstico más probable?",Oposicionista desafiante,Ansiedad de separación,Déficit de atención con hiperactividad,Bipolar,Depresión mayor,C
De los siguientes trastornos adictivos. ¿Cuál es el que asocia principalmente en comorbilidad con la ludopatía?,Alcohol,Marihuana,Cocaína,Benzodiacepinas,Nicotina,A
¿Qué sustancia está más relacionada a dependencia en pacientes con esquizofrenia?,Alcohol,Nicotina,Marihuana,Cocaína,Anfetaminas,B
"¿Qué porcentaje de personas que intentan suicidarse, posteriormente llegan a consumar suicidio?",1,30,50,70,10,E
¿Cuál es la tasa de concordancia de la esquizofrenia en estudios de gemelos?,10,0.5,92,50,27,D
"La medicación antipsicótica eleva el riesgo de algunos trastornos y enfermedades médicas no psiquiátricas. ¿Cuáles 
son las más frecuentes?",Obesidad y diabetes,Miocardiopatía y asma,Lupus y dislipidemia,Hipotiroidismo y arritmia,Hipertensión y anemia,A
El diagnóstico de encopresis se puede hacer a partir de los ... años.,11,4,2,6,8,B
"¿Qué anormalidad del sentimiento se caracteriza por la incapacidad innata para experimentar sentimientos superiores 
como el amor, la pena, la compasión y la lealtad, en personas de buen intelecto que fingen que los tienen?",Estupor emocional,Apatía,Sentimiento de anafectividad,Espontaneidad afectiva anormal,Estupidez afectiva,E
¿Cuál de los siguientes tipos de cáncer es el que suele manifestarse inicialmente como un trastorno depresivo?,Pancreático,Tiroideo,Células en avena,Ovárico,Prostático,A
"En la inanición por anorexia nerviosa. ¿Cuál es la alteración responsable de producir hipotermia, hipotensión, 
bradicardia y depresión?",Hipoactividad noradrenérgica,Elevación de tiroxina (T4),Descenso del cortisol,Incremento estrogénico,Ácido úrico sérico bajo,A
¿Cuál es el estabilizador del ánimo que se asocia más frecuentemente con incremento de peso y caída de cabello?,Oxcabazepina,Mirtazapina,Lamotrigina,Acido valproico,Topiramato,D
"Mujer de 30 años, tiene un accidente donde sale ilesa pero fallece su esposo. Durante una semana no recordaba el 
accidente y tampoco que estaba casada; posteriormente lo hizo entrando en una gran crisis emocional. ¿Qué tipo de 
amnesia presentó?",Retrógrada,Irreversible,Psicógena,Progresiva,Anterógrada,C
"Varón alcohólico crónico de 50 años, acude a la emergencia con compromiso del sensorio y aliento alcohólico. Examen 
y estudio de imágenes sin evidencia de hallazgos neurológicos. A los dos días despierta confuso, inquieto, diaforético y 
tremoroso con FC: 100 X´ y PA: 180/95 mmHg. A la entrevista luce desorientado y dice que ve insectos caminando en 
la pared. ¿Cuál es el cuadro más probable asociado al alcohol?",Alucinosis,Intoxicación aguda,Encefalopatía de Wernicke,Abstinencia,Abuso,D
"¿Cuál de los siguientes trastornos de la personalidad suele presentar dificultades de pareja y relaciones laborales, aún 
con el curso de los años, debido a su desconfianza e interpretaciones negativas de los actos ajenos?",Esquizoide,Antisocial,Evitativo,Esquizotípico,Paranoide,E
¿Cuál es el principal trastorno de la personalidad asociado a suicidio?,Limítrofe,Antisocial,Dependiente,Histriónico,Obsesivo,A
"¿Qué mecanismo de defensa adaptativo tienen los pacientes con diagnóstico de enfermedad terminal, que planifican 
su vida futura en previsión de posteriores sucesos desagradables?",Sublimación,Proyección,Escisión,Anticipación,Devaluación,D
"Varón de 32 años, ingresa a emergencia gritando que se asfixia y va a morir. Examen: piel y mucosas rosadas, 
sudoración, temblor discreto y piloerección, resto del examen no contributorio. PA: 119/70 mmHg, FC: 101X', FR: 25X'. 
EKG sin alteraciones. Sat O2 y resto de exámenes dentro de parámetros normales. ¿Cuál es el trastorno más probable?",Fobia,Pánico,Psicosis,Distimia,Disociación,B
"Niña de 3 años, desarrollo normal hasta el año y medio de edad, donde pierde los avances del habla y presenta ataxia, 
gesticulación facial, deterioro de habilidades motoras, movimientos estereotipados en manos y episodios matutinos de 
hiperventilación al despertar. Convulsiones desde los dos años y medio. Morfológicamente sin alteraciones y sin 
cambios de color de piel, ni trastornos metabólicos. ¿Cuál es el diagnóstico más probable?",Enfermedad de Tay Sachs,Neurofibromatosis,Cromosoma X frágil,Síndrome de Rett,Toxoplasmosis,D
"Varón de 35 años sin antecedentes policiales es retenido en una comisaría porque ingresó a un banco exigiendo que 
le abran la bóveda para sacar su dinero, alegando que era el dueño. Afirma que no pueden retenerlo porque es amigo 
del presidente y él lo sacará; habla y se mueve con rapidez, se muestra muy inquieto, pelea con un policía y minutos 
después hace bromas y ríe con todos, ofreciéndoles un banquete. Niega enfermedades. No hay evidencia de consumo 
de sustancias. ¿Cuál es el diagnóstico más probable?",Episodio maniaco,Personalidad límite,Trastorno disociativo,Personalidad antisocial,Episodio psicótico breve,A
"¿Cuál de los siguientes fármacos tiene la mayor probabilidad de inducir la aparición de un episodio maniaco o 
hipomaniaco?",Agomelatina,Valproato,Paroxetina,Carbamazepina,Zolpidem,C
"Niña de 7 años, con buen control esfinteriano previo, que inicia enuresis y fiebre. ¿Cuál es el trastorno más probable?",Abuso sexual,Infección del tracto urinario,Trastorno de adaptación,Traumatismo uretral,Parasitosis vaginal,B
"Mujer de 18 años, desde hace 24 horas luce hipersomnolienta, responde pobremente a estimulos verbales, con 
respuestas pobres y no relacionadas a las preguntas; impresiona desorientada, por momentos se torna muy intranquila 
y dice que escucha a personas que la insultan y la quieren atacar.¿Qué función mental está principalmente 
comprometida?",Conciencia,Pensamiento,Percepción,Sentimiento,Voluntad,A
"¿Qué medida no farmacológica, puede emplear un sujeto para manejar discretamente sus molestias en medio de un 
ataque de pánico, ante la imposibilidad de salir de una reunión en su oficina?",Técnicas de imaginería,Respirar en bolsa de papel,Biorretroalimentación,Respiración diafragmática,Uso de té relajante,D
"¿Qué anormalidad presenta un paciente que se queja de dolor de pecho cada vez que siente los dedos del que le toma 
el pulso?",Sinestesia,Extrañeza de lo percibido,Alucinación,Sensaciones simultáneas,Ilusión,D
