questions,option_A,option_B,option_C,option_D,correct_answer
"Varón de 27 años acude por erección prolongada de 6 horas de evolución, no dolorosa. Antecedente: caída a horcajadas 
y trauma perineal. ¿Qué tipo de priapismo sospecha?",Flujo elevado,Bajo flujo,Recurrente,Isquémico,A
La línea blanca de Toldt representa el borde lateral de la fusión de...,mesenterio colónico - peritoneo anterior.,mesenterio colónico - peritoneo posterior.,fascia lumbodorsal - peritoneo posterior.,fascia lumbodorsal - peritoneo anterior.,B
"Varón de 28 años, hace 4 meses presenta lesiones papulares umbilicadas de 4 mm en pene, aproximadamente 10 
pápulas. Niega comorbilidad. ¿Qué información de primera línea se debe dar sobre las lesiones?",Resolución con crioterapia,Inmunoterapia,Resolución con láser,Resolución espontanea en 6 - 12 meses,D
La hidronefrosis en el embarazo es más frecuente en el riñón derecho y es de causa...,inflamatoria y mecánica.,hormonal y autoinmune.,hormonal y mecánica.,inflamatoria y obstructiva.,C
"Varón de 60 años, refiere disminución de chorro urinario y sensación de evacuación incompleta de 3 meses de evolución. 
Operado RTUP hace 8 meses. Ecografía: celda prostática vacua, residuo post miccional 60%. ¿Cuál es la conducta 
inicial?",Uretrografía anterógrada,Calibración uretral,Tamsulosina 0.4 mg cada 12 horas,Cistoscopía,D
"¿En cuál de los siguientes resultados de AP en cáncer de próstata, el pronóstico de vida es menor a 1 año?",Adenocarcinoma mucinoso,Rabdomiosarcoma,Carcinoma de células pequeñas,Sarcoma,C
¿Cuál es la causa más común de síndrome de escroto agudo en niños prepúberes?,Torsión de testículo,Epididimitis,Hidrocele,Torsión de los apéndices,D
¿Cuál es la hormona hipotalámica más importante para la reproducción?,FSH,LH,Testosterona,GnRH,D
"Varón de 25 años, no logra erección completa (6/10) desde que tiene uso de razón, al doppler peneano con vasoactivos 
se evidencia fuga venosa. ¿Cuál es el tratamiento indicado?",Vasoactivos intracavernosos,Tadalafilo 5 mg diario,Prótesis peneana,Microcirugía venosa,C
"Varón de 65 años, PSA 12 ng/dl. Urocultivo negativo.  Biopsia de próstata negativo para cancer. ¿En qué situación se 
debe repetir la biopsia de próstata?",Proliferación acinar pequeña atípica,Resonancia Magnética PI-RADS 2,TR patológico,PIN de bajo grado,A
¿Cuál es la indicación para angioembolia ultraselectiva en laceración renal?,Hematoma medial por urotem,Ausencia de realce de contraste en el parénquima en urotem,Paciente estable con lesión grado I o II sin sangrado activo,Sangrado por lesión de arteria segmentaria,D
¿Cuál es el manejo inicial para priapismo no isquémico?,Observación,Aspiración y lavado,Fenilefrina intracavernosa,Analgésico parenteral,A
"Varón de 6 años con infección urinaria recurrente. Ecografía renal: hidronefrosis derecha. Cistografía: moderada 
tortuosidad ureteral con dilatación de pelvis y cálices. De acuerdo a la clasificación internacional. ¿A qué grado de reflujo 
vésico ureteral corresponde?",5,3,2,4,D
¿Qué patología predispone a incontinencia urinaria?,Quiste parauretral,Divertículo vesical,Diabetes,Cálculo urinario,C
¿Cuál es la complicación urológica precoz más frecuente post trasplante renal?,Hematuria,Fuga urinaria,Obstrucción ureteral precoz,Linfocele,B
"Mujer de 45 años, operada hace 4 meses de 1er trasplante renal, refiere disminución de volumen urinario de 2 semanas 
de evolución, se evidencia función renal disminuida en controles de laboratorio, ecográficamente leve hidronefrosis. Si la 
sospecha diagnóstica fuese estrechez ureteral. ¿Cuál es la mejor conducta a seguir?",Cistoscopía y colocación de catéter doble J,Pielografía retrógrada,Nefrostomía + pielografía descendente,Urotem con contraste,C
"Mujer de 55 años, hace 5 días presenta malestar general, fiebre, dolor lumbar y vómitos. Hemograma con leucocitosis. 
UROTEM: pielonefritis enfisematosa. ¿En cuál de las comorbilidades se presenta este diagnóstico?",HIV,Diabetes,Litiasis coraliforme,Cáncer renal,B
"Varón de 35 años, refiere sonido de chasquido en pene durante coito hace 8 horas, acude por dolor y aumento de volumen 
en pene, asociado a salida de sangre por el meato. Examen: hematoma en pene con escasa uretrorragia. ¿Cuál es la 
conducta inmediata a seguir?",Ecografía Doppler,Cistoscopía,Exploración quirúrgica penoescrotal,Sondaje vesical y exploración quirúrgica diferida,C
"Varón de 54 años, acude por erección dolorosa de 5 horas de duración. Niega traumatismo. Refiere recibir tratamiento 
para prostatitis. ¿Cuál de los siguientes medicamentos es la causa más probable?",Flavoxato,Saw palmetto,Tamsulosina,Oxibutinina,C
"La recuperación de la función renal, posterior a la resolución de la obstrucción urinaria, depende primordialmente de:",Grado de la obstrucción,Edad del paciente,Función renal basal,Duración de la obstrucción,D
"Mujer 35 años. PO de litiasis renal izquierda de 3cm por nefrolitotricia percutánea. Urocultivo negativo. Cálculo de 
fosfato de calcio. ¿Qué tratamiento médico sugiere para disminuir la recurrencia?",D-manosa,Citrato,Vitamina C,Arándano rojo,B
"Mujer de 25 años, operada por urolitiasis. Cálculo de cistina. ¿Cuál es la recomendación a seguir?",Volumen urinario mayor de 2 Lt/día,Ingesta de 2 Lt de agua/día,Actividad física,Estudio metabólico completo,D
¿Cuál es la principal característica terapéutica del seminoma?,Es altamente radiosensible,Tiene poca sensibilidad a la quimioterapia con cisplatino,"La AFP, BHCG y LDH no son factores pronósticos al inicio de la quimioterapia",El cisplatino es poco nefrotóxico,A
"Los resultados de la litotripcia extracorpórea por ondas de choque (LEOCH) empeoran cuando la distancia entre la piel y 
el cálculo superan los ... cm.",10,3,8,5,A
"Mujer de 41 años, en el PO9 de quistectomía ovárica derecha laparoscópica, presenta dolor en fosa iliaca derecha y 
malestar general. Laboratorio: leucocitosis, microhematuria, PCR elevada. Ecografía: líquido libre en fondo de saco de 
douglas. ¿Cuál es la conducta a seguir?",Laparotomía exploratoria,Ureteroscopía diagnóstica + colocación de catétre doble J,Urotem contrastada con fase tardía,Nefrostomía percutánea,C
"Varón de 65 años, antecedente de estrechez uretral. PO de uretrotomia interna. ¿Cuál es la complicación más común?",Uretrorragia,Erección prolongada,Extravasación de líquido de irrigación,Recurrencia de la estenosis,D
"¿Cuál de los siguientes hallazgos tomográficos en trauma renal, le da la sospecha de una lesión mayor?",Hematoma perirrenal de 3 cm,Extravasación urinaria retroperitoneal,Incompatibilidad en tamaño renal contralateral,Ausencia global de realce de contraste,D
"El complejo del músculo elevador del ano, está formado por los músculos pubocoxígeo, iliococcígeo y ...",transverso.,isquiocavernoso.,puborectal.,bulboesponjoso.,C
"Mujer de 25 años con hallazgo ecográfico de masa sólida renal derecha de 3 cm de diámetro, en UROTEM: masa en 
tercio superior de riñón derecho, con densidad grasa. ¿Cuál es la conducta a seguir?","Cariotipo, para descarte de esclerosis tuberosa",Seguimiento anual con urotem,Embolización ultraselectiva,Vigilancia activa,A
"Mujer de 28 años con antecedente de cesárea hace 5 años, acude por hematuria cíclica, períodos de amenorrea 
y menuria. Además de infertilidad secundaria. ¿Cuál es el diagnóstico más probable?",Cuerpo extraño en vejiga,Fístula vésico vaginal,Fístula uretro vaginal,Fístula vésico uterina,D
"Varón de 23 años. Con agenesia renal unilateral, Ecografía: masa tumoral de 3 cm en riñón izquierdo. UROTEM: Masa 
sólida de 3.5 cm de diámetro en pared posterior de tercio inferior renal izquierdo, con área de necrosis medial. ¿Cuál es 
el tratamiento más adecuado?",Vigilancia activa,Biopsia con aguja fina,Ablación térmica,Nefrectomía parcial,D
"Varón de 45 años. Antecedente HTA en tratamiento, sedentario. Refiere disfunción eréctil de 6 meses de evolución, con 
nueva pareja.  IMC 28, no dislipidemia mixta, no hipofunción gonadal. ¿Cuál es la conducta terapéutica adecuada en este 
paciente?",Tratamiento de sobrepeso,Manejo multidisciplinario,Cambio de antihipertensivo,Psicoterapia,B
"Varón de 23 años acude por secreción uretral de 2 días de evolución. Examen directo de la secreción: N. gonorrhoeae. 
¿Cuál es el tratamiento recomendado?",Ceftriaxona 500 mg IM y 1 g azitromicina VO en dosis única,Ciprofloxacino VO por 3 días,Ceftriaxona 250 mg IM y 1 g azitromicina VO en dosis única,Ceftriaxona 1 g IM y azitromicina 500 mg VO por 3 días,C
"En la reparación de la fístula vésicovaginal, la complicación más importante es:",Hematuria,Infección,Urinoma,Recurrencia,D
"Varón de 70 años con ICC, presenta síntomas moderados del tracto urinario bajo, cursa con hematuria recurrente de 
origen prostático. Ecografía renal normal, próstata 56 g, vejiga RPM 40%. PSA 2,5 ng/ml. Urocultivo negativo. ¿Cuál es el 
tratamiento de elección?",Tamsulosina,Finasteride,Doxazosina,Oxibutinina,B
¿Cuál es la parte más vascularizada de la vejiga?,Trígono,Cuello vesical,Pared anterior,Fondo de vejiga,A
"¿Cuál es la proteína más abundante en la orina y que es potente inhibidor de la agregación de cristales de monohidrato 
de oxalato de calcio?",Von Lippel-Lindau,Calmodulina,Calicreína,Tamm-Horsfall,D
¿Cuál es el hidrocele que se resuelve espontaneamente durante la infancia o que aparece después de la pubertad?,No comunicante,Comunicante,Del cordón espermático,Abdómino escrotal,A
"Mujer de 13 años, hace 8 horas sufre herida punzocortante lumbar izquierda, suturada en centro de salud. Acude por 
persistencia de dolor lumbar. Hemodinamicamente estable, trae control de Hb:10.5 g/dl, control de Hb: 9.2 g/dl. Ecografía: 
hematoma retroperitoneal de 150 ml. Al no contar con TC. ¿Cuál es la decisión más apropiada?",Monitoreo hemodinámico + control seriado Hb,Ecografías seriadas,Exploración quirúrgica,Compresas frías,A
"Varón de 72 años, obeso, acude por cólico renal recurrente. UROTEM: Litiasis de 10 mm en pelvis renal derecha de 980 
UH. ¿Cuál es el tratamiento de elección?",Nefroscopía flexible láser,LEOCH,Nefrolitotomía percutánea,Terapia farmacológica expulsiva,A
En pieloplastías por obstrucción de la juntura pieloureteral. ¿Cuál es el abordaje laparoscópico más utilizado?,Retroperitoneal,Extraperitoneal anterior,Trasperitoneal,Extraperitoneal posterior,C
"El óxido nítrico liberado por la nNOs en los nervios cavernosos ......... el proceso de erección, y el óxido nítrico liberado 
por la eNOs en el endotelio ............ la erección.",mantiene / culmina,inicia / culmina,inicia / mantiene,ayuda al inicio de / inicia propiamente,C
"La edad paterna se relaciona con mutaciones genéticas y anomalías cromosómicas de los espermatozoides. ¿Cuál de 
los siguientes trastornos genéticos está asociado en la descendencia?",Síndrome 47 XYY,Neurofibromatosis,Síndrome Birt- Hogg- Dubé,Síndrome Turner,B
¿Cuál es el medicamento que se asocia con la formación de cálculo renal?,Vitamina E,Propanolol,Indinavir,Tamsulosina,C
"Varón de 67 años, con cáncer de próstata. Características clínico patológicas: T2a, Gleason 6, PSA 8.5 ng/ml. Según la 
NCCN. ¿En qué clasificación de riesgo se encuentra?",Bajo,Favorable intermedio,Intermedio desfavorable,Muy bajo,A
"En pacientes con dolor testicular refractario a tratamiento médico, la indicación quirúrgica idónea es:",Epididectomía,Orquiectomía simple transescrotal,Ablación térmica,Orquiectomía simple por abordaje inguinal,D
En bacteriuria asintomática. ¿En qué condición se indica cobertura antibiótica de inmediato?,Litiasis urinaria,Hipertrofia prostática,Embarazo,Estenosis pieloureteral,C
"El concepto básico de una endopielotomía, es una incisión...... de espesor total a través del segmento proximal del uréter 
obstruido desde la luz ureteral hasta la grasa peripiélica y periureteral.",medial,anterior,posterior,lateral,D
"Mujer de 65 años en tratamiento quimioterápico, acude por hematuria franca de 2 días de evolución. Ecografía: riñones 
normales, vejiga con coágulos. ¿Cuál de los siguientes agentes quimioterápicos está asociado con cistitis hemorrágica?",Vincristina,Doxorrubicina,Ciclofosfamida,Metotrexate,C
"Varón de 8 años, acude a consulta por signos inequívocos de pubertad precoz y al examen se palpa masa en testículo 
derecho de aproximadamente 2 cm de diámetro. ¿Cuál es la primera sospecha diagnóstica?",Seminoma,Teratoma benigno,Tumor de saco vitelino,Tumor de células de Leydig,B
¿Cuál es la complicación más significativa de la nefrolitotomia percutánea?,Exclusión renal,Sepsis,Urinoma,Hemorragia,D
¿Cuál es el factor pronóstico más importante en el carcinoma de células renales?,Presencia de trombo en vena cava,Estadio por AP,Tamaño del tumor,Invasión a gerota,B
"Varón de 52 años hace 5 meses presenta dolor en pene que se incrementa en el coito, refiere angulación lateral del pene 
de aproximadamente 30 grados que no impide penetración. Ecografía peneana placa fibrótica dependiente de albugínea 
de 7 mm en dorso y cara lateral izquierda. ¿Cuál es el tratamiento de elección?",Verapamilo intralesional,AINES,Ondas de choque,Corrección quirúrgica con plicatura de Nesbit,B
"Varón de 72 años, refiere dolor y parestesia en hemiescroto derecho. Antecedente de herniolap por hernia inguinal 
derecha hace 7 meses. Sospecharía en lesión del nervio...",genitofemoral.,ilioinguinal.,pudendo.,obturador.,B
¿Qué hormona es mediadora clave en el desarrollo adecuado del pene entre las 8 a 12 semanas de gestación?,Testosterona,Prolactina,FSH,Dihidrotestosterona,D
"Varón de 1 año, desde hace dos días presenta dolor y aumento de volumen escrotal. ¿Qué estudio radiológico se solicita?",Ecografía escrotal,Urodinamia,Gammagrafía nuclear,Tomografía,A
¿Cuál es el más común de los tumores renales benignos con realce de contraste tomográfico?,Leiomioma,Angiomiolipoma,Oncocitoma,Adenoma metanéfrico,C
¿Cuál es el hallazgo urodinámico más frecuente en la cistopatía diabética?,Detrusor hipoactivo,Sensibilidad vesical conservada,Hiperactividad detrusor,Capacidad cistométrica disminuída,C
"Varón de 45 años, hace 6 horas presenta erección dolorosa, niega traumatismo, o uso de inyección intracavernosa. ¿Cuál 
es el manejo inicial?",Descompresión del cuerpo cavernoso,Adrenérgicos intracavernosos,Shunt en T distal,Colocación de hielo local,A
"Mujer de 53 años, desde hace 2 semanas presenta pérdida de orina constante, patrón miccional normal. Antecedente: 
Histerolap hace 3 semanas. Cistoscopia Normal. Se sospecha en fístula...",vésicovaginal.,uréterovaginal.,uretrovaginal.,rectovaginal.,B
"Mujer de 27 años hace 2 años presenta dolor pélvico crónico, polaquiuria y urgencia miccional. Ecografía vías urinarias 
normal. Urocultivo negativo. Cistoscopía: glomerulaciones en cada cuadrante y úlcera de Hunner. ¿Cuál es el tipo de 
cistitis?",Actínica.,Hemorrágica.,Crónica.,Intersticial,D
"Varón de 41 años. Acude por lumbalgia izquierda. Urotem: masa quística intraparenquimal de 4 cm de 
diámetro con múltiples tabiques finos, pared engrosada con escasas calcificaciones, no realce al contraste. El hallazgo 
tomográfico corresponde a una clasificación Bosniak tipo:",II,I,III,IIF,D
"Mujer de 45 años en perimenopausia. Refiere infección urinaria (ITU) recurrente. Urocultivo negativo. Ecografía: vías 
urinarias normales. Cistoscopía normal. ¿Qué recomendación no antibiótica da para la profilaxis de ITU?",Arándano rojo,Saw palmetto,Estrógeno vaginal,Vitamina C,A
"Varón de 8 años, hace 2 horas sufre mordedura de perro en genitales, manifiesta dolor intenso. Examen: poco 
colaborador, hematoma en base de pene con herida penetrante, aumento de volumen escrotal sin evidencia de lesión. 
¿Cuál es la conducta inmediata a seguir?","Exploración en SOP, bajo anestesia general",Ecografía peneana y testicular,Sutura de herida penetrante,Observación,A
"¿Cuál de los siguientes agentes adrenérgicos se recomienda como primera elección para la reversión del priapismo 
isquémico?",Epinefrina,Fenilefrina,Efedrina,Etilefrina,B
¿Cuál es la mayor incidencia en la localización de cáncer urotelial en uréter?,Medio,Superior,Intramural,Distal,D
¿Cuál es el factor de riesgo no modificable más fuerte para el desarrollo de la incontinencia urinaria en mujeres?,Raza,Edad,Paridad,Obesidad,B
¿Cuál es la diferencia de temperatura entre la sangre arterial del testículo y el recto en varones sanos?,2 - 4 °C,0 - 2 °C,4 - 5 °C,1 - 2 °C,A
"Mujer 65 años. Antecedente de Sling suburetral hace 5 años, acude por sangrado vaginal recurrente, flujo vaginal e 
infección urinaria recurrente. La pareja refiere dolor en el pene durante el coito. Laboratorio: Urocultivo (-), Ecografía: sin 
mayores alteraciones. ¿Qué posibilidad diagnóstica sospecharía?",Cuerpo extraño en vejiga,Fístula vésico vaginal,Fístula uretro vaginal,Extrusión de malla a vagina,D
¿Cuál es el estándar de oro para el diagnóstico de tuberculosis genitourinaria?,UROTEM,Cistoscopia,Cultivo BAAR  de orina,PCR orina,C
"En el tratamiento médico para los síntomas de HBP. ¿Cuál de los siguientes alfa bloqueadores adrenérgicos es 
uroselectivo?",Terazosina,Doxazosina,Alfuzosina,Prazosina,C
¿Cuál es la indicación de orquiectomía parcial en cáncer testicular?,Dependiendo del resultado de la biopsia transescrotal,Tumor polar < a 2 cm de diámetro,Tumor de 3 cm sin áreas de necrosis central,Proscrita,B
"Masa renal que tomográficamente realza más de ...... unidades Hounsfield, se considera probablemente cáncer renal.",2-12,5-10,15-20,8-14,C
¿En qué semana gestacional se desarrolla la próstata?,12 - 14,8 - 10,10 - 12,14- 16,C
"Varón de 50 años, con diagnóstico de NM Renal, pT2N1Mx, ¿Cuál es la frecuencia del seguimiento posterior a la 
nefrectomía radical con UROTEM y TC tórax?","A los 3 - 6 meses, c/ 6 m x 3a y 1v/ año x 5a","Cada 6 m x 3a, y 1 v/ año x 7a","Cada 6 m x 3a, y 1v/ año x 6 a",Cada 12 m x 3a,A
¿Qué patología se asocia con hipotrofia testicular?,Epididimitis,Testículo retráctil,Varicocele,Hidrocele,C
¿Cuál de los siguientes fármacos aumenta el riesgo de eventos oftálmicos en cirugía de cataratas e implantes de lentes?,Terazosina,Tamsulosina,Dutasteride,Tadalafilo,B
La hematuria persistente posterior a biopsia del injerto en trasplantado renal es signo de:,Fístula arterio-venosa,Rechazo agudo,Anastomosis urétero vesical incompetente,Pielonefritis del injerto,A
"La maduración del espermatozoide para lograr la fecundidad del ovulo en el ser humano, se alcanza a nivel de:",cabeza de epidídimo,cola de epidídimo,testículo,conducto deferente,B
"Varón de 30 años. Hace 7 días presenta dolor inguinal y en pene. Examen: úlcera purulenta única dolorosa en glande, 
ganglios inguinales palpables y dolorosos. ¿Cuál es su posibilidad diagnóstica?",Sífilis,Chancroide,Linfogranulona venéreo,Herpes genital,B
"¿Cuál es el síndrome paraneoplásico asociado a CCR, que se caracteriza por: elevación de fosfatasa alcalina, tiempo de 
protrombina elevado, elevación de transaminasas y normalización de la función hepática post nefrectomía en 60% a 70% 
de pacientes?",Síndrome de Stauffer,Síndrome de Birt-Hogg-Dube,Síndrome de Cowden,Síndrome de Lynch,A
