questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"¿Qué fármaco se usa para tratar el temblor inducido por litio, con mínimo riesgo de elevar ligeramente su concentración?",Propranolol,Biperideno,Pancuronio,Tirosina,Clonazepam,A
"Luis es asaltado a la salida de su trabajo y recuerda que sintió mucho miedo a ser herido o asesinado. ¿Cuál de las 
siguientes estructuras cerebrales está más relacionada con la emoción que sintió?",Corteza prefrontal,Núcleo accumbens,Amígdala,Hipotálamo,Giro cingulado,C
"Según Jean Piaget. ¿En qué estadío del desarrollo hay uso limitado del pensamiento lógico, capacidad de seguir las 
reglas y comprensión del significado de los valores?",Operaciones formales,Operaciones concretas,Sensorio motor,Preoperacional,Concreto motor,B
Elizabeth Kubler-Ross describió por primera vez las etapas del duelo. ¿Cuál corresponde a la primera etapa?,Arrepentimiento,Ira,Aceptación,Disipación,Negación,E
"Persona con esquizofrenia, vendedor ambulante, que se quejó de escozor y dolor cutáneo desde que usó un 
antipsicótico. Este malestar mejoró discretamente luego de usar un protector solar indicado por dermatología. ¿Cuál es 
la conducta a seguir?",Reducir el antipsicótico,Educar al paciente,Usar antipsicóticos de depósito,Revisar la terapéutica,Derivar a Medicina Interna,D
"Varón de 36 años, en evolución favorable de episodio depresivo, sin otra patología; 10 días antes de su control 
presentó insomnio y edema. En el control con psiquiatría, el paciente confesó que 15 días antes tomó productos 
""naturales"" para mejorar su ánimo, defensas y energías, los que juzgó inofensivos ""porque vienen de plantas"". ¿Cuál 
es la planta con mayor probabilidad de causar estas molestias?",Lúpulo,Melisa,Ginseng,Valeriana,Manzanilla,C
"Mujer de 27 años, víctima de un accidente de tránsito hace 1 año, con ingreso a unidad de cuidados intensivos por 7 
días, donde estuvo al lado de otras pacientes que fallecieron; ella temía por su vida. Ingresó a terapia cognitivo 
conductual luego de 8 meses del alta. En la evaluación manifestó: ""estoy incómoda... me siento congelada 
emocionalmente, como si no tuviera sentimientos o estuviera insensible a lo que antes me emocionaba o me 
entusiasmaba"". ¿Cuál es el síntoma referido?",Desapego emocional,Evitación emocional,Rememoraciones,Abreacción,Indiferencia,A
"De los siguientes problemas detectados antes de una cirugía. ¿Cuál tiene mayor posibilidad de incrementar la 
morbimortalidad quirúrgica?",Tratamiento por ansiedad,Fobia a las operaciones,Pánico y agorafobia,Negación de depresión,Transferencia hostil,D
¿Cuál es el neurotransmisor que con más frecuencia se asocia a los síntomas crónicos de los trastornos de ansiedad?,Histamina,Dopamina,Glutamato,Serotonina,Noradrenalina,E
¿Cuál es el lapso de inicio de los síntomas de la depresión posparto?,3 a 5 días,3 a 6 meses,4 a 6 semanas,8 a 10 meses,20 a 30 días,B
"Mujer de 67 años, cuya evaluación reciente en geriatría no mostró alteraciones, se quejó de olvidos desde hace 
dos meses, con extravíos de llaves u otros objetos pequeños o dificultades al recordar datos oídos recientemente. Tuvo 
un puntaje de 28 en el Minimental Test de Folstein, equivocándose en el día y el piso donde se encontraba el consultorio. 
Luego de la evaluación, se concluyó que el diagnóstico más probable es pseudodemencia. ¿Cuál es la característica 
clínica que permitió pensar en este cuadro?",Disminución de la atención y concentración,Tiempo prolongado de la deficiencia,La queja detallada sobre el problema cognitivo,Pérdida de objetos de uso cotidiano,Orientación en fecha y piso de evaluación,C
"¿Qué preparado herbal sedante e hipnótico puede producir trastornos cognitivos y motores, molestias digestivas, 
hepatotoxicidad e insomnio?",Valeriana,Pasiflora,Kava,Hipérico,Belladona,A
"Un paciente alcohólico que dejó de beber licor, acudió a emergencia por temblor, ansiedad y agitación moderada. ¿Qué 
medicamento puede ayudarlo mejor?",Clorazepato,Quetiapina,Diazepam,Mirtazapina,Propranolol,C
"Si se quiere reemplazar un inhibidor de la monoaminooxidasa (IMAO) por clomipramina. ¿Cuántos días debe transcurrir 
entre la suspensión del IMAO y la administración del nuevo fármaco?",3,5,28,9,14,E
¿Cuál es el mejor predictor de la capacidad del paciente esquizofrénico de manejar su propia medicación?,Manejo emocional,Función cognitiva,Tipo de esquizofrenia,Apoyo familiar,Problemas motores,B
¿Cuál de las siguientes patologías es el diagnóstico diferencial más frecuente del trastorno de pánico?,Hipoglicemia,Hipertirodismo,Enfermedad de Addison,Crisis de asma,Pancreatitis,B
¿Qué tipo de epilepsia tiene mayor comorbilidad con las psicosis de tipo esquizofrénico?,Ausencia,Mioclónica,Tónica clónica,Espasmo infantil,Parcial compleja,E
"Mujer de 38 años, que acudió en repetidas ocasiones a los servicios de emergencia. En la última evaluación se quejó de 
angustia extrema, palpitaciones, sensación de asfixia, miedo a morir, temblor y rubor. Al interrogatorio refirió que ha 
disminuido 4 kg de peso en tres meses y que tuvo diarreas frecuentes. Examen: FR: 35X', FC: 124X' y T°: 37.2 °C. 
Resto no contributorio. ¿Qué examen auxiliar solicitará el psiquiatra con mayor probabilidad?",Dosaje de B12,Calcitonina,Tomografía craneal,"T3, T4 y TSH",Transaminasas,D
¿A partir de qué nivel de alcoholemia se afecta el juicio y dominio de sí mismo? ... %,"0,05","0,10","0,21","0,17","0,45",A
¿Cuál es un factor de mal pronóstico en esquizofrenia?,Signos neurológicos,Estar casado,Tener trabajo,Suceso desencadenante,Inicio tardío,A
"¿Cuál de las siguientes condiciones tiene mayor probabilidad de agravar un episodio de depresión, incluso hasta 
la ideación suicida?",Dolor crónico,Diabetes,Olvidos benignos,Infecciones,Hiposmia,A
¿Entre qué valores se sitúa el coeficiente intelectual (CI) en la discapacidad mental moderada?,35 y 50,51 y 70,20 y 34,19 y 10,71 y 80,A
"La fobia específica más frecuente en mujeres, es a:",Los truenos,Los animales,Los aviones,La oscuridad,La soledad,B
"Rocío de 36 años, administradora, presentó desde hace tres años ánimo deprimido la mayor parte de los días de la 
semana, con sobrealimentación, insomnio, hipoergia, desesperanza, distractibilidad y dificultad para tomar decisiones. 
Este estado dura la mayor parte del día. Los días ""buenos"" nunca han sido más de dos semanas. ¿Cuál es el diagnóstico 
más probable?",Depresión atípica,Trastorno depresivo persistente,Trastorno bipolar fase depresiva,Desregulación disruptiva del ánimo,Depresión breve recurrente,B
"Mujer de 39 años, alcohólica, irritable, tremorosa y desorientada; dejó de consumir alcohol una semana atrás. Durante 
la evaluación en urgencias gritó, muy asustada, que veía animales que subían por sus piernas y trató de retirarlos. El 
emergencista dispuso que sea sedada para tranquilizarla e iniciar la atención. ¿Cuál es el fármaco de elección?",Haloperidol,Olanzapina,Tiamina,Valproato,Diazepam,E
¿Cuál de los siguientes hallazgos de laboratorio se encuentra con mayor probabilidad en el paciente autista?,Disminución de dopamina sérica,Elevación de serotonina plaquetaria,Disminución,Disminución de serotonina plaquetaria,Elevación de noradrenalina sérica,B
"¿Cuál es la estrategia o intervención que se centra en corregir las evaluaciones erróneas sobre las sensaciones 
corporales amenazantes?",Técnicas de relajación,Desensibilización,Reestructuración cognitiva,Interpretación,Exposición en vivo,C
¿Cuál de los siguientes componentes de la marihuana es responsable de potenciales efectos terapéuticos?,Tetrahidrocannabinol,Neuroesteroides,Eicosanoides,Cannabidiol,Anandamida,D
"Jorge de 32 años, en tratamiento regular por esquizofrenia desde hace 6 años, se quejó de problemas en su trabajo 
porque no podía retener los números de teléfono que le pedían que marque, pedidos o pequeños datos que le dictaban. 
¿Cuál es el tipo de memoria afectada?",Trabajo,Semántica,Procedimental,Remota,Visual,A
¿Cuál de las siguientes anomalías inmunológicas se presenta con mayor probabilidad en la esquizofrenia?,Aumento del número de leucocitos periféricos,Hiporreactividad humoral contra células neuronales,Incremento de interleucina 3 en hipocampo,Anticuerpos dirigidos contra la hipófisis,Disminución de producción de interleucina 2 en linfocitos T,E
"La mayor frecuencia de una respuesta fisiológica bifásica ante la exposición al estímulo, con activación inicial y luego 
disminución de frecuencia cardiaca y presión arterial, que puede llevar al desmayo, se encuentra en la fobia a:",La sangre,Los insectos,Los rayos,El agua,Los perros,A
"Beltrán de 34 años, comerciante, tuvo desde hace 6 años episodios múltiples y variables de síntomas hipomaniacos 
o depresivos, pero sin cumplir los criterios completos para ninguno de ellos. Los episodios duran alrededor de 5 
semanas y le ocasionan malestar pues disminuyen su productividad, aumentan sus gastos, a veces toma decisiones 
apresuradas y su familia tiene conflictos con él. ¿Cuál es el diagnóstico más probable?",Hebefrenia,Manía subclínica,Histrionismo,Ciclotimia,Desinhibición,D
"Mujer de 35 años, acudió a emergencia por cefalea ""atroz, horrible, espantosa"". Examen: maquillaje acentuado, adornos 
recargados, ropa ajustada y de colores muy brillantes, dramatismo y gesticulación viva durante su relato. Ante la 
presencia del cirujano, se arregla constantemente las prendas y trata de conseguir su teléfono. ¿Cuál es el trastono de 
personalidad más probable?",Histriónica,Obsesiva,Limítrofe,Paranoide,Dependiente,A
"Niña de 6 años, cuyo lenguaje es monótono. Se dedica a dibujar y ordenar su colección de dinosaurios. Muestra 
incapacidad para interactuar con otros niños y fallas para entender el lenguaje no verbal. Olfatea todos los lápices de 
sus compañeros. Se angustia y llora si cambian la ruta de casa al colegio y viceversa. ¿Cuál es el trastorno más 
probable?",Sindrome de Rett,Esquizofrenia,Obsesivo compulsivo,Del espectro autista,Mutismo selectivo,D
En el tratamiento del trastorno bipolar. ¿Cuál es la dosis promedio de carbamazepina en mg/día?,900,750,400,1200,1600,D
¿Cuál es un importante diagnóstico diferencial del trastorno de la personalidad evitativa?,Ansiedad social,Personalidad esquizoide,Paranoia,Lesión frontal,Personalidad viscosa,A
¿Cómo se denomina la repetición mecánica de actividades discursivas o físicas?,Manierismo,Estereotipia,Exaltación,Distonía,Pantomima,B
"Según los datos sobre suicidio de la Organización Mundial de la Salud. ¿Qué países sobrellevan la mayor parte de la 
carga mundial (75%)?",Altamente industrializados,Con economía agrícola,De ingresos bajos y medianos,Del hemisferio norte,Con informatización de datos,C
Luego de consumir marihuana hay incremento de apetito. ¿Cuál es el receptor responsable?,2-AG,Vaniloide,GABA,D2,CB1,E
"Es un patrón permanente de experiencia interna y de comportamiento, generalizado y poco flexible, estable en el tiempo, 
iniciado en la adolescencia o en la edad adulta temprana y que da lugar a malestar o deterioro, fuera de las expectativas 
culturales del sujeto. ¿A qué condición corresponde la definición?",Aculturación,Problema de adaptación,Deterioro cognitivo,Personalidad anancástica,Trastorno de personalidad,E
"Carla de 32 años, ingeniera muy apreciada en su entorno, se quejó de que los vecinos hablaban de ella y que los 
obreros de una constructora la querían secuestrar. Se encerró en casa; el esposo y los padres observaron que se dejó 
de bañar y cambiar de ropa, se agazapaba en el clóset y ponía música alta para que no la oyeran. A la evaluación 
clínica no hubo evidencia de traumatismo previo, consumo de sustancias ni otra patología. El episodio duró 6 días, con 
remisión de los síntomas y retorno al rendimiento previo, sin tratamiento. ¿Cuál es el diagnóstico más probable?",Esquizofrenia paranoide,Trastorno psicótico breve,Trastorno delirante,Depresión psicótica,Episodio maniaco,B
"Varón de 36 años, soltero, ingeniero de sistemas, trabaja a través de internet. Desde niño carecía de interés por 
actividades grupales. En la universidad era cortés pero retraído e indiferente ante las actividades sociales, con solo uno 
o dos amigos. No ha tenido parejas. Rehúsa empleos que requieren trabajo presencial en equipo. No le interesa la 
compañía de las personas. ¿Cuál es el trastorno más probable?",Bipolar mixto,Personalidad esquizoide,Obsesivo compulsivo,Esquizofrenia simple,Síndrome frontal,B
"Mujer de 26 años, que fue llevada a emergencia desde una discoteca; se escondió debajo de una cama diciendo que 
los policías iban a arrestarla y que ""los narcos"" la seguían para matarla. Al ingreso se constató angustia, tremor, palidez 
de piel y mucosas, pupilas mióticas, T°: 36.5 °C, FC: 120X' y PA: 170/120 mmHg. Durante la evaluación presentó 
convulsiones. El emergencista pidió el dosaje de metabolitos de una sustancia en sangre para confirmar su sospecha. 
¿Cuál es la sustancia más probable?",Metadona,Marihuana,Alcohol,Tramadol,Cocaína,E
"Hombre de 31 años, conducido a emergencia por la policía por haber amenazado con arrojar piedras a los transeúntes. 
Llegó vociferando insultos y amenazas, levantando los puños y golpeando el suelo con los pies. Esta conducta se 
incrementó a los pocos minutos. Al pedirle el personal que se eche en la camilla, agitó contra ellos su zapato. El personal 
se prepara a reducirlo porque el paciente muestra signos de...",autoagresión.,peligro de fuga.,intoxicación.,esquizofrenia.,agresión inminente.,E
"Rita de 28 años, en tratamiento por esquizofrenia, es muy disciplinada con su medicación, dieta y ejercicio. Ha tenido 
antecedentes de hiperprolactinemia y efectos secundarios extrapiramidales con algunos antipsicóticos. Durante su 
revisión clínica anual se quejó de insomnio y su EKG mostró un alargamiento del intervalo QT. Su psiquiatra decide 
cambiar de antipsicótico. ¿Cuál es la elección más probable?",Haloperidol,Quetiapina,Ziprasidona,Clozapina,Risperidona,B
"Mujer de 16 años que fue conducida a la fuerza por familiares a emergencia. Antecedentes: menarquia a los 13 años, 
amenorrea desde hace 8 meses. Examen: hostil, muy adelgazada, con lanugo, piel y cabello secos. PA 100/60 mmHg. 
Laboratorio: Hb 7.2g/dl, alcalosis moderada e hipokalemia severa. Con esos datos, ¿Qué trastorno potencialmente fatal 
puede presentarse?",Hipotensión,Arritmia,Anemia,Deshidratación,Autolesión,B
¿Cuál es la diferencia fundamental entre un episodio maniaco y uno hipomaniaco?,Presión del habla,Gastos excesivos,Síntomas psicóticos,Insomnio,Irritabilidad,C
"Mujer de 60 años, que presentó desde hace cuatro meses pérdida del interés en sus actividades diarias, 
anhedonia, hiporexia, insomnio, edema duro y obesidad central. ¿Cuál de los siguientes exámenes auxiliares 
debe solicitarse como apoyo al diagnóstico?","TGO, TGP.",Electroencefalograma,Dosaje de plomo sérico,T4 y TSH,Test de ADA sérico,D
"Varón de 29 años que acude a emergencia muy ansioso, quejándose de dolor abdominal severo, episódico, 
aparentemente iniciado luego de una cirugía hace un año, que alivia con  ""analgésico"" que solicita. Se queja de dolor 
en piernas y náuseas. Examen: diaforético, rinorreico, pupilas midriáticas. PA 160/110 mmHg, FC 110X', T° 
38.5°C.  Durante la evaluación presentó vómitos. Un técnico lo reconoció y avisó que el paciente frecuentaba la 
emergencia por el mismo problema en otro hospital. ¿Cuál es el diagnóstico más probable?",Abstinencia a opiáceos,Trastorno por dolor,Trastorno conversivo,Simulación,Crisis de porfiria,A
"¿De cuántas personas consta, como mínimo, el equipo para reducir a un paciente violento?",5,3,6,2,9,A
"Una paciente, adicta al clonazepam, lo combinó con alcohol y usó el triple de su dosis usual para dormir. Es conducida 
a emergencia por sopor profundo. Examen: no responde a estímulo doloroso, FR 12X', resto no contributorio. ¿Qué 
medicamento se administrará con mayor probabilidad?",Flumazenilo,Diazepam,Carbamazepina,Dimenhidrinato,Ranitidina,A
¿Cuál de los siguientes antipsicóticos produce sedación intensa?,Clorpromazina,Flufenazina,Haloperidol,Trifluoperazina,Perfenazina,A
"Carlos de 32 años, residente de III año, se preocupó desde estudiante por detalles, normas, listas, orden 
u organización. Hace lo mismo en el pabellón pero descuida aspectos importantes, no expone a tiempo por hacer una 
presentación ""perfecta"", pasa casi todo el día en el hospital y se pierde las actividades de ocio con la familia, colegas 
y amigos. Percibe que tiene que dar informes detallados al jefe del pabellón y presiona a los residentes e internos para 
lograr ""altos estándares de calidad"". ¿Cuál es el diagnóstico más probable?",Trastorno de ansiedad generalizada,Rasgos limítrofes de personalidad,Bipolar II fase maniaca,Personalidad obsesivo compulsiva,Fase anal de Freud,D
"¿En qué situación un pensamiento que nunca se tuvo se percibe incorrectamente como repetición de un pensamiento 
anterior?",Déjà pensé,Confabulación,Parafasia,Déjà entendu,Obsesión,A
¿Cuál de los siguientes fármacos se usa con mayor frecuencia para el tratamiento del síndrome neuroléptico maligno?,Clonazepam,Quetiapina,Vitamina E,Orfenadrina,Bromocriptina,E
"Estudios recientes muestran evidencia de la neurogénesis en el cerebro adulto. ¿En qué zona cerebral se lleva a cabo 
este proceso?",Corteza prefrontal,Hipocampo,Cuerpo calloso,Hipotálamo,Corteza parietal,B
En los varones. ¿Cuál es la fobia específica que se presenta con mayor frecuencia?,Cinofobia,Ailurofobia,Misofobia,Acrofobia,Nictofobia,D
"Un paciente alcohólico, sobrio en la entrevista, admitió que se siente muy enojado porque desde hace dos meses perdió 
el control de su consumo de alcohol. Esto empeoró durante las dos últimas semanas. Se sintió atrapado por su 
trastorno, su familia y sus deudas, por lo que se aisló de familiares y amigos. Tuvo momentos de gran angustia que 
intentó manejar con más alcohol porque ""si no lo hago, puedo hacerme una barbaridad, algo muy malo"". Según la 
entrevista. ¿Qué riesgo correría con mayor probabilidad?",Intoxicación,Autoagresión,Suicida,Acatisia,Escape,C
"Ingeniero de sistemas de 67 años. Desde hace tres años experimentó fallas en la memoria reciente, olvido de llaves y 
dinero y requirió ayuda para hacer documentos. Desde hace dos años la esposa lo ayuda a escoger su ropa diaria y 
recordar su alimentación. No tiene antecedentes de importancia. La exploración física y los exámenes auxiliares no son 
contributorios. El hermano mayor tuvo un trastorno similar. ¿Cuál es el trastorno más probable?",Depresión crónica,Hematoma subdural,Discapacidad intelectual moderada,Delirium subagudo,Neurocognitivo mayor,E
¿Cuál es la principal causa de muerte prematura en las personas con esquizofrenia?,Infarto,Arritmia,Hepatopatía,Cáncer,Suicidio,E
"Varón de 24 años, evaluado en medicina interna, neumología y cardiología. Tiene más de 6 episodios en dos meses de 
dolor precordial, taquicardia, sudoración, sensación de falta de aire, vértigo y parestesias, que duran alrededor de 30 
minutos; no presenta alteración del examen físico ni en los exámenes auxiliares. ¿Cuál es el trastorno más probable?",Hipocondría,Fobia,Agorafobia,Pánico,Compulsión,D
Sobre el trastorno por déficit de atención e hiperactividad (TDAH). ¿Cuál es el neurotransmisor más estudiado?,Serotonina,Histamina,GABA,Dopamina,Neurotensina,D
"¿Cuál es el marcador de progresión más rápida de trastorno cognitivo leve con amnesia hacia enfermedad de 
Alzheimer?",Hipoproteinemia tau,Amiloidosis Aß62,Apolipoproteina E4,Apolipoproteina10,Progerelina,C
¿Cuál es un mecanismo de defensa maduro de la personalidad?,Temor,Sublimación,Aislamiento,Disociación,Desrealización,B
"María está en el velorio de su madre, a la cual siempre ha tratado y cuidado con cariño. Los familiares se alarman 
cuando la ven reír y bromear al lado del ataúd. Esta actitud persiste aún cuando le llaman la atención por la conducta. 
¿Cuál es la anomalía del afecto?",Restringido,Delusivo,Inadecuado,Agitado,Aplanado,C
"Varón de 36 años, en tratamiento por trastorno bipolar, que ingresó a emergencia por náuseas y vómitos, 
fasciculaciones, visión borrosa y estupor. Examen: reflejos osteotendinosos hiperactivos. Durante la observación 
presentó convulsiones. ¿Cuál es el diagnóstico más probable?",Supresión de carbamazepina,Intoxicación por haloperidol,Intoxicación por litio,Supresión de clonazepam,Intoxicación por valproato,C
"La debilitación de una respuesta condicionada por eliminación del reforzador, corresponde al concepto de:",Saturación,Denigración,Reducción,Extinción,Inoculación,D
"Mujer de 45 años, empresaria, muy activa, cordial y habladora, que acompaña a la consulta psiquiátrica a su hijo 
con trastorno de déficit de atención e hiperactividad. Ese día estaba angustiada, sudorosa, apagada y subida de peso. 
Al revisar la historia, el psiquiatra advirtió que el niño lucía mejor, pero que la madre afirmaba en varias consultas que 
requería mayores dosis de metilfenidato y había solicitado a otros colegas recetas adicionales por extravío. Cuando el 
psiquiatra prescribió una cantidad ligeramente menor, la madre se mostró angustiada e irritada y afirmó que el psiquiatra 
quería atentar contra su tranquilidad y la de su hijo. ¿Cuál es la sospecha diagnóstica más probable en la madre?",Paranoia,Abuso de marihuana,Hiperactividad,Adicción a metilfenidato,Personalidad inestable,D
"Mujer de 79 años, maestra retirada, activa intelectual y socialmente, que usa suplementos nutricionales. Durante el 
presente mes inició tratamiento farmacológico por ansiedad moderada, lumbalgia y estreñimiento ocasionales. Una 
noche, los familiares la vieron asustada ""por los hombres que se han metido a la casa"" mientras usaba un palo para 
alejarlos. En emergencia suprimieron uno de los fármacos prescritos. ¿Cuál es el medicamento con mayor probabilidad 
de ser retirado?",Escitalopram,Paracetamol,Bisacodilo,Vitamina B12,Alprazolam,E
"Sonia de 48 años, hipertensa, ha experimentado desde los 15 años episodios cíclicos de cambios de humor, 
sensibilidad al rechazo, irritabilidad, aumento de conflictos, sensación de desesperanza, letargo y anhelo de consumir 
bocaditos muy salados. Estos se inician una semana antes de la menstruación y desaparece una semana después de 
ésta. ¿Cuál es el trastorno más probable?",Depresivo recurrente,Disfórico premenstrual,Asociativo hormonal,Personalidad doble,Bipolar I,B
En la terapia de los trastornos de ansiedad. ¿Cuál es una de las estrategias para la resolución de problemas?,Generar soluciones alternativas,Preguntar a múltiples consejeros,No evaluar los ensayos de soluciones,Evitar las situaciones de ansiedad,Ignorar los consejos,A
"Varón de 35 años, felizmente casado, en tratamiento exitoso de depresión con sertralina, sin otro antecedente 
médico; refirió que tiene deseo sexual hipoactivo. ¿Qué fármaco mejorará esta situación?",Venlafaxina,Paroxetina,Haloperidol,Atomoxetina,Bupropión,E
"¿Cuál de los siguientes trastornos de personalidad puede realizar con mayor frecuencia autoagresiones sin finalidad 
suicida ante situaciones de estrés?",Antisocial,Evitante,Límite,Paranoide,Anancástico,C
¿Cuál es la técnica más cercana en éxito a la exposición en vivo en el tratamiento de las fobias?,Exposición imaginal,Desensibilización,Videoterapia,Realidad virtual,Terapia racional,D
"¿Cuál es el trastorno de la personalidad diagnosticado con más frecuencia en las mujeres con síndrome del cromosoma 
X frágil?",Esquizotípica,Evitante,Inestable,Anancástica,Paranoide,A
¿Cuál es la acción farmacológica de la memantina?,Antagonista opioide,Agonista NMDA,Efecto muscarínico,Antagonista NMDA,Agonista dopaminérgico,D
"Mujer de 27 años, ama de casa, que ha sido abandonada hace una semana por el padre de sus tres hijos. Ingresó a 
emergencia por haber ingerido cuatro tabletas de diazepam, diez de paracetamol y ocho de amoxicilina. Durante la 
evaluación, afirmó: ""tomé un montón de medicinas para morirme y fallé... soy un fracaso de mujer... que mi esposo se 
haga cargo de mis hijos... así lo dejé escrito, porque yo no puedo hacerlo"". Se encontró una nota en la casa donde 
legaba sus pocos bienes a su madre. ¿Cuál es el diagnóstico más probable?",Gesto suicida,Manipulación,Intoxicación aguda,Autolesión,Tentativa de suicidio,E
"Varón de 76 años, con agitación luego de cobertura de ojos posterior a cirugía de catarata. Mejoró sin medicación al 
retirar la cobertura de ojos. ¿Cuál fue la causa más probable de la agitación?",Dolor retroocular,Demencia,Hipoglicemia,Aislamiento,Hipoestimulación visual,E
¿Cuál es el efecto adverso más frecuente del consumo de dietilamida del ácido lisérgico (LSD)?,Mal viaje,Síncope,Muerte,Infarto,Vómitos,A
¿Cuál es una alteración cognitiva presente en los trastornos de personalidad?,Respuesta emocional elevada,Flexibilidad conductual,Pobre relación interpersonal,Interpretación de actos propios y ajenos,Fracaso en control de impulsos,D
"Varón de 45 años, se quejó de depresión. Durante el interrogatorio manifiesta: ""No tengo amigos... he tenido muchos 
trabajos diferentes porque duro poco tiempo en ellos... renuncio, porque mis compañeros terminan traicionándome... 
también mis padres y mi familia... no se puede confiar en nadie, porque siempre van a tratar de dañarte si bajas la 
guardia. Por eso, nunca olvido un insulto o desaire"". ¿Cuál es el trastorno más probable?",Personalidad paranoide,Esquizofrenia residual,Trastorno antisocial,Pocas habilidades sociales,Retardo mental,A
"Varón de 21 años, expulsado de la universidad tras acusaciones comprobadas de sus compañeros, a quienes engañó 
pidiendo dinero supuestamente para solventar gastos por enfermedad de su madre, robó pertenencias y agredió ante 
los reclamos de los agraviados. Cuando encontraban objetos robados en su mochila, negaba el hurto o decía: ""estabas 
pidiendo que te lo quiten"". ¿Cuál es el trastorno más probable?",Cinismo,Autismo de Kanner,Personalidad antisocial,Bipolar tipo I,Esquizofrenia simple,C
"En el trastorno de ansiedad generalizada, ¿Cuál es la característica clínica más frecuente?",Búsqueda de múltiples consejos,Mayor atención a información amenazante,Seguir confiadamente la primera indicación,Subestimar la posibilidad de sucesos negativos,Desatención a la salud física e higiene,B
¿Sobre qué tipo de receptores actúa de preferencia la cafeína?,Cannabinoides,Adenosina,Noradrenérgico,Gabaérgicos,Histaminérgicos,B
