questions,option_A,option_B,option_C,option_D,correct_answer,option_E,source_file,source_folder,year
"Varón de 80 años, hace 2 semanas presenta cefalea, náusea, vómito y luego se agrega somnolencia y convulsiones. 
Tomografía cerebral signos de atrofia cortical. Punción lumbar: leucocitos 200/µL, hipoglucorraquia y presencia de 
bacilos gram positivos. ¿Cuál es el tratamiento de elección?",Oxacilina,Ceftriaxona,Ampicilina,Aciclovir,C,Ninguna de las anteriores,Prueba A,Year2025,2025
"Mujer de 21 años, solicita información sobre screening para cáncer de cuello uterino; que no manifiesta sus antecedentes 
sexuales. ¿Cuál es la indicación?",Observación,Test de Cobas,Prueba conjunta,Citología cervical,D,Ninguna de las anteriores,Prueba A,Year2025,2025
"Primigesta de 32 semanas por ecografía del primer trimestre; acude a control prenatal asintomática. Examen:  AU: 27 
cm,  SPP: LCI, LCF: 142X´. Ecografía: gestación única activa con ponderado fetal en percentil 2 y doppler fetal normal. 
¿Cuál es el diagnóstico más probable?",Error en la edad gestacional,Restricción en el crecimiento intrauterino,Crecimiento adecuado para la edad gestacional,Pequeño para la edad gestacional,B,Ninguna de las anteriores,Prueba A,Year2025,2025
"Mujer de 42 años, acude a emergencia por dolor torácico y palpitaciones luego de consumo de cocaína. Examen: PA: 
110/70 mmHg, FC: 135X', FR: 23X', T°: 36.5 °C, SatO2: 97%. ¿Cuál es el diagnóstico más probable?",Taquicardia nodal,Taquicardia supraventricular,Taquicardia sinusal,Taquicardia auricular,C,Ninguna de las anteriores,Prueba A,Year2025,2025
"Tercigesta de 33 semanas, cesareada anterior dos veces; acude por sangrado vaginal indoloro. Examen: AU: 30 cm, 
SPP: LCD, LCF 144X'. Ecografía obstétrica: gestación única activa con ponderado fetal en percentil 60. Placenta cubre 
la totalidad del OCI y presenta ademas lagunas vasculares, adelgazamiento miometrio retroplacentario y vasos puente. 
¿Cuál es el diagnóstico más probable?",Rotura uterina,Espectro de acretismo placentario,Hematoma retroplacentario,Rotura de vasa previa,B,Ninguna de las anteriores,Prueba A,Year2025,2025
"Mujer de 38 años, acude por cefalea y convulsiones tónico clónicas generalizadas de larga data. Resonancia cerebral 
informa dos quistes parenquimatosos compatibles con neurocisticercosis. ¿Cuál es el tratamiento de elección?",Albendazol y Praziquantel,Praziquantel,Prednisona,Albendazol,D,Ninguna de las anteriores,Prueba A,Year2025,2025
"Mujer de 19 años, acude por sensación de miedo, sudoración, palpitaciones, dolor torácico y sensación de temor; refiere 
que desde hace más de un mes presenta este episodio y le preocupa mucho. ¿Cuál es el trastorno más probable?",De ansiedad generalizada,De angustia,Obsesivo compulsivo,Fóbico,B,Ninguna de las anteriores,Prueba A,Year2025,2025
"Primípara de 32 años, Rh negativo; actualmente puérpera de 96 horas de parto vaginal, manifiesta que su hijo es Rh 
positivo y ella no ha recibido inmunoglobulina anti-D durante su embarazo, ni en el puerperio inmediato. ¿Cuál es la 
conducta a seguir?",Diferir inmunoglobulina anti-D hasta el próximo embarazo,Administrar corticoides intramuscular,Solicitar prueba de coombs indirecta,Colocar inmunoglobulina anti-D inmediatamente,D,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 70 años, acude a consulta, porque hace 8 meses presenta dolor epigástrico constante que no mejora a la 
ingesta de alimentos, llenura precoz y melena. Examen: MEN, REH, adenopatía supraclavicular izquierda. Abdomen: se 
palpa masa dolorosa en epigastrio. Laboratorio: Hb: 8 g/dL. ¿Cuál es el diagnóstico más probable?",NM gástrico,Úlcera duodenal,Linfoma gástrico,Tumor de Pancoast,A,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 14 años post amigdalectomizado presenta alteración del gusto. Examen: ageusia en el tercio posterior de la 
lengua, anestesia de la faringe, sequedad oral parcial y dificultad en la deglución. ¿Qué par craneal se encuentra 
comprometido?",IX,VII,XI,XII,A,Ninguna de las anteriores,Prueba A,Year2025,2025
"Lactante de 9 meses, desde hace 3 días presenta fiebre y vómitos frecuentes. Examen: T°: 39 ºC, piel caliente, poco 
elástica. Laboratorio: leucocitos 20,000/µL, abastonados: 700/µL; examen de orina: nitrito positivo y 100 
leucocitos/campo. ¿Cuál es la conducta más adecuada?",Hospitalizar para hidratación y antibioticoterapia parenteral,Iniciar hidratación por vía oral e indicar antibioticoterapia oral,Administrar antibioticoterapia parenteral,Realizar ecografía renal para descartar absceso,A,Ninguna de las anteriores,Prueba A,Year2025,2025
"Desde hace tres años, el centro de salud ubicado en el ámbito de una comunidad cuya principal actividad económica es 
la explotación minera, ha incrementado la notificación de casos de menores de diez años con retardo del desarrollo 
psicomotor, irritabilidad, cefalea, vómitos y disgeusia. ¿Qué contaminante ambiental es la causa más probable?",Azufre,Arsénico,Plomo,Níquel,C,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 36 años que acude por astenia, fatigabilidad. Examen: palidez de piel y mucosa. Laboratorio: anemia 
normocítica, normocrómica, hierro sérico disminuido, saturación de transferrina baja y ferritina aumentada. ¿Cuál es 
el mecanismo fisiopatológico de la anemia?",Disminución de la respuesta eritropoyética,Secuestro de hierro en los macrófagos,Producción inadecuada de transferrina,Aumento de la hepcidina,D,Ninguna de las anteriores,Prueba A,Year2025,2025
"Adolescente de 14 años, acude por náusea, vómitos y deposiciones líquidas sin moco sin sangre. Compañeros con 
síntomas similares tras comer hamburguesa en una excursión. ¿Cuál es el probable agente infeccioso en este caso?",Bacillus cereus,Vibrion cholerae,Staphylococcus aureus,Campylobacter jejuni,C,Ninguna de las anteriores,Prueba A,Year2025,2025
"Obrero de 30 años llega a emergencia después de haber sido rescatado de incendio; presenta estridor laríngeo, tos y 
dificultad respiratoria. La oximetría muestra SatO2: 90%, pero la gasometría arterial revela una presión parcial de oxígeno 
(PaO2) normal. ¿Cuál es la causa de estos hallazgos?",Reduce la capacidad de hemoglobina para captar oxígeno por modificación en su estructura,Se disuelve pobremente en el plasma sanguíneo reduciendo el oxígeno disuelto,Se une a la hemoglobina formando carboxihemoglobina,Interfiere con la liberación de oxígeno de la hemoglobina a los tejidos,C,Ninguna de las anteriores,Prueba A,Year2025,2025
"Niño de 10 años, presenta hace 5 días rinorrea acuosa y disfagia, 2 días antes se agrega tos con flema, silbido de 
pecho, fiebre e hiporexia. Antecedentes: inmunizaciones completas. Examen: REG, FC: 78 X', FR: 26 X', SatO2: 95%. 
Tórax: MV pasa AHT, sibilantes y subcrepitos en AHT, tirajes IC. Laboratorio: Hemograma: leucocitos 12.000/µL; PCR: 5 
mg/L; procalcitonina ligeramente elevado. ¿Cuál es el agente etiológico más probable?",Streptococcus pneumoniae,Haemophilus influenzae tipo b,Virus sincitial respiratorio,Mycoplasma pneumoniae,D,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 75 años, procedente de una residencia de ancianos presenta sepsis de origen urinario. Hemocultivos y 
urocultivo muestran E. coli productora de betalactamasas de espectro ampliado; antibiograma pendiente. ¿Cuál es el 
antibiótico mejor indicado?",Aztreonam,Ertapenem,Cefotaxima,Ceftriaxona,B,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 40 años, hace un día con dolor en región inguinal izquierda después de levantar objeto pesado. Examen: MEG. 
Abdomen: globuloso, RHA disminuidos; a nivel del pliegue de la ingle aumento de volumen por tumoración 2x2 cm, 
indurada, no reductible y con signos de flogosis. Rx abdomen simple de pie: múltiples niveles hidroaéreos. ¿Cuál es el 
diagnóstico?",Hernia de Spiegel estrangulada,Hernia crural encarcelada,Hernia inguinal estrangulada,Íleo adinámico,C,Ninguna de las anteriores,Prueba A,Year2025,2025
"Multigesta de 40 semanas, acude por dolor tipo contracción. Examen: AU: 31cm, SPP: LCI, LCF 144 X´. Tacto 
vaginal: dilatación: 9 cm, B: 100%, AP +1, membranas rotas con liquido claro, se palpa presentación cara mento anterior. 
¿Cuál es la conducta más adecuada?",Programar cesárea de emergencia,Usar vacuum de salida,Convertir a presentación occipucio,Dejar evolucionar parto vaginal,D,Ninguna de las anteriores,Prueba A,Year2025,2025
"Mujer de 45 años usuaria crónica de AINES por osteoartritis, acude por hematemesis y melena activa. Examen: PA: 80/50 
mmHg, FC: 112 X', FR: 22 X'. Palidez marcada de piel y mucosas. Luego de administrar el bolo de omeprazol se decide 
continuar con infusión del mismo medicamento. ¿Cuál es la velocidad de infusión del omeprazol en mg/h?",8,6,4,10,A,Ninguna de las anteriores,Prueba A,Year2025,2025
"¿Cuál es la hormona responsable de aumentar la producción hepática de glucosa durante un ayuno prolongado de 24 
horas?",Glucagon,Insulina,Leptina,Somatostatina,A,Ninguna de las anteriores,Prueba A,Year2025,2025
"Mujer de 47 años, hipertensa mal controlada, acude por que hace 20 minutos presenta dolor precordial opresivo con 
irradiación a brazo izquierdo. EKG muestra supradesnivel del ST en todas las derivadas precordiales. En un escenario 
ideal. ¿Cuál es el tratamiento de elección?",Oxigenoterapia,Fibrinolisis,Doble antiagregación,Intervención coronaria,D,Ninguna de las anteriores,Prueba A,Year2025,2025
"Mujer de 32 años que presenta ataxia y temblor de manos. Antecedente: epilepsia tratada con fármaco que aumenta los 
niveles de GABA e inhibe los canales de calcio tipo T. Examen: petequias. Laboratorio: hiperamonemia. ¿Qué 
medicamento se ha utilizado?",Etosuximida,Gabapentina,Fenitoína,Valproato,D,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 39 años, obeso, acude por anorexia, constipación, poliuria y dolores oseos difusos. Examen: PA: 130/80 mmHg, 
FC: 84X'. Laboratorio: calcio: 11.6 mg/dL. ¿Cuál es el diagnóstico presuntivo?",Consumo de tiazidas,Hiperparatiroidismo primario,Neoplasia metastásica,Hiperparatoridismo secundario,B,Ninguna de las anteriores,Prueba A,Year2025,2025
En pacientes con acromegalia secundarios a adenomas que secretan GH. ¿Cuál es el tratamiento inicial?,Pegvisomant,Cabergolina,Octeótride,Ablación quirúrgica,D,Ninguna de las anteriores,Prueba A,Year2025,2025
"Primigesta de 41 semanas, acude a control prenatal por que aún no ha iniciado trabajo de parto. Examen: PA: 100/60 
mmHg, FC: 72 X', AU: 32 cm, SPP: LCI, LCF: 132 X'. Tacto vaginal: D: 0 B: 50% AP -2. Ecografía: ponderado fetal 3700 
g y oligohidramnios. Test no estresante normal. ¿Cuál es la conducta más adecuada?",Inducción de trabajo de parto,Cesárea a las 42 semanas,Vigilancia fetal cada 72 horas,Cesárea de emergencia,A,Ninguna de las anteriores,Prueba A,Year2025,2025
"Mujer de 30 años que durante una apendicectomía se encuentra una tumoración de menos de 2 cm en la punta del 
apéndice. No se observa muestra de extensión abdominal extraapendicular. ¿Cuál es la conducta indicada?",Colectomía ascendente,Ileostomía,Hemicolectomía derecha,Apendicectomía,D,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 18 años sufre caída sobre su hombro izquierdo, acude por limitación en la movilidad del miembro superior 
izquierdo. Examen: hombro en aducción, brazo en rotación interna y codo extendido. ¿Dónde se localiza la lesión?",Tronco inferior del plexo braquial,Nervio cubital y braquial cutáneo medial,Tronco superior del plexo braquial,Tronco medio del plexo braquial,C,Ninguna de las anteriores,Prueba A,Year2025,2025
En el sistema de cuantificación POP-Q para prolapso genital. ¿Qué significa cuando el punto D se omite?,Dificultad para cuantificar,Prolapso genital total,Hay presencia de incontinencia,No hay cérvix,D,Ninguna de las anteriores,Prueba A,Year2025,2025
"Mujer de 65 años, diabética con ERC en terapia dialítica hace 4 años, desde hace un mes presenta dorsalgia y fiebre; en 
la última semana se agrega debilidad en miembros inferiores y dificultad para la micción. ¿Cuál es el diagnóstico más 
probable?",Metástasis ósea,Osteomielitis vertebral,Espóndiloartrosis,Paraparesia espástica,B,Ninguna de las anteriores,Prueba A,Year2025,2025
"Mujer de 75 años es trasladada al servicio de emergencia, porque desde hace 4 días presenta dolor abdominal a 
predominio de fosa iliaca izquierda, vómitos, alza térmica y rectorragia. Antecedente: estreñimiento crónico. Examen: 
pálida, PA: 90/60 mmHg, FC: 100X', FR: 30X'. Abdomen: distendido, RHA (-); a la palpación dolor abdominal generalizado, 
rebote(+); TR: dedo de guante con sangre. ¿Cuál es el diagnóstico más probable?",Colitis infecciosa,Apendicitis aguda,Diverticulitis aguda,Enfermedad de Crohn,C,Ninguna de las anteriores,Prueba A,Year2025,2025
¿Qué sustancia facilita la absorción de hierro a nivel intestinal?,Polifenoles,Calcio,Fructosa,Oxalatos,C,Ninguna de las anteriores,Prueba A,Year2025,2025
"Con el objetivo de disminuir la incidencia de embarazo en adolescentes la Dirección Regional de Salud implementa un 
plan de comunicación educativa dirigido a los escolares de secundaria de su ámbito. ¿Qué tipo de intervención sanitaria 
se está implementando?",Rehabilitación,Prevención,Promoción,Recuperación,C,Ninguna de las anteriores,Prueba A,Year2025,2025
"Mujer de 32 años, acude por dolor en fosa iliaca derecha desde hace tres días que se ha ido intensificando. Antecedentes 
de hidrosonografía hace 10 días. Examen: T°: 37 °C, FC: 80X'. Tacto vaginal: dolor a la movilización de cérvix, se 
evidencia flujo vaginal con mal olor. Eco TV útero de 7 cm, presencia de líquido en fondo de saco. ¿Cuál es el manejo 
más adecuado?",Clindamicina + gentamicina,Doxiciclina + ceftriaxona + metronidazol,Doxiciclina + azitromicina,Ceftriaxona + doxiciclina + gentamicina,B,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 32 años, ingresa por pérdida de conciencia de forma brusca acompañado de movimientos tónico clónicos 
generalizados; esposo refiere que desde hace 2 días no duerme por problemas familiares y estrés y que nunca ha tenido 
un cuadro similar. Examen: post ictal. Boca: signos de mordedura de lengua. ¿Cuál es la indicación?",Fenitoina,Conducta expectante,Fenobarbital,Valproato de sodio,B,Ninguna de las anteriores,Prueba A,Year2025,2025
"Primigesta de 37 semanas, sin controles prenatales, acude por presentar dolor tipo contracción esporádico. Examen: AU: 
32 cm, SPP: LCI, LCF: 150 X'; Tacto vaginal: D: 0 B: 30% AP: -4. Laboratorio: VIH + y carga viral en 2000 copias/mL. 
¿Cuál es la conducta más adecuada para la vía de parto?",Parto vaginal espontaneo,Cesárea programada,Inducción a las 39 semanas,Parto instrumentado,B,Ninguna de las anteriores,Prueba A,Year2025,2025
"Recién nacido de 6 días, es traído a emergencia por presentar enrojecimiento, calor local, secreción purulenta y mal olor 
en la base del cordón umbilical, pobre succión y sueño incrementado. Examen: eritema periumbilical de 2 cm con 
induración e incremento de volumen; neurológico: succión irregular e hipoactividad. ¿Cuál es la conducta más adecuada?",Administrar antibióticos tópicos y realizar seguimiento ambulatorio estrecho,Iniciar tratamiento antibiótico intramuscular y evaluar respuesta en 48 horas,Realizar hemocultivo y esperar resultados para iniciar antibioticoterapia,Hospitalizar al neonato e iniciar tratamiento antibiótico intravenoso de amplio espectro,D,Ninguna de las anteriores,Prueba A,Year2025,2025
"Recién nacido prematuro de 28 semanas y 1050 g de peso se encuentra en la UCIN debido a su prematurez; durante la 
primera semana requirió múltiples extracciones sanguíneas para monitorización. A los 10 días, presenta palidez, 
taquicardia y una hemoglobina de 8.0 g/dL, lo que lleva al equipo médico a considerar una transfusión. ¿Qué medida 
inicial tiene mayor impacto en disminuir la probabilidad de requerir una transfusión en este paciente?",Administrar eritropoyetina para estimular la producción de glóbulos rojos,Iniciar suplementación con hierro intravenoso para mejorar la síntesis de hemoglobina,Restringir toma de muestras de sangre para exámenes de laboratorio,Considerar la transfusión inmediata para corregir la anemia sintomática,C,Ninguna de las anteriores,Prueba A,Year2025,2025
"Niño de 2 años, presenta hace 2 días tos seca a predominio nocturno. Antecedente: bronquiolitis a los 5 meses y síndrome 
obstructivo bronquial recurrente; hermano asmático y en su casa conviven con dos perros y un gato. Examen: FC: 32X', 
SatO2: 96%, T°: 37 °C; Tórax: taquipnea, tirajes IC, disbalance toracoabdominal, sibilantes espiratorios en AHT. ¿Cuál 
es la acción inicial más apropiada?",Solicitar Rx de tórax urgente,Administrar corticoides sistémicos,Administrar broncodilatadores,Administrar antileucotrienos,C,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 54 años, hipertenso y fumador, refiere dolor torácico tipo opresivo retroesternal que aumenta con el esfuerzo y 
se irradia a brazo y mandíbula, mejorando con reposo. Antecedente familiar de IAM en su padre a los 54 años. ¿Cuál es 
la conducta inicial a seguir?",Realizar electrocardiograma,Solicitar péptido natriurético,Programar ergometría,Realizar angiotem,A,Ninguna de las anteriores,Prueba A,Year2025,2025
"Neonato pretérmino tardío nace con antecedente de ruptura de membranas de 20 h, líquido amniótico claro, peso de 
2700 g, APGAR 9-10 y buen reflejo de succión. ¿Cuál es la conducta más apropiada?",Monitorizar signos de infección,Solicitar ecocardiografía,Estudio de LCR,Iniciar antibióticos de amplio espectro,A,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 70 años, con antecedente de diabetes mellitus tipo 1 y enfermedad diverticular; consulta por dolor abdominal 
recurrente en el cuadrante inferior izquierdo, fiebre y presencia de neumaturia y fecaluria. Examen: dolor a la palpación 
profunda en esa zona. ¿Cuál es la complicación más probable?",Fístula colovesical,Absceso pélvico,Obstrucción colónica,Infección urinaria,A,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 35 años es evaluado en consultorio de cardiología y luego de estudios electrofisiológicos es diagnosticado de 
síndrome de taqui-bradi; sin embargo luego de tratamiento médico ingresa a emergencia por episodios de palpitaciones 
y síncopes. ¿Cuál es la mejor indicación?",Marcapaso,Carvedilol,Atropina,Ablación,A,Ninguna de las anteriores,Prueba A,Year2025,2025
"Mujer de 35 años que acude por dismenorrea, dolor a la defecación desde hace un año. Ecografía: tumor quístico 
anexial con contenido como vidrio esmerilado de 3 cm. El tratamiento de primera opción además de los analgésicos 
incluye:",Agonista de la GnRH,Antagonista de la GnRH,Anticonceptivos combinados,Progesterona,C,Ninguna de las anteriores,Prueba A,Year2025,2025
"Niño 
de 
10 años 
es 
llevado 
urgencias 
por 
presentar 
desde 
hace 
3 
días ictericia, 
letargo, somnolencia y hematemesis. Hace 7 días presentó alza térmica, dolor abdominal y vómitos que cedieron con 
sintomáticos. Examen: ictericia de piel y mucosas, hígado a 3 cm DRCD doloroso. Glasgow 12, ROT: aumentados. Según 
su presunción diagnóstica. ¿Cuál es la conducta inicial a seguir?",Hidratación parenteral y referencia a centro hospitalario de mayor complejidad,Iniciar tratamiento empírico con antibióticos de amplio espectro,Administrar omeprazol para proteger la mucosa gástrica y mantener en observación,Solicitar pruebas de función hepática y realizar una ecografía abdominal,A,Ninguna de las anteriores,Prueba A,Year2025,2025
"¿Qué efecto inmediato se espera en la filtración glomerular, al administrar un fármaco que inhiba la angiotensina II?",Aumento de la presión oncótica capilar,Aumento por vasoconstricción de la arteriola eferente,"Sin cambios, la TFG depende de la presión hidrostática",Disminución por vasodilatación de la arteriola eferente,D,Ninguna de las anteriores,Prueba A,Year2025,2025
"La conjuntivitis neonatal es una infección ocular que puede tener graves consecuencias para el recién nacido. ¿Cuál es 
la vía de infección más frecuente?",Transmisión de gérmenes por las manos,Diseminación de gérmenes desde las mucosas de las vías respiratorias superiores,Parto vaginal,Contacto directo con secreciones respiratorias de familiares,C,Ninguna de las anteriores,Prueba A,Year2025,2025
"RN masculino de 12 horas, presenta vómitos biliosos sin distensión abdominal. Antecedente: nacido por gestación 
con polihidramnios. Rx abdominal: “doble burbuja” sin aire distal. ¿Cuál es el diagnóstico?",Mal rotación intestinal,Íleo meconial,Vólvulo intestinal,Atresia duodenal,D,Ninguna de las anteriores,Prueba A,Year2025,2025
"Primigesta de 28 semanas asintomática, acude a control prenatal. Se realizó ecografía morfológica sin alteraciones. 
Examen: PA: 100/80 mmHg, FC: 80 X'. Altura uterina: 26 cm, LCF: 144 X'. La paciente pregunta por su esquema de 
inmunización. ¿Qué vacuna le corresponde?",VPH,Rubéola,Tdap,Varicela,C,Ninguna de las anteriores,Prueba A,Year2025,2025
"Lactante de 40 días, es traído a emergencia por dificultad respiratoria. Antecedente: EG: 32 semanas; parto cesárea, con 
oxigenoterapia durante 32 días. Examen: FR: 65X', FC: 110X'. Tórax: sibilantes en AHT y tirajes IC. ¿Cuál es el 
diagnóstico?",Displasia broncopulmonar,Neumonía intrahospitalaria,Síndrome obstructivo bronquial,Bronquiolitis obliterante,A,Ninguna de las anteriores,Prueba A,Year2025,2025
"Mujer de 23 años es llevada a consulta por presentar desde hace 2 años conducta extrovertida excesiva, impulsividad y 
estado de ánimo expansivo y a veces irritable que alterna con episodios de apatía, indiferencia y pérdida de la capacidad 
de sentir placer. ¿Cuál es el medicamento básico para el tratamiento de esta patología?",Paroxetina,Litio,Lorazepam,Mirtazapina,B,Ninguna de las anteriores,Prueba A,Year2025,2025
"El equipo de gestión del centro de salud elabora el ASIS y requiere incorporar un indicador de los determinantes sociales 
ambientales. ¿Cuál deberá elegir?",Porcentaje de hogares con agua potable,Personal médico por cien mil habitantes,Tasa de reingresos hospitalarios,Cobertura de vacunación infantil,A,Ninguna de las anteriores,Prueba A,Year2025,2025
"Mujer de 56 años con DM tipo 2 acude por polidipsia, poliurea. Examen: IMC:32. Laboratorio: HbA1C 10.8 %. Glucosa 
basal 280 mg/dL. ¿Cuál es la conducta a seguir?",Cambio de estilo de vida y control HbA1C,Iniciar insulinoterapia,Iniciar sulfonilureas,Solicitar prueba de tolerancia a la glucosa oral,B,Ninguna de las anteriores,Prueba A,Year2025,2025
¿Cuál es el mecanismo fisiológico por el cual se puede presentar hipertensión arterial en la postmenopausia?,Cambios en la sensibilidad barorreceptora,Reducción de la actividad del sistema renina-angiotensina,Aumento en la resistencia vascular periférica,Pérdida del efecto protector del estrógeno,D,Ninguna de las anteriores,Prueba A,Year2025,2025
