source_file,year,count_of_matches,total_rows,percent_correct,model_name,source_file_eng
Neurocirugía,2025,19,95,20.0,OpenBioLLM-8B,Neurosurgery
Oftalmología,2018,23,90,25.56,OpenBioLLM-8B,Ophthalmology
Oftalmología,2019,28,91,30.77,OpenBioLLM-8B,Ophthalmology
Oftalmología,2020,32,94,34.04,OpenBioLLM-8B,Ophthalmology
Oftalmología,2022,33,96,34.38,OpenBioLLM-8B,Ophthalmology
Oftalmología,2023,18,98,18.37,OpenBioLLM-8B,Ophthalmology
Oftalmología,2024,15,91,16.48,OpenBioLLM-8B,Ophthalmology
Oftalmología,2025,21,95,22.11,OpenBioLLM-8B,Ophthalmology
Pediatría,2018,32,96,33.33,OpenBioLLM-8B,Pediatrics
Pediatría,2019,40,96,41.67,OpenBioLLM-8B,Pediatrics
Pediatría,2020,33,94,35.11,OpenBioLLM-8B,Pediatrics
Pediatría,2022,35,97,36.08,OpenBioLLM-8B,Pediatrics
Pediatría,2023,28,95,29.47,OpenBioLLM-8B,Pediatrics
Pediatría,2024,28,99,28.28,OpenBioLLM-8B,Pediatrics
Pediatría,2025,24,94,25.53,OpenBioLLM-8B,Pediatrics
Prueba A,2018,38,95,40.0,OpenBioLLM-8B,Test A
Prueba A,2019,41,95,43.16,OpenBioLLM-8B,Test A
Prueba A,2020,44,87,50.57,OpenBioLLM-8B,Test A
Prueba A,2022,35,98,35.71,OpenBioLLM-8B,Test A
Prueba A,2023,33,94,35.11,OpenBioLLM-8B,Test A
Prueba A,2024,28,99,28.28,OpenBioLLM-8B,Test A
Prueba A,2025,33,97,34.02,OpenBioLLM-8B,Test A
Prueba B,2018,42,98,42.86,OpenBioLLM-8B,Test B
Prueba B,2019,35,92,38.04,OpenBioLLM-8B,Test B
Prueba B,2020,26,88,29.55,OpenBioLLM-8B,Test B
Prueba B,2022,36,94,38.3,OpenBioLLM-8B,Test B
Prueba B,2023,27,96,28.12,OpenBioLLM-8B,Test B
Prueba B,2024,20,96,20.83,OpenBioLLM-8B,Test B
Prueba B,2025,25,96,26.04,OpenBioLLM-8B,Test B
Psiquiatría,2018,37,97,38.14,OpenBioLLM-8B,Psychiatry
Psiquiatría,2019,55,95,57.89,OpenBioLLM-8B,Psychiatry
Psiquiatría,2020,51,95,53.68,OpenBioLLM-8B,Psychiatry
Psiquiatría,2022,47,97,48.45,OpenBioLLM-8B,Psychiatry
Psiquiatría,2023,45,98,45.92,OpenBioLLM-8B,Psychiatry
Psiquiatría,2024,48,94,51.06,OpenBioLLM-8B,Psychiatry
Psiquiatría,2025,42,98,42.86,OpenBioLLM-8B,Psychiatry
Radiología,2018,33,97,34.02,OpenBioLLM-8B,Radiology
Radiología,2019,29,91,31.87,OpenBioLLM-8B,Radiology
Radiología,2022,27,97,27.84,OpenBioLLM-8B,Radiology
Radiología,2023,26,99,26.26,OpenBioLLM-8B,Radiology
Radiología,2024,20,99,20.2,OpenBioLLM-8B,Radiology
Radiología,2025,26,98,26.53,OpenBioLLM-8B,Radiology
Urología,2018,44,95,46.32,OpenBioLLM-8B,Urology
Urología,2020,35,93,37.63,OpenBioLLM-8B,Urology
Urología,2022,32,92,34.78,OpenBioLLM-8B,Urology
Urología,2023,20,91,21.98,OpenBioLLM-8B,Urology
Urología,2024,23,90,25.56,OpenBioLLM-8B,Urology
Urología,2025,18,93,19.35,OpenBioLLM-8B,Urology
Anatomía Patológica & Patología,2018,36,100,36.0,BioMistral-7B-DARE,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2019,35,100,35.0,BioMistral-7B-DARE,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2020,28,100,28.0,BioMistral-7B-DARE,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2023,37,99,37.37,BioMistral-7B-DARE,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2024,37,97,38.14,BioMistral-7B-DARE,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2025,27,98,27.55,BioMistral-7B-DARE,Pathological Anatomy and Pathology
Anestesiología,2018,20,98,20.41,BioMistral-7B-DARE,Anesthesiology
Anestesiología,2019,27,97,27.84,BioMistral-7B-DARE,Anesthesiology
Anestesiología,2020,32,98,32.65,BioMistral-7B-DARE,Anesthesiology
Anestesiología,2022,28,100,28.0,BioMistral-7B-DARE,Anesthesiology
Anestesiología,2023,40,100,40.0,BioMistral-7B-DARE,Anesthesiology
Anestesiología,2024,28,99,28.28,BioMistral-7B-DARE,Anesthesiology
Anestesiología,2025,38,98,38.78,BioMistral-7B-DARE,Anesthesiology
Cirugía General,2018,25,100,25.0,BioMistral-7B-DARE,General Surgery
Cirugía General,2019,32,100,32.0,BioMistral-7B-DARE,General Surgery
Cirugía General,2020,31,99,31.31,BioMistral-7B-DARE,General Surgery
Cirugía General,2022,27,100,27.0,BioMistral-7B-DARE,General Surgery
Cirugía General,2023,25,100,25.0,BioMistral-7B-DARE,General Surgery
Cirugía General,2024,29,100,29.0,BioMistral-7B-DARE,General Surgery
Cirugía General,2025,31,100,31.0,BioMistral-7B-DARE,General Surgery
Cirugía de Tórax y Cardiovascular,2019,30,98,30.61,BioMistral-7B-DARE,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2022,32,97,32.99,BioMistral-7B-DARE,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2023,43,100,43.0,BioMistral-7B-DARE,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2024,34,96,35.42,BioMistral-7B-DARE,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2025,70,196,35.71,BioMistral-7B-DARE,Thoracic and Cardiovascular Surgery
Ginecología y Obstetricia,2018,20,99,20.2,BioMistral-7B-DARE,Gynecology and Obstetrics
Ginecología y Obstetricia,2019,27,99,27.27,BioMistral-7B-DARE,Gynecology and Obstetrics
Ginecología y Obstetricia,2020,30,99,30.3,BioMistral-7B-DARE,Gynecology and Obstetrics
Ginecología y Obstetricia,2022,34,100,34.0,BioMistral-7B-DARE,Gynecology and Obstetrics
Ginecología y Obstetricia,2023,31,100,31.0,BioMistral-7B-DARE,Gynecology and Obstetrics
Ginecología y Obstetricia,2024,31,99,31.31,BioMistral-7B-DARE,Gynecology and Obstetrics
Ginecología y Obstetricia,2025,34,99,34.34,BioMistral-7B-DARE,Gynecology and Obstetrics
Neurocirugía,2022,22,98,22.45,BioMistral-7B-DARE,Neurosurgery
Neurocirugía,2023,27,100,27.0,BioMistral-7B-DARE,Neurosurgery
Neurocirugía,2024,33,99,33.33,BioMistral-7B-DARE,Neurosurgery
Neurocirugía,2025,25,100,25.0,BioMistral-7B-DARE,Neurosurgery
Oftalmología,2018,11,97,11.34,BioMistral-7B-DARE,Ophthalmology
Oftalmología,2019,26,98,26.53,BioMistral-7B-DARE,Ophthalmology
Oftalmología,2020,35,98,35.71,BioMistral-7B-DARE,Ophthalmology
Oftalmología,2022,24,97,24.74,BioMistral-7B-DARE,Ophthalmology
Oftalmología,2023,29,99,29.29,BioMistral-7B-DARE,Ophthalmology
Oftalmología,2024,21,100,21.0,BioMistral-7B-DARE,Ophthalmology
Oftalmología,2025,34,100,34.0,BioMistral-7B-DARE,Ophthalmology
Pediatría,2018,29,99,29.29,BioMistral-7B-DARE,Pediatrics
Pediatría,2019,32,100,32.0,BioMistral-7B-DARE,Pediatrics
Pediatría,2020,39,100,39.0,BioMistral-7B-DARE,Pediatrics
Pediatría,2022,33,99,33.33,BioMistral-7B-DARE,Pediatrics
Pediatría,2023,30,100,30.0,BioMistral-7B-DARE,Pediatrics
Pediatría,2024,27,100,27.0,BioMistral-7B-DARE,Pediatrics
Pediatría,2025,30,99,30.3,BioMistral-7B-DARE,Pediatrics
Prueba A,2018,32,100,32.0,BioMistral-7B-DARE,Test A
Prueba A,2019,40,98,40.82,BioMistral-7B-DARE,Test A
Prueba A,2020,29,88,32.95,BioMistral-7B-DARE,Test A
Prueba A,2022,33,100,33.0,BioMistral-7B-DARE,Test A
Prueba A,2023,37,100,37.0,BioMistral-7B-DARE,Test A
Prueba A,2024,35,100,35.0,BioMistral-7B-DARE,Test A
Prueba A,2025,35,100,35.0,BioMistral-7B-DARE,Test A
Prueba B,2018,24,98,24.49,BioMistral-7B-DARE,Test B
Prueba B,2019,37,100,37.0,BioMistral-7B-DARE,Test B
Prueba B,2020,31,89,34.83,BioMistral-7B-DARE,Test B
Prueba B,2022,35,99,35.35,BioMistral-7B-DARE,Test B
Prueba B,2023,35,100,35.0,BioMistral-7B-DARE,Test B
Prueba B,2024,30,99,30.3,BioMistral-7B-DARE,Test B
Prueba B,2025,36,100,36.0,BioMistral-7B-DARE,Test B
Psiquiatría,2018,42,99,42.42,BioMistral-7B-DARE,Psychiatry
Psiquiatría,2019,44,100,44.0,BioMistral-7B-DARE,Psychiatry
Psiquiatría,2020,51,100,51.0,BioMistral-7B-DARE,Psychiatry
Psiquiatría,2022,39,99,39.39,BioMistral-7B-DARE,Psychiatry
Psiquiatría,2023,46,100,46.0,BioMistral-7B-DARE,Psychiatry
Psiquiatría,2024,29,100,29.0,BioMistral-7B-DARE,Psychiatry
Psiquiatría,2025,38,100,38.0,BioMistral-7B-DARE,Psychiatry
Radiología,2018,25,99,25.25,BioMistral-7B-DARE,Radiology
Radiología,2019,40,99,40.4,BioMistral-7B-DARE,Radiology
Radiología,2022,23,98,23.47,BioMistral-7B-DARE,Radiology
Radiología,2023,32,100,32.0,BioMistral-7B-DARE,Radiology
Radiología,2024,39,100,39.0,BioMistral-7B-DARE,Radiology
Radiología,2025,30,97,30.93,BioMistral-7B-DARE,Radiology
Urología,2018,33,100,33.0,BioMistral-7B-DARE,Urology
Urología,2020,41,100,41.0,BioMistral-7B-DARE,Urology
Urología,2022,22,98,22.45,BioMistral-7B-DARE,Urology
Urología,2023,31,100,31.0,BioMistral-7B-DARE,Urology
Urología,2024,26,96,27.08,BioMistral-7B-DARE,Urology
Urología,2025,32,100,32.0,BioMistral-7B-DARE,Urology
Anatomía Patológica & Patología,2018,36,100,36.0,MediPhi-Instruct 3.8B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2019,29,100,29.0,MediPhi-Instruct 3.8B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2020,33,99,33.33,MediPhi-Instruct 3.8B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2023,45,100,45.0,MediPhi-Instruct 3.8B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2024,39,100,39.0,MediPhi-Instruct 3.8B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2025,41,100,41.0,MediPhi-Instruct 3.8B,Pathological Anatomy and Pathology
Anestesiología,2018,43,99,43.43,MediPhi-Instruct 3.8B,Anesthesiology
Anestesiología,2019,48,100,48.0,MediPhi-Instruct 3.8B,Anesthesiology
Anestesiología,2020,31,100,31.0,MediPhi-Instruct 3.8B,Anesthesiology
Anestesiología,2022,40,100,40.0,MediPhi-Instruct 3.8B,Anesthesiology
Anestesiología,2023,46,100,46.0,MediPhi-Instruct 3.8B,Anesthesiology
Anestesiología,2024,44,99,44.44,MediPhi-Instruct 3.8B,Anesthesiology
Anestesiología,2025,50,100,50.0,MediPhi-Instruct 3.8B,Anesthesiology
Cirugía General,2018,30,100,30.0,MediPhi-Instruct 3.8B,General Surgery
Cirugía General,2019,33,100,33.0,MediPhi-Instruct 3.8B,General Surgery
Cirugía General,2020,34,100,34.0,MediPhi-Instruct 3.8B,General Surgery
Cirugía General,2022,33,100,33.0,MediPhi-Instruct 3.8B,General Surgery
Cirugía General,2023,41,100,41.0,MediPhi-Instruct 3.8B,General Surgery
Cirugía General,2024,44,100,44.0,MediPhi-Instruct 3.8B,General Surgery
Cirugía General,2025,35,100,35.0,MediPhi-Instruct 3.8B,General Surgery
Cirugía de Tórax y Cardiovascular,2019,28,100,28.0,MediPhi-Instruct 3.8B,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2022,41,100,41.0,MediPhi-Instruct 3.8B,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2023,40,100,40.0,MediPhi-Instruct 3.8B,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2024,47,100,47.0,MediPhi-Instruct 3.8B,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2025,86,200,43.0,MediPhi-Instruct 3.8B,Thoracic and Cardiovascular Surgery
Ginecología y Obstetricia,2018,32,100,32.0,MediPhi-Instruct 3.8B,Gynecology and Obstetrics
Ginecología y Obstetricia,2019,36,100,36.0,MediPhi-Instruct 3.8B,Gynecology and Obstetrics
Ginecología y Obstetricia,2020,29,100,29.0,MediPhi-Instruct 3.8B,Gynecology and Obstetrics
Ginecología y Obstetricia,2022,30,100,30.0,MediPhi-Instruct 3.8B,Gynecology and Obstetrics
Ginecología y Obstetricia,2023,35,100,35.0,MediPhi-Instruct 3.8B,Gynecology and Obstetrics
Ginecología y Obstetricia,2024,43,100,43.0,MediPhi-Instruct 3.8B,Gynecology and Obstetrics
Ginecología y Obstetricia,2025,30,100,30.0,MediPhi-Instruct 3.8B,Gynecology and Obstetrics
Neurocirugía,2022,28,100,28.0,MediPhi-Instruct 3.8B,Neurosurgery
Neurocirugía,2023,46,100,46.0,MediPhi-Instruct 3.8B,Neurosurgery
Neurocirugía,2024,41,100,41.0,MediPhi-Instruct 3.8B,Neurosurgery
Neurocirugía,2025,35,100,35.0,MediPhi-Instruct 3.8B,Neurosurgery
Oftalmología,2018,42,100,42.0,MediPhi-Instruct 3.8B,Ophthalmology
Oftalmología,2019,27,100,27.0,MediPhi-Instruct 3.8B,Ophthalmology
Oftalmología,2020,24,100,24.0,MediPhi-Instruct 3.8B,Ophthalmology
Oftalmología,2022,30,100,30.0,MediPhi-Instruct 3.8B,Ophthalmology
Oftalmología,2023,46,100,46.0,MediPhi-Instruct 3.8B,Ophthalmology
Oftalmología,2024,33,100,33.0,MediPhi-Instruct 3.8B,Ophthalmology
Oftalmología,2025,37,100,37.0,MediPhi-Instruct 3.8B,Ophthalmology
Pediatría,2018,45,100,45.0,MediPhi-Instruct 3.8B,Pediatrics
Pediatría,2019,39,100,39.0,MediPhi-Instruct 3.8B,Pediatrics
Pediatría,2020,35,100,35.0,MediPhi-Instruct 3.8B,Pediatrics
Pediatría,2022,39,100,39.0,MediPhi-Instruct 3.8B,Pediatrics
Pediatría,2023,45,100,45.0,MediPhi-Instruct 3.8B,Pediatrics
Pediatría,2024,45,100,45.0,MediPhi-Instruct 3.8B,Pediatrics
Pediatría,2025,34,100,34.0,MediPhi-Instruct 3.8B,Pediatrics
Prueba A,2018,43,100,43.0,MediPhi-Instruct 3.8B,Test A
Prueba A,2019,38,100,38.0,MediPhi-Instruct 3.8B,Test A
Prueba A,2020,35,90,38.89,MediPhi-Instruct 3.8B,Test A
Prueba A,2022,42,100,42.0,MediPhi-Instruct 3.8B,Test A
Prueba A,2023,45,99,45.45,MediPhi-Instruct 3.8B,Test A
Prueba A,2024,46,100,46.0,MediPhi-Instruct 3.8B,Test A
Prueba A,2025,50,100,50.0,MediPhi-Instruct 3.8B,Test A
Prueba B,2018,39,100,39.0,MediPhi-Instruct 3.8B,Test B
Prueba B,2019,31,100,31.0,MediPhi-Instruct 3.8B,Test B
Prueba B,2020,37,90,41.11,MediPhi-Instruct 3.8B,Test B
Prueba B,2022,36,100,36.0,MediPhi-Instruct 3.8B,Test B
Prueba B,2023,40,100,40.0,MediPhi-Instruct 3.8B,Test B
Prueba B,2024,41,100,41.0,MediPhi-Instruct 3.8B,Test B
Prueba B,2025,42,100,42.0,MediPhi-Instruct 3.8B,Test B
Psiquiatría,2018,55,100,55.0,MediPhi-Instruct 3.8B,Psychiatry
Psiquiatría,2019,45,100,45.0,MediPhi-Instruct 3.8B,Psychiatry
Psiquiatría,2020,45,100,45.0,MediPhi-Instruct 3.8B,Psychiatry
Psiquiatría,2022,41,100,41.0,MediPhi-Instruct 3.8B,Psychiatry
Psiquiatría,2023,58,100,58.0,MediPhi-Instruct 3.8B,Psychiatry
Psiquiatría,2024,52,100,52.0,MediPhi-Instruct 3.8B,Psychiatry
Psiquiatría,2025,52,100,52.0,MediPhi-Instruct 3.8B,Psychiatry
Radiología,2018,42,100,42.0,MediPhi-Instruct 3.8B,Radiology
Radiología,2019,41,100,41.0,MediPhi-Instruct 3.8B,Radiology
Radiología,2022,26,100,26.0,MediPhi-Instruct 3.8B,Radiology
Radiología,2023,41,100,41.0,MediPhi-Instruct 3.8B,Radiology
Radiología,2024,39,100,39.0,MediPhi-Instruct 3.8B,Radiology
Radiología,2025,32,100,32.0,MediPhi-Instruct 3.8B,Radiology
Urología,2018,48,100,48.0,MediPhi-Instruct 3.8B,Urology
Urología,2020,28,100,28.0,MediPhi-Instruct 3.8B,Urology
Urología,2022,32,100,32.0,MediPhi-Instruct 3.8B,Urology
Urología,2023,50,100,50.0,MediPhi-Instruct 3.8B,Urology
Urología,2024,44,100,44.0,MediPhi-Instruct 3.8B,Urology
Urología,2025,38,100,38.0,MediPhi-Instruct 3.8B,Urology
Anatomía Patológica & Patología,2018,46,99,46.46,medgemma-4b-it,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2019,46,100,46.0,medgemma-4b-it,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2020,41,100,41.0,medgemma-4b-it,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2023,41,99,41.41,medgemma-4b-it,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2024,46,100,46.0,medgemma-4b-it,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2025,47,100,47.0,medgemma-4b-it,Pathological Anatomy and Pathology
Anestesiología,2018,39,100,39.0,medgemma-4b-it,Anesthesiology
Anestesiología,2019,52,100,52.0,medgemma-4b-it,Anesthesiology
Anestesiología,2020,44,100,44.0,medgemma-4b-it,Anesthesiology
Anestesiología,2022,40,100,40.0,medgemma-4b-it,Anesthesiology
Anestesiología,2023,47,100,47.0,medgemma-4b-it,Anesthesiology
Anestesiología,2024,44,100,44.0,medgemma-4b-it,Anesthesiology
Anestesiología,2025,43,100,43.0,medgemma-4b-it,Anesthesiology
Cirugía General,2018,42,100,42.0,medgemma-4b-it,General Surgery
Cirugía General,2019,46,100,46.0,medgemma-4b-it,General Surgery
Cirugía General,2020,43,100,43.0,medgemma-4b-it,General Surgery
Cirugía General,2022,43,100,43.0,medgemma-4b-it,General Surgery
Cirugía General,2023,41,100,41.0,medgemma-4b-it,General Surgery
Cirugía General,2024,39,100,39.0,medgemma-4b-it,General Surgery
Cirugía General,2025,46,100,46.0,medgemma-4b-it,General Surgery
Cirugía de Tórax y Cardiovascular,2019,31,99,31.31,medgemma-4b-it,Thoracic and Cardiovascular Surgery
