questions,option_A,option_B,option_C,option_D,correct_answer
"Primigesta de 35 años, a las 22 semanas en ecografía se aprecia imagen anormal del corazón fetal (en vez de la imagen 
en cuatro cámaras que ofrece la cruz típica, falta una porción justo por debajo de la cruz). Dicha anomalía estaría 
afectando la porción membranosa de la estructura embrionaria afectada. ¿A qué nivel tendrá dicha anomalía el feto?",Tabique auricular,Tabique ventricular,Tubo cardiaco,Canal interauricular,B
"Durante la monitorización electrónica de rutina y especializada, usados en la práctica anestésica y sus indicaciones. 
¿Cuál es el monitor que mide la idoneidad de la ventilación, la colocación de un tubo endotraqueal y la perfusión 
pulmonar?",Pulsioxímetro,Capnógrafo,Monitor de presión del ventilador,Analizador de oxígeno,B
"Varón de 42 años, portador de válvula mitral protésica, acude por malestar general, astenia, baja de peso y fiebre a 
predominio vespertino. Examen: T° 38.5°C; presencia de nódulos de Osler y lesiones de Janeway en palma de manos; 
soplo diastólico cambiante en foco mitral. Laboratorio: Hb: 10 mg/dl; VSG y PCR elevados. Ecocardiograma: presencia 
de vegetaciones en válvula mitral. Hemocultivo en proceso. ¿Cuál es el tratamiento empírico indicado?",Ciprofloxacino + ceftazidima,Vancomicina + gentamicina,Penicilina G sódica + metronidazol,Ampicilina + cloranfenicol,B
"Varón de 48 años, estibador portuario, acude por cefalea y mareos en actividad y en reposo. Al examen: Lúcido, orientado, 
pupilas reactivas,nistagmus, ROT normales, signo de Romberg (+). ¿Cuál es la estructura afectada?",Cerebelo,Lóbulo Frontal,Ganglios basales,Lóbulo Occipital,A
"Niño de 2 años que al cruzar la pista con su madre es jalado y levantado del brazo; acude con dolor y disminución de 
movilidad de miembro superior derecho. Examen: brazo derecho en aducción, deformidad de la articulación del hombro. 
¿Cuál es la primera opción diagnóstica?",Rotura del manguito rotador,Fractura de clavícula,Subluxación del hombro,Fractura de cabeza humeral,C
"Varón de 47 años, con úlcera duodenal controlada; quien se trata con un fármaco que actúa sobre las células parietales, 
bloqueando los receptores de histamina. ¿Cuál de los siguientes es el fármaco que utiliza?",Bismuto,Cisaprida,Pantoprazol,Cimetidina,D
"En el mes de marzo del 2023, se confirmó un caso de poliomielitis en el distrito de Manseriche, que a su vez presentó 
para el año 2022 un 43.6% de cobertura antipolio, con un índice de riesgo por acúmulo de susceptibles de 1.24; como 
parte de las acciones de bloqueo, se tiene que vacunar a un lactante dos meses de edad, nacido de madre portadora de 
VIH. ¿Qué vacuna antipolio debe recibir de acuerdo al actual esquema nacional de vacunación?",3ra dosis de esquema APO,Iniciar esquema de 2 dosis IPV,Dosis de refuerzo APO,Iniciar esquema de 3 dosis IPV,D
"Neonato que presenta convulsiones, nacido con hipoxia severa, en quien se descarta disturbios metabólicos. ¿Cuál es el 
rango terapéutico en mg/Kg para la administración de fenobarbital?",10,15,20,5,C
"¿Cuál es el lugar de perforación que sospecharía en una obstrucción maligna de colon distal con válvula ileocecal 
continente?",Transverso,Ángulo hepático,Ciego,Ángulo esplénico,C
"Varón de 57 años, acude por tos, espectoración purulenta, fiebre y malestar general. Antecedente de enfermedad 
pulmonar obstructiva crónica, usuario de inhaladores. Examen: PA: 110/70 mmHg, FC: 90 X', FR: 22 X', T°: 38°C, 
pulmones: roncantes y sibilantes en ambos hemitórax. ¿Qué antibiótico debe recomendarse?",Amoxicilina con ácido clavulánico,Claritromicina,Dicloxacilina,Doxiciclina,A
"RN a término de 2 horas de vida, nacido por cesárea, presenta aleteo nasal y cianosis leve. Examen: FR: 80 X', FC: 124 
X',  SatO2: 92%; tórax: MV pasa en ambos hemitórax, tiraje intercostal, escasos sibilantes; se palpa borde hepático; resto 
normal. Tratamiento: se administra O2 por cánula binasal 2 l/m, FiO2 30% observando leve mejoría. ¿Cuál es el 
diagnóstico probable?",Sepsis de inicio precoz,Taquípnea transitoria,Displasia broncopulmonar,Cardiopatía congénita,B
¿Cuáles son los órganos más comprometidos como manifestación extraintestinal en la enfermedad inflamatoria intestinal?,Suprarrenales,Pulmones,Riñones,Articulaciones,D
"Recién nacido de 8 horas de vida, nacido de parto eutócico, pretérmino y de bajo peso que recibe lactancia materna y 
presenta vómito con rasgos de sangre. ¿Qué examen realiza para determinar que la sangre del vómito es materna?.",Dosaje de tiempo de trombina,Test de Coombs indirecto,Prueba de Apt,Thevenon,C
"Mujer de 45 años, con cáncer de pulmón, súbitamente presenta hipotensión, disnea y trastorno de sensorio. Examen: 
cianosis distal, PA: 70/40 mmHg, FC: 110 X', FR: 25 X', SatO2: 84%. Troponina elevada. Ecocardiografía informa 
disfunción ventricular derecha y en angiotem compromiso del 50% de los vasos pulmonares. ¿Cuál es el tratamiento de 
elección?",Enoxaparina,Rivaroxaban,Warfarina,Alteplasa,D
¿Cuál es el tratamiento inicial de las fracturas pélvicas que revelan un aumento en el volumen pélvico?,Taponamiento pélvico,Angiografía,Compresión con cinturón pélvico,Fijación externa del anillo pélvico,C
"En el diagnóstico de apendicitis aguda. ¿Cuánto es el valor que corresponde al dolor a la palpación en la fosa ilíaca 
derecha de acuerdo a la puntuación de Alvarado?",4,1,3,2,D
"Mujer de 60 años, antecedente de EPOC, acude por palpitaciones y dolor torácico. EKG: ritmo sinusal, frecuencia 110 X', 
QRS angosto, con 3 ondas P de diferente morfología. ¿Qué tipo de taquicardia presenta?",Por reentrada auricular,Auricular multifocal,Auricular por reentrada sinusal,Auricular,B
"En relación a las fases del potencial de acción de la célula miocárdica, señale que mecanismo fisiológico sucede en la 
despolarización rápida (fase 0):",Entrada lenta de calcio,Brusca entrada de sodio a la célula,Salida brusca de sodio de la célula,Salida  de potasio desde la célula,B
"Varón de 65 años, cursa con dolor crónico asociado a Ca de próstata, tiene tratamiento paliativo para el dolor, acude a la 
emergencia con signos de sobredosis. Examen: PA 90/60 mmHg, FC 45 X'; desorientado y con contracciones 
involuntarias. ¿Cuál sería el medicamento a elegir como antídoto?",Acetilcisteína,Flumazenilo,Carbón activado,Clorhidrato de naloxona,D
"Mujer de 24 años, acude a emergencia por dolor súbito intenso en hipogastrio, acompañado de náusea y vómitos desde 
hace una hora. Última menstruación concluyó hace 2 días. Examen: FC: 90 X', FR: 20 X', T°: 37 °C, PA: 100/70 mmHg. 
Facies ansiosa, sensorio normal. Abdomen: dolor a la palpación profunda en hipogastrio; RHA presentes; Ginecológico: 
genitales externos normales, cérvix dolor a la lateralización, útero de 8 cm, anexo derecho con masa dolorosa de +/-
10x10 cm, anexo izquierdo normal. EcoTV: quiste mixto de ovario derecho de 10x9 cm. ¿Cuál es la causa más probable 
de este cuadro clínico?",Abceso tuboovárico,Quiste a pedículo torcido,Endometrioma roto,Tumor de Brenner,B
"Mujer de 56 años, acude a la consulta por presentar pérdida de sensibilidad cutánea, disminución de fuerza muscular, 
pérdida de control de esfinteres. ¿A qué nivel histológico está la lesión?",Astroglia,Dendritas,Mielina,Oligodendrocito,C
¿Cuál de los siguientes anestésicos tiene velocidad de inducción y recuperación rápida?,Halotano,Sevoflurano,Isoflurano,Enflurano,B
"Varón de 40 años antecedente de tuberculosis pulmonar, presenta de forma intermitente episodios de fiebre y tos 
con espectoración hemoptoica. Examen: pulmones: crepitantes en ambos hemitórax, con movilización de 
secreciones; tiene tomografía de alta resolución donde informa dilataciones bronquiales. ¿Qué antibiótico se 
recomienda?",Amoxicilina con ácido clavulánico,Levofloxacino,Cefalexina,Doxiciclina,B
¿Cuál de los siguientes parásitos necesitan el suelo para embrionarse y ser infectantes?,Enterobius vermicularis,Ascaris lumbricoides,Echinococcus granulosus,Trypanosoma cruzi,B
"Mujer de 24 años, gestante de 38 semanas, refiere pérdida de líquido por genitales externos desde hace 30 minutos. 
Examen: T°:  37 oC, PA: 120/70 mmHg, FC: 85 X'; AU: 33 cm, DU: 1/10 min, ++, 30 seg. Feto: LCD, LF: 140 X'; TV: D:1 
cm, I: 80%, AP: +1; membranas rotas, líquido amniótico claro. ¿Cuál es el manejo?",Maduración cervical,Iniciar antibioticoterapia,Inducción del trabajo de parto,Esperar el inicio espontáneo,C
"Neonato de 18 horas de vida, presenta ictericia. Examen: activo, fontanelas normotensas; piel: ictericia en cara y cuello; 
abdomen: no visceromegalia. Laboratorio: Hb: 15 g/dl; bilirrubina total: 7 mg/dl, BD: 0.5 mg/dl, BI: 6.5 mg/dl; Grupo 
sanguíneo: A Rh(+). Grupo sanguíneo de madre: O Rh(+) y de padre: A Rh(+). ¿Cuál es el diagnóstico más probable?",Ictericia por leche materna,Ictericia fisiológica,Anemia hemolítica por incompatibilidad Rh,Anemia hemolítica por incompatibilidad ABO,D
"Varón de 43 años (HSH), acude por fiebre, tos y disnea. Examen: consuntivo. PA: 85/60 mmHg, FC: 112 X', FR: 25 X', 
T° 37 °C. Cultivo esputo hifas tabicadas y prueba de galactomanano positivo. ¿Cuál es el tratamiento de elección?",Itraconazol,Fluconazol,Voriconazol,Anfotericina B,C
"Le informan al director del hospital que el seguro integral de salud financiará los medicamentos e insumos empleados en 
la atención del 100% de los pacientes afiliados al SIS, pero no así el pago del personal de salud. ¿Qué tipo de costo está 
coberturando el SIS?",Total,Variable,Marginal,Fijo,B
"Varón de 60 años, con cáncer de pulmón, ingresa por somnolencia y dificultad respiratoria. Examen: PA: 100/60 mmHg, 
FC: 70 X', FR: 18 X'. Laboratorio: sodio 125 mEq/l, osmolaridad: 270 mOsm/Kg, osmolaridad urinaria: 150 mOsm/Kg, 
sodio urinario: 50 mEq/l, creatinina: 0.9 mg/dl; función tiroidea normal. ¿Cuál es el tratamiento indicado?",Solución polielectrolítica,Cloruro de sodio 3%,Restricción hídrica,Furosemida,C
"Mujer de 65 años, acude por astenia, disnea, baja de peso y dolor en hipocondrio izquierdo. Examen: caquexia marcada; 
abdomen: esplenomegalia. Lámina periférica: dacriocitos, anisopoiquilocitosis, policromasia y granulocitos en diferentes 
grados de maduración, aspirado de médula ósea seca. ¿Cuál es el diagnóstico más probable?",Mielofibrosis primaria,Leucemia neutrofílica crónica,Trombocitemia esencial,Leucemia eosinofílica crónica,A
"Niño de 4 años llega a emergencia por presentar tos y dificultad respiratoria luego de la ingesta de contenido líquido en 
botella de gaseosa hace 2 horas. La madre al confirmar que había ingerido gasolina, le provocó el vómito y lo lleva a 
emergencia, llegando con mayor dificultad respiratoria. ¿Cuál es la conducta inicial a seguir?",Lavado gástrico,Corticoides,Soporte respiratorio,Carbón activado,C
La clasificación POPQ para evaluar el prolapso de la pared vaginal anterior considera los siguiente puntos de referencia:,Ba D,Aa Ba,Ap Bp,Aa C,B
"Varón de 45 años, acude por dolor retroesternal que se irradia hacia la mandíbula luego de esfuerzo físico. Acude a la 
emergencia donde se le aplica un medicamento que logra menor demanda de oxígeno al miocardio. ¿Qué medicamento 
logra ello?",Diltiazem,Nitroglicerina sublingual,Amlodipino,Sildenafilo,B
"Usted es llamado a evaluar a un recién nacido pretérmino de 6 horas de vida. Examen: peso: 2700 g; tremor contínuo, se 
halla con glicemia de 25 mg/dl. ¿Cuál es el tratamiento inmediato?",Sonda orogástrica y administrar fórmula láctea,Lactancia materna inmediata,Glucosa intravenosa,Fenobarbital intravenoso,C
"Mujer de 30 años va a consulta por presentar dolor en hipogastrio, dispareunia, flujo vaginal amarillento desde hace 3 
días. Examen: FC: 74 X’, FR: 20 X’,T°: 37 °C, PA: 110/75 mmHg. Dolor a la palpación en hipogastrio, TV: dolor en anexos 
y al movilizar cuello uterino. Especuloscopía: flujo hemopurulento por orificio externo del cérvix. ¿Cuál es el tratamiento 
indicado?",Ciprofloxacino-gentamicina-metronidazol,Clindamicina-metronidazol-ampicilina,Gentamicina-ceftriaxona-metronidazol,Ciprofloxacino-doxiciclina-metronidazol,D
"Mujer de 65 años, con chequeos ginecológicos regulares hasta el momento y con resultados de citología normales. ¿En 
cuál de las siguientes situaciones Ud. debe continuar con el uso del PAP para el tamizaje de Ca de cérvix en los siguientes 
años de vida de esta paciente?",Historia de metaplasia escamosa,Inmunosuprimida,Histerectomizada por miomatosis,Vacunada contra VPH,B
"En el 2022 la meta para control de crecimiento y desarrollo en menores de 3 años de edad llego sólo a 55%. ¿Qué tipo 
de indicador influye en este logro?",Impacto,Estructura,Proceso,Resultado,C
"Gestante de 10 semanas, sin antecedentes patológicos, es hospitalizada por vómitos incoercibles, deshidratación severa 
y pérdida reciente de 5 Kg de peso. Examen: PA 90/60 mmHg; FC: 66 X´; no exoftalmos, no bocio, piel y extremidades 
sin lesiones. Laboratorio: Hb: 12.5 g/dl; T4 libre elevada y TSH disminuida. ¿Cuál es el manejo indicado?",Metimazol,Propanolol,Tratamiento de soporte,Propiltiouracilo,C
"Niña de 6 años, que ingresa por epistaxis y gingivorragia. Niega antecedentes patológicos previos. Examen: FC: 100 X', 
FR: 24 X', T°: 36 °C, peso: 20 Kg; paciente pálida, se evidencia epistaxis por ambas fosas nasales y gingivorragia, no 
adenopatías, no visceromegalia. Laboratorio: leucocitos: 10000/µl, Hb: 9 g/dl, plaquetas: 20000/µl, T. sangría: 15 seg, T. 
coagulación: 8 seg, TTP: 35 seg. ¿Cuál es la actitud inmediata?",Interconsulta a hematología,Corticoides y expansor plasmático,Corticoides y trasfundir plaquetas,Realizar taponamiento nasal,C
"Varón de 56 años, con enfermedad renal crónica estadío 5, sin terapia de reemplazo renal, ingresa por dificultad 
respiratoria, dolor precordial y anasarca. Examen: PA: 150/80 mmHg, FC: 50 X'. FR: 24 X'; piel: palidez marcada. EKG: 
bradicardia sinusal, QRS ensanchado y aplanamiento de onda P. ¿Cuál es el medicamento de elección?",Insulina,Gluconato de calcio,Furosemida,ß2 agonistas,B
"Usted atiende a un recién nacido pretérmino de 1400 g que presenta dificultad respiratoria moderada. Antecedente de 
madre febríl con RPM de 28 horas. Se solicita análisis y radiografía. ¿Cuál es la actitud a seguir?",Iniciar ampicilina y gentamicina inmediatamente,Tratamiento de soporte y esperar los resultados,Iniciar vancomicina si la radiografía es patológica,Iniciar antibióticos cuando presente signos de infección,A
"Mujer de 58 años, obesa, que acude por manchado oscuro escaso por genitales externos. Antecedente: G0P(0000); 
menopausia a los 48 años. Examen: PA: 120/80 mmHg, FC: 78 X', T°: 36.8 °C; ginecológico: genitales externos atróficos, 
vagina atrófica, cérvix empotrado liso, útero de 6 cm, anexos no palpables. PAP: negativo; ECO TV: útero de 6 cm; 
endometrio de 10 mm, irregular, con contenido líquido; anexos: acordes a su edad. ¿Cuál es el diagnóstico más probable?",Hiperplasia simple,Mucometra,Cáncer endometrial,Hematometra,C
"¿Cuál de los resultados del cociente de verosimilitud de una prueba diagnóstica, indica que ésta es útil para descartar la 
enfermedad?",RV (+) > 9,RV (-) < 0.1,RV (+) = 0.8,RV (-) < 10,B
"Mujer de 46 años, diabética, hace 5 meses presenta orina espumosa y edema de MMII. Examen: PA: 130/80 mmHg, FC: 
90 X', FR: 20 X', T: 37°C; piel: palidez terrosa, edema de MMII con fovea. Laboratorio: proteinuria en orina de 24 hr: 30 
mg/24 hr. ¿Qué grupo de medicamento debe usarse para evitar la aparición de proteinuria?",Betabloqueadores,Inhibidores de enzima convertidora de angiotensina,Antagonistas receptores de angiotensina II,Bloqueadores de canales de calcio,C
"Varón de 35 años, VIH positivo en tratamiento, acude por fiebre, tos y dificultad respiratoria. Examen: T° 38.5 °C; 
candidiasis oral; pulmones: crepitantes difusos en ambos hemitórax. Linfocitos CD4: 100/µl. PaO2 >70 mmHg. Gradiente 
A-a O2 < 35 mmHg. Tomografía de tórax: infiltrado intersticial en vidrio esmerilado. ¿Cuál es el tratamiento de elección?",Ceftriaxona + azitromicina,Trimetoprim-Sulfametoxazol,Pentamidina,Clindamicina + primaquina,B
"Varón de 45 años, con falla cardiaca, FEVI 55%, acude por palpitaciones y dolor torácico. EKG: FC: 160 X', taquicardia 
irregular, con ausencia de ondas P y presencia de ondas f. ¿Qué medicamento está indicado para el control de la 
frecuencia?",Profafenona,Verapamilo,Amiodarona,Lanatósido,B
¿Cuál es el primer evento que desencadena el cuadro inflamatorio de colecistitis aguda?,Hemorragia subserosa,Infección bacteriana,Estasis biliar,Obstrucción del cístico,D
"¿Cuál de los siguientes anestésicos se puede utilizar para bloqueo de plexo braquial, para una operación de mano, de 
duración aproximada de 150 minutos?",Procaína,Cloroprocaína,Lidocaína,Bupivacaína,D
"Niño de 3 años, acude por presentar masa palpable a nivel escrotal derecha, blanda, intermitente y fluctuante en tamaño, 
asintomático. Examen: transiluminación: contenido líquido. ¿Cuál es el diagnóstico más probable?",Linfadenitis inguinal,Hernia inguinal incarcerada,Hernia femoral,Hidrocele comunicante,D
"Varón de 26 años, acude por palpitaciones y diaforesis. Examen: PA: 110/70 mmHg, FC: 125 X', FR: 22 X'. EKG: ritmo 
sinusal, QRS: 0.06 ms, es evaluado por cardiólogo quien confirma arritmia primaria. ¿Qué medicamento debe utilizarse?",Betabloqueadores,Beta adrenérgicos,Digitálicos,Calcio antagonistas,A
"Mujer de 40 años, sin retraso menstrual, que presenta palpitaciones, pérdida de peso con aumento de apetito, diarrea, 
hiperactividad e irritabilidad. Examen: PA 90/60 mmHg, FC 106 X'; piel: caliente y húmeda; abdomen: matidez desplazable 
y masa abdominal palpable en fosa iliaca izquierda; temblor fino de miembros superiores. ECO abdominopélvica: tumor 
heterogéneo de 8 cm en anexo izquierdo, útero y anexo derecho conservados, presencia de ascitis. ¿Cuál es el 
diagnóstico más probable?",Coriocarcinoma,Tumor de Müller,Estruma ovárico,Tumor de Leydig,C
"Varón de 28 años, ingresa por palpitaciones y dolor torácico. EKG: taquicardia regular, FC: 180 X', QRS 0.03 ms, ondas 
P retrógradas y  negativas en derivadas inferiores. ¿Cuál es el tratamiento de primera línea?",Labetalol,Adenosina,Lanatósido,Verapamilo,B
"Recién nacido varón pretérmino, a la semana de vida con temperatura inestable y sangre macroscópica en heces. 
Examen: T°: 37.8 °C, FC: 140 X´, FR: 50 X´; peso: 800 g; adecuada respuesta a estímulos; abdomen: distendido, RHA 
disminuidos; neurológico: despierto, respuesta disminuida a estímulos; resto normal. ¿Cuál es el diagnóstico más 
probable?",Obstrucción intestinal,Enterocolitis necrosante,Sepsis neonatal,Vólvulo intestinal,B
"RN a término, al segundo día de vida presenta erupción papular y pustulosa con contenido blanco amarillento de 1 a 2 
mm de diámetro con halo eritematoso en cara, tronco y extremidades, que tienden a desaparecer. Laboratorio: cultivo de 
las lesiones negativo. ¿Cuál es el diagnóstico?",Herpes simple,Melanosis transitoria,Eritema tóxico,Candidiasis,C
"RN de 8 horas de vida, prematuro de 34 semanas, PEG,  presenta hipersalivación y babeo; luego de recibir lactancia 
materna presenta vómito lácteo, tos, dificultad respiratoria y cianosis. Examen: FR: 60 X', FC: 120 X'; tórax: subcrépitos 
en ambos hemitórax; abdomen escafoideo. ¿En qué diagnóstico sospecha?",Enfisema lobular congénito,Atresia esofágica,Secuestro pulmonar,Hernia diafragmática,B
"Lactante de dos meses, es traído por presentar llanto constante, lactancia entrecortada, sudoración profusa retrocervical 
durante la lactancia. Examen: FC: 130 X', FR: 28 X', T°: 36.5 °C, peso: 3200 g, talla: 50 cm; pálido, adelgazado; tórax: 
roncantes y subcrepitantes bilaterales; soplo sistólico III/VI en mesocardio, hígado a 3 cm DRCD. ¿Cuál es el 
diagnóstico?",Insuficiencia cardíaca,Fibrosis quística,Taquicardia sinusal,Neumonía aspirativa,A
¿Qué estructura anatómica falla con más frecuencia para necesidad de colocación de marcapasos?,Fibras de Purkinje,Haz de His,Nódulo sinoauricular,Nódulo atrioventricular,C
"Mujer de 32 años, luego de discusión con esposo, ingiere 2 sobres de veneno de rata con fluoruro sódico, presentando 
dolor abdominal y trastorno del sensorio. Examen: PA: 130/60 mmHg, FC: 36 X', FR: 18 X', SaO2: 91%; CV: RCR 
bradicárdicos, baja intensidad. ¿Cuál es el trastorno hidroelectrolítico que se produce?",Hiperpotasemia,Hiperuricemia,Hipercalcemia,Hipernatremia,A
"Varón de 60 años, sufre accidente de tránsito, llega a emergencia confuso y por ratos incoherente. Examen: PA: 110/50 
mmHg, FR: 20 X', FC: 88 X´; signo de Babisky unilateral. Escala de Glasgow 12. Tomografía: hematoma subdural. ¿Qué 
vasos cerebrales están lesionados?",Vasos de la fosa posterior,Arteria meningea media,Venas profundas en la duramadre,Seno longitudinal posterior,C
"Mujer de 25 años, acude a consulta refiriendo disconfort genital y secreción vaginal. Examen: vulva sin lesiones y flujo 
vaginal grisáceo en introito, con olor a pescado; especuloscopía: flujo descrito de consistencia intermedia y con burbujas, 
no adherido a las paredes vaginales y cérvix con algunas manchas rojas. ¿Cuál es el diagnóstico más probable?",Vaginosis bacteriana,Vaginitis trichomoniásica,Vaginitis gonocócica,Vaginitis inespecífica,B
"Varón que sufre caída por escaleras, presenta dolor cefálico y confusión. Examen: FR: 22 X', FC: 80 X', PA: 120/60 
mmHg; signo del ""ojo de mapache"", anisocoria, pérdida de liquido blanquecino transparente por nariz 
y otorragia derecha. Escala de Glasgow 13. ¿Cuál es el diagnóstico?",Fractura de base de cráneo,Hematoma subdural,Fractura de boveda craneal,Hematoma epidural,A
¿Qué tipo de vacuna es la que se aplica contra el virus del papiloma humano?,Componentes bacterianos inactivados,Virus vivos atenuados,Virus vivos inactivados,Antígenos virales recombinantes,D
"El tratamiento para la TB activa durante la gestación tiene dos fases: bactericida (2 meses) con cuatro fármacos, seguida 
de la fase de continuación (4 meses), donde solo se indican la isoniazida con...",moxifloxacino.,pirazinamida.,rifampicina.,etambutol.,C
"Varón de 45 años ingresa por infarto de miocardio, al tercer día de hospitalización presenta hipotensión marcada que no 
mejora con solución salina ni vasopresores, luego se agrega oliguria. Examen: somnoliento, PA: 70/40 mmHg, FC: 102 
X'. FR: 25 X'; piel: palidez marcada, frialdad y diaforesis. Laboratorio: lactato: 6 mmol/l. ¿Cuál es el medicamento de 
elección?",Vasopresina,Dobutamina,Enoxaparina,Adrenalina,B
"Madre de niña de 12 años, refiere que desde que inscribió a su hija en academia de baile en turno tarde, la niña 
manifiesta que algunas veces presenta visión doble y caída de párpado unilateral. ¿En qué diagnóstico sospecha?",Tumor encefálico,Miller Fisher,Miastenia grave,Polimiositis,C
"Mujer de 48 años, hospitalizada por celulitis ocular, al quinto día de evolución presenta fiebre, tos, espectoración y disnea. 
Antecedente: artritis reumatoide con corticoterapia crónica. Examen: PA: 90/60 mmHg, FC: 96 X', FR: 28 X', T°: 38 °C; 
pulmones: crepitantes en base de hemitórax derecho. Rx tórax: infiltrado alveolar en base de campo pulmonar derecho. 
¿Cuál es el agente etiológico más probable?",Haemophilus influenzae,Streptococcus pneumoniae,Pseudomona aeruginosa,Legionella pneumophila,C
¿A qué alteraciones se asocia el oligohidramnios?,Onfalocele,Agenesia renal,Obstrucción intestinal,Atresia de esófago,B
"Mujer de 24 años, con amenorrea de 8 semanas, traída a emergencia por dolor abdominal súbito, intenso y sensación de 
desvanecimiento. Antecedente de ovarios poliquísticos y tratamiento por EPI hace un año. Examen: FC: 102 X', T°: 36.5 
°C, FR: 24 X', PA: 80/50 mmHg; pálida, sensorio no comprometido; abdomen: Blumberg positivo; ginecológico: útero de 
7 cm, cuello cerrado con escaso sangrado rojizo por orificio cervical externo, dolor a la palpación de anexos. Laboratorio: 
Hb: 9 g/dl. ¿Cuál es el diagnóstico más probable?",Embarazo ectópico,Aborto espontáneo,Aborto séptico,Torsión de quiste ovárico,A
"Varón de 35 años acude por melena y hematemesis. Antecedente consumo crónico de AINES. Examen: palidez 
moderada. Se realiza estudio endoscópico y se decide no realizar terapia endoscópica. ¿Qué estigma endoscópico se ha 
encontrado?",Sangrado babeante,Coágulo adherido,Vaso visible no sangrante,Mancha pigmentada plana,D
"Niño de 5 años que sufre accidente de tránsito usando cinturón de seguridad, llega con gran dificultad respiratoria. 
Examen: FR 46 X', FC 100 X', SatO2 90%, T° 36 °C; quejumbroso; tórax: se palpa crepitación en fosa supraclavicular, en 
HTD timpanismo incrementado y abolición de MV; ruidos cardiacos taquicárdicos y desplazados fuera de LMC. ¿Cuál es 
el diagnóstico?",Taponamiento cardíaco,Neumotórax a tensión,Hernia diafragmática traumática,Fractura costal,B
"Varón de 60 años, cursa con nicturia, diminución del chorro urinario, pujo miccional y goteo postmiccional. ¿En qué zona 
histológica se encuentra el origen de su patología?",Central,Periférica,Periuretral,Transicional,D
"Existen 3 niveles de soporte vaginal descrito por Delancey; la disrupción del nivel de soporte I puede conducir al prolapso 
de...",recto.,útero.,vejiga.,uretra.,B
"Varón de 68 años, acude por tos, espectoración, dolor torácico y fiebre. Niega antecedentes. Examen: FC: 100 X´, FR: 
25 X', T°: 37°C, PA: 85/60 mmHg; pulmones: crépitos en base de hemitórax derecho. Laboratorio: leucocitos: 10000/µl, 
úrea: 22 mg/dl, creatinina: 0.8 mg/dl. Rx tórax: infiltrado basal derecho. ¿Cuál es el tratamiento empírico indicado?",Ceftriaxona + azitromicina,Ceftazidima + ciprofloxacina,Vancomicina + meropenen,Oxacilina + clindamicina,A
